construct_id	u2os_cas9b_t21_S3_trimmed53_len_filtered_counts	u2os_trex2b_t21_S5_trimmed53_len_filtered_counts	u2os_trex2a_t21_S4_trimmed53_len_filtered_counts	u2os_parent_t21_S1_trimmed53_len_filtered_counts	u2os_cas9a_t21_S2_trimmed53_len_filtered_counts
ABL1_chr9_133589790__TP53_chr17_7577537	1076	2	1245	710	219
ABL1_chr9_133589790__TP53_chr17_7579881	1017	5	730	408	546
ABL1_chr9_133589790__TSC1_chr9_135804256	39	504	524	226	25
ABL1_chr9_133589790__TYMS_chr18_659665	1742	988	762	447	289
ABL1_chr9_133589790__VEGFA_chr6_43742077	144	9990	478	329	179
ABL1_chr9_133589790__VHL_chr3_10183773	655	3	190	632	510
ABL1_chr9_133589790__WEE1_chr11_9595462	593	4	102	340	200
ABL1_chr9_133738283__AKT1_chr14_105258968	63	247	1871	254	305
ABL1_chr9_133738283__ALK_chr2_29541171	78	0	0	177	42
ABL1_chr9_133738283__ALK_chr2_29541172	27	3	13	15	174
ABL1_chr9_133738283__ALK_chr2_30143522	652	68	120	854	454
ABL1_chr9_133738283__APC_chr5_112102933	4	3	3182	120	81
ABL1_chr9_133738283__ARID1A_chr1_27022876	711	297	4	513	921
ABL1_chr9_133738283__ARID1A_chr1_27056286	563	126	2451	381	516
ABL1_chr9_133738283__ATM_chr11_108098350	97	1366	1116	143	274
ABL1_chr9_133738283__ATM_chr11_108098390	123	1	383	763	716
ABL1_chr9_133738283__BCL2_chr18_60795945	261	735	420	182	518
ABL1_chr9_133738283__BCL2_chr18_60795960	122	1186	231	130	2
ABL1_chr9_133738283__BRAF_chr7_140508787	1381	1211	595	362	156
ABL1_chr9_133738283__BRAF_chr7_140534469	402	849	329	853	662
ABL1_chr9_133738283__BRCA1_chr17_41256141	1054	873	1750	503	853
ABL1_chr9_133738283__BRCA1_chr17_41276018	323	1	82	201	327
ABL1_chr9_133738283__BRCA2_chr13_32890586	274	0	121	507	238
ABL1_chr9_133738283__BRCA2_chr13_32914228	350	0	349	147	802
ABL1_chr9_133738283__BRD4_chr19_15383894	92	0	133	253	103
ABL1_chr9_133738283__BTK_chrX_100626613	123	1	1158	120	313
ABL1_chr9_133738283__BTK_chrX_100645534	399	4	5	173	970
ABL1_chr9_133738283__CASP8_chr2_202123033	541	462	1	1019	715
ABL1_chr9_133738283__CASP8_chr2_202131404	147	41	220	329	193
ABL1_chr9_133738283__CDH1_chr16_68771300	1441	2087	1246	1448	1060
ABL1_chr9_133738283__CDH1_chr16_68772250	717	95	670	363	2
ABL1_chr9_133738283__CDK4_chr12_58143253	354	108	892	367	564
ABL1_chr9_133738283__CDK6_chr7_92244474	384	15	53	583	227
ABL1_chr9_133738283__CDK6_chr7_92252365	1227	109	428	190	262
ABL1_chr9_133738283__CDK6_chr7_92462628	14	3	0	88	439
ABL1_chr9_133738283__CDK9_chr9_130548409	6	248	104	316	85
ABL1_chr9_133738283__CDKN1B_chr12_12870931	16	118	0	61	1
ABL1_chr9_133738283__CHEK1_chr11_125496687	85	0	0	1000	80
ABL1_chr9_133738283__CHEK2_chr22_29085137	321	3320	319	297	511
ABL1_chr9_133738283__DHFR_chr5_79950216	203	585	319	604	623
ABL1_chr9_133738283__DHFR_chr5_79950217	665	2	3	692	209
ABL1_chr9_133738283__EGFR_chr7_55086962	17	944	1010	0	102
ABL1_chr9_133738283__EGFR_chr7_55209992	77	54	1460	248	97
ABL1_chr9_133738283__ERBB2_chr17_37868292	164	500	2	1154	133
ABL1_chr9_133738283__FGFR2_chr10_123298118	130	1264	218	1083	309
ABL1_chr9_133738283__FGFR3_chr4_1795736	34	1959	16	104	210
ABL1_chr9_133738283__FLT3_chr13_28636172	634	395	320	341	443
ABL1_chr9_133738283__FLT3_chr13_28674643	321	175	168	688	327
ABL1_chr9_133738283__FNTA_chr8_42911471	96	2	3	203	161
ABL1_chr9_133738283__FNTA_chr8_42924781	458	23	1642	503	568
ABL1_chr9_133738283__GATA3_chr10_8097612	5	337	133	726	194
ABL1_chr9_133738283__HDAC1_chr1_32792601	798	315	443	630	109
ABL1_chr9_133738283__HDAC2_chr6_114266539	652	212	88	170	204
ABL1_chr9_133738283__HDAC6_chrX_48661089	689	99	2238	900	279
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	2	2	0	189	14
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	207	2	309	408	264
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	554	158	492	375	278
ABL1_chr9_133738283__IGF1R_chr15_99192824	745	75	263	138	439
ABL1_chr9_133738283__IGF1R_chr15_99434807	684	1	341	154	4
ABL1_chr9_133738283__KDM5C_chrX_53241021	47	66	24	55	78
ABL1_chr9_133738283__KDM5C_chrX_53254068	859	1145	4	172	653
ABL1_chr9_133738283__KDM6A_chrX_44732838	280	1667	185	366	593
ABL1_chr9_133738283__KIT_chr4_55524176	50	0	16	271	976
ABL1_chr9_133738283__KMT2D_chr12_49448161	279	9	45	573	47
ABL1_chr9_133738283__MAP2K1_chr15_66679721	588	259	483	554	785
ABL1_chr9_133738283__MAP2K1_chr15_66679756	381	102	115	1252	527
ABL1_chr9_133738283__MAP3K1_chr5_56152466	13	14	0	1020	159
ABL1_chr9_133738283__MET_chr7_116339123	320	3	123	409	379
ABL1_chr9_133738283__MET_chr7_116340188	334	76	589	905	282
ABL1_chr9_133738283__MLH1_chr3_37035029	446	1927	329	607	200
ABL1_chr9_133738283__MLH1_chr3_37038179	508	1483	445	556	171
ABL1_chr9_133738283__MLH1_chr3_37045912	229	168	51	126	452
ABL1_chr9_133738283__MTOR_chr1_11317010	584	29	144	648	964
ABL1_chr9_133738283__MTOR_chr1_11317149	111	0	119	636	129
ABL1_chr9_133738283__NF1_chr17_29483038	18	1	129	6	23
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	495	62	752	650	142
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	246	915	0	523	614
ABL1_chr9_133738283__PARP1_chr1_226595581	65	8	77	125	389
ABL1_chr9_133738283__PDGFRA_chr4_55124963	556	255	471	198	252
ABL1_chr9_133738283__PIK3CA_chr3_178916614	885	586	412	903	393
ABL1_chr9_133738283__PIK3R1_chr5_67522521	1183	881	1390	502	448
ABL1_chr9_133738283__PIK3R1_chr5_67576421	507	39	348	759	464
ABL1_chr9_133738283__PRKDC_chr8_48872683	552	709	47	78	112
ABL1_chr9_133738283__PTEN_chr10_89653786	56	62	363	470	77
ABL1_chr9_133738283__RB1_chr13_48878054	153	1	43	241	628
ABL1_chr9_133738283__RB1_chr13_48934148	75	2	6	1	104
ABL1_chr9_133738283__RB1_chr13_48936969	761	132	7429	411	84
ABL1_chr9_133738283__ROR1_chr1_64240072	794	475	193	378	503
ABL1_chr9_133738283__ROR1_chr1_64240089	54	0	7	92	667
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	191	248	514	698	15
ABL1_chr9_133738283__RRM2_chr2_10262728	220	0	66	195	229
ABL1_chr9_133738283__RUNX1_chr21_36252860	142	98	43	395	487
ABL1_chr9_133738283__RUNX1_chr21_36252902	583	5	215	51	237
ABL1_chr9_133738283__RUNX1_chr21_36421144	1055	335	790	561	2441
ABL1_chr9_133738283__SETD2_chr3_47142972	24	0	2	197	0
ABL1_chr9_133738283__SMAD4_chr18_48573460	347	0	3	100	224
ABL1_chr9_133738283__SMARCA4_chr19_11095011	60	3	195	120	46
ABL1_chr9_133738283__SMO_chr7_128845081	735	918	314	611	68
ABL1_chr9_133738283__SMO_chr7_128845117	26	2	1	507	0
ABL1_chr9_133738283__SRC_chr20_36012562	371	1368	134	221	26
ABL1_chr9_133738283__SRC_chr20_36022600	487	5	89	240	596
ABL1_chr9_133738283__TOP1_chr20_39657693	783	85	20	803	298
ABL1_chr9_133738283__TOP1_chr20_39690055	332	544	364	467	294
ABL1_chr9_133738283__TP53_chr17_7578373	121	187	272	390	672
ABL1_chr9_133738283__TSC1_chr9_135796748	280	449	27	506	1040
ABL1_chr9_133738283__TYMS_chr18_657730	2576	2856	1083	1293	1657
ABL1_chr9_133738283__TYMS_chr18_659665	358	2	1716	344	553
ABL1_chr9_133738283__VEGFA_chr6_43738425	281	2	583	304	234
ABL1_chr9_133738283__VEGFA_chr6_43742077	477	856	1456	1161	429
ABL1_chr9_133738283__VHL_chr3_10183791	59	3	123	1889	875
ABL1_chr9_133738283__WEE1_chr11_9595462	402	2	113	548	1131
ABL1_chr9_133738283__WEE1_chr11_9595542	240	0	10	8	224
ABL1_chr9_133738283__WEE1_chr11_9595845	166	0	336	248	16
ABL1_chr9_133738356__ADA_chr20_43280245	455	34	447	1162	427
ABL1_chr9_133738356__AKT1_chr14_105239609	858	2809	483	200	486
ABL1_chr9_133738356__AKT1_chr14_105239686	1830	281	385	672	795
ABL1_chr9_133738356__AKT1_chr14_105258968	1071	272	3133	1041	935
ABL1_chr9_133738356__APC_chr5_112043408	2169	222	860	847	934
ABL1_chr9_133738356__APC_chr5_112102023	879	1144	1398	340	154
ABL1_chr9_133738356__ARID1A_chr1_27056286	1967	257	1997	831	1225
ABL1_chr9_133738356__ARID1A_chr1_27056288	841	839	995	1262	280
ABL1_chr9_133738356__ARID2_chr12_46123614	200	1	1	4	85
ABL1_chr9_133738356__ATM_chr11_108098350	89	2	3	54	167
ABL1_chr9_133738356__ATM_chr11_108098390	202	235	194	1209	630
ABL1_chr9_133738356__ATM_chr11_108098402	369	11	410	599	101
ABL1_chr9_133738356__BRAF_chr7_140508787	1365	9	1182	1643	481
ABL1_chr9_133738356__BRAF_chr7_140624501	288	179	44	258	131
ABL1_chr9_133738356__BRCA1_chr17_41256141	1145	254	5222	2128	765
ABL1_chr9_133738356__BRCA1_chr17_41267735	422	97	146	390	630
ABL1_chr9_133738356__BRD4_chr19_15376361	12	0	0	70	437
ABL1_chr9_133738356__BTK_chrX_100629565	71	77	33	763	492
ABL1_chr9_133738356__CASP8_chr2_202123033	486	7	324	1234	99
ABL1_chr9_133738356__CASP8_chr2_202131404	1489	2	56	557	353
ABL1_chr9_133738356__CDH1_chr16_68772255	250	1005	958	345	585
ABL1_chr9_133738356__CDK4_chr12_58144705	828	924	1486	1327	274
ABL1_chr9_133738356__CDK4_chr12_58145497	263	4	2	494	694
ABL1_chr9_133738356__CDK6_chr7_92244474	934	8	3416	263	998
ABL1_chr9_133738356__CDK6_chr7_92252365	251	469	141	904	922
ABL1_chr9_133738356__CDK9_chr9_130548409	850	53	994	686	1401
ABL1_chr9_133738356__CDK9_chr9_130548998	128	318	0	982	52
ABL1_chr9_133738356__CDKN1B_chr12_12871196	1313	76	1270	1119	478
ABL1_chr9_133738356__CDKN2A_chr9_21994327	16	66	73	212	707
ABL1_chr9_133738356__CHEK1_chr11_125499147	436	50	2182	916	2655
ABL1_chr9_133738356__DHFR_chr5_79949819	23	4	579	356	222
ABL1_chr9_133738356__DHFR_chr5_79950216	786	1225	1235	787	1865
ABL1_chr9_133738356__ERBB2_chr17_37868221	427	1016	574	1159	1123
ABL1_chr9_133738356__FGFR2_chr10_123298215	392	68	254	434	136
ABL1_chr9_133738356__FGFR2_chr10_123353328	232	830	2188	430	71
ABL1_chr9_133738356__FGFR3_chr4_1795655	219	551	48	410	152
ABL1_chr9_133738356__FGFR3_chr4_1795735	1641	1333	516	1761	2157
ABL1_chr9_133738356__FGFR3_chr4_1795736	18	105	44	722	33
ABL1_chr9_133738356__FLT3_chr13_28636131	147	24	13	255	177
ABL1_chr9_133738356__FNTA_chr8_42914260	260	276	186	756	496
ABL1_chr9_133738356__FNTA_chr8_42924781	651	42	486	63	54
ABL1_chr9_133738356__GATA3_chr10_8097722	295	427	307	309	501
ABL1_chr9_133738356__GATA3_chr10_8097790	367	578	837	586	160
ABL1_chr9_133738356__HDAC1_chr1_32757816	551	684	292	1539	1845
ABL1_chr9_133738356__HDAC1_chr1_32792637	524	147	39	208	2449
ABL1_chr9_133738356__HDAC2_chr6_114267214	1666	365	89	282	585
ABL1_chr9_133738356__HDAC2_chr6_114292056	688	267	5	1868	144
ABL1_chr9_133738356__HDAC6_chrX_48661089	926	5	1586	928	450
ABL1_chr9_133738356__HDAC6_chrX_48661385	214	2	5	188	737
ABL1_chr9_133738356__JAK2_chr9_5021970	773	1074	342	987	583
ABL1_chr9_133738356__JAK2_chr9_5050816	59	4	128	216	31
ABL1_chr9_133738356__KDM5C_chrX_53241022	653	230	1249	592	350
ABL1_chr9_133738356__KDM5C_chrX_53254068	1053	2462	669	1352	1124
ABL1_chr9_133738356__KDM6A_chrX_44820616	284	3	177	244	13
ABL1_chr9_133738356__KIT_chr4_55524164	378	2	4	305	97
ABL1_chr9_133738356__KIT_chr4_55524229	246	75	469	260	970
ABL1_chr9_133738356__KMT2D_chr12_49448161	723	0	147	569	1197
ABL1_chr9_133738356__KMT2D_chr12_49448168	383	1043	761	945	611
ABL1_chr9_133738356__KMT2D_chr12_49448468	704	7878	20464	1322	464
ABL1_chr9_133738356__MAP2K1_chr15_66679728	2039	34	2717	1001	363
ABL1_chr9_133738356__MAP3K1_chr5_56111382	204	2	40	95	205
ABL1_chr9_133738356__MAP3K1_chr5_56152466	803	6	311	403	182
ABL1_chr9_133738356__MET_chr7_116340207	567	2	430	352	124
ABL1_chr9_133738356__MLH1_chr3_37035029	531	98	2870	704	1025
ABL1_chr9_133738356__MLH1_chr3_37038179	529	4	2559	404	1126
ABL1_chr9_133738356__MSH6_chr2_48018111	2463	393	966	1526	1671
ABL1_chr9_133738356__MSH6_chr2_48018154	356	3	1221	114	485
ABL1_chr9_133738356__MTOR_chr1_11317010	892	379	3	281	130
ABL1_chr9_133738356__NF1_chr17_29422308	896	2650	1170	883	595
ABL1_chr9_133738356__NF1_chr17_29483039	627	169	826	999	564
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	2948	241	2068	818	248
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	752	2397	354	608	635
ABL1_chr9_133738356__PARP1_chr1_226578249	540	3060	519	986	1730
ABL1_chr9_133738356__PARP1_chr1_226595581	61	3	3	69	398
ABL1_chr9_133738356__PBRM1_chr3_52702516	170	1222	667	252	487
ABL1_chr9_133738356__PDGFRA_chr4_55124932	2129	583	1286	755	447
ABL1_chr9_133738356__PDGFRA_chr4_55124963	1679	1692	2	582	884
ABL1_chr9_133738356__PIK3CA_chr3_178919167	1192	190	4330	592	659
ABL1_chr9_133738356__PIK3R1_chr5_67576410	502	367	424	437	730
ABL1_chr9_133738356__PRKDC_chr8_48686398	169	362	343	274	335
ABL1_chr9_133738356__PRKDC_chr8_48872683	852	799	1040	414	542
ABL1_chr9_133738356__PTEN_chr10_89711868	212	2155	14582	123	481
ABL1_chr9_133738356__RB1_chr13_48936969	676	241	571	1159	614
ABL1_chr9_133738356__ROR1_chr1_64240072	1094	367	3765	1523	1262
ABL1_chr9_133738356__ROR1_chr1_64240143	592	1798	2962	667	871
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	938	483	322	929	297
ABL1_chr9_133738356__RRM2_chr2_10262728	42	4	0	201	225
ABL1_chr9_133738356__RRM2_chr2_10262957	336	1	769	687	289
ABL1_chr9_133738356__SETD2_chr3_47205411	556	196	1027	1555	3112
ABL1_chr9_133738356__SMAD4_chr18_48575673	173	848	354	696	118
ABL1_chr9_133738356__SMAD4_chr18_48586241	694	147	2527	279	629
ABL1_chr9_133738356__SMARCA4_chr19_11094851	189	357	88	1002	463
ABL1_chr9_133738356__SMARCA4_chr19_11095011	761	534	374	1039	525
ABL1_chr9_133738356__SMARCB1_chr22_24129339	242	1	219	293	328
ABL1_chr9_133738356__SMARCB1_chr22_24133993	283	70	271	1767	982
ABL1_chr9_133738356__SRC_chr20_36022600	1177	2772	333	1255	484
ABL1_chr9_133738356__TOP1_chr20_39690055	513	0	453	374	622
ABL1_chr9_133738356__TOP1_chr20_39690109	187	177	0	22	104
ABL1_chr9_133738356__TP53_chr17_7577537	1154	2128	37	460	702
ABL1_chr9_133738356__TSC1_chr9_135796748	2152	2713	1806	1675	533
ABL1_chr9_133738356__TSC1_chr9_135796796	436	92	7	818	627
ABL1_chr9_133738356__TYMS_chr18_657730	1811	2564	270	1987	2942
ABL1_chr9_133738356__TYMS_chr18_659656	1787	915	393	737	142
ABL1_chr9_133738356__TYMS_chr18_659665	633	198	1889	171	495
ABL1_chr9_133738356__VEGFA_chr6_43738425	1031	11797	12874	443	806
ABL1_chr9_133738356__VEGFA_chr6_43742077	324	518	3202	1054	1227
ABL1_chr9_133738356__VEGFA_chr6_43742108	5	3	271	97	3
ABL1_chr9_133738356__VHL_chr3_10183518	1488	747	260	1446	430
ABL1_chr9_133738356__VHL_chr3_10183773	232	241	639	1139	742
ABL1_chr9_133738356__WEE1_chr11_9595462	280	3298	781	910	229
ADA_chr20_43257696__ABL1_chr9_133738283	171	1	1	131	160
ADA_chr20_43257696__ABL1_chr9_133738356	189	2	3	325	36
ADA_chr20_43257696__AKT1_chr14_105239609	777	2144	4	753	361
ADA_chr20_43257696__AKT1_chr14_105258968	262	3	202	131	177
ADA_chr20_43257696__ALK_chr2_29541171	543	92	1	3	27
ADA_chr20_43257696__ALK_chr2_29541172	350	246	544	613	0
ADA_chr20_43257696__ALK_chr2_30143522	242	22	411	446	796
ADA_chr20_43257696__ARID1A_chr1_27056288	102	1	635	272	562
ADA_chr20_43257696__ATM_chr11_108098350	5	0	1	56	0
ADA_chr20_43257696__ATM_chr11_108098402	7	0	1	302	65
ADA_chr20_43257696__BRAF_chr7_140624501	579	554	1	35	733
ADA_chr20_43257696__BRCA1_chr17_41256141	379	3	3215	218	1043
ADA_chr20_43257696__BRCA1_chr17_41276018	478	1	1	326	638
ADA_chr20_43257696__BRCA2_chr13_32890586	752	118	314	211	800
ADA_chr20_43257696__BRCA2_chr13_32914228	39	0	81	288	242
ADA_chr20_43257696__BRD4_chr19_15376361	15	1	0	53	525
ADA_chr20_43257696__BRD4_chr19_15376403	364	166	2224	720	69
ADA_chr20_43257696__BRD4_chr19_15383894	1	1	1	373	2
ADA_chr20_43257696__BTK_chrX_100626613	1	240	0	258	170
ADA_chr20_43257696__BTK_chrX_100629565	98	128	873	721	186
ADA_chr20_43257696__BTK_chrX_100645534	1205	1409	224	749	340
ADA_chr20_43257696__CASP8_chr2_202131404	1214	3	892	161	776
ADA_chr20_43257696__CASP8_chr2_202134297	407	2	196	357	505
ADA_chr20_43257696__CDH1_chr16_68771300	511	27	5	334	746
ADA_chr20_43257696__CDH1_chr16_68772255	8	1	199	42	4
ADA_chr20_43257696__CDK4_chr12_58143253	40	199	1	198	218
ADA_chr20_43257696__CDK4_chr12_58144705	257	166	1298	322	112
ADA_chr20_43257696__CDK6_chr7_92244474	343	435	144	732	232
ADA_chr20_43257696__CDK6_chr7_92252365	4	3	308	124	3
ADA_chr20_43257696__CDK9_chr9_130548998	0	53	0	45	220
ADA_chr20_43257696__CDK9_chr9_130550235	299	86	208	287	510
ADA_chr20_43257696__CDKN1B_chr12_12870931	30	117	0	62	348
ADA_chr20_43257696__CDKN2A_chr9_21994327	128	99	87	472	723
ADA_chr20_43257696__CHEK1_chr11_125496644	1140	227	1	35	595
ADA_chr20_43257696__CHEK1_chr11_125499147	414	0	275	600	139
ADA_chr20_43257696__CHEK2_chr22_29090029	2	3	0	42	92
ADA_chr20_43257696__CHEK2_chr22_29130694	796	1	20	85	3
ADA_chr20_43257696__DHFR_chr5_79950216	771	746	1	419	610
ADA_chr20_43257696__EGFR_chr7_55209986	984	766	718	729	167
ADA_chr20_43257696__ERBB2_chr17_37855800	1	1	1	110	11
ADA_chr20_43257696__FGFR2_chr10_123298118	1008	4	227	81	481
ADA_chr20_43257696__FGFR2_chr10_123298215	28	0	0	12	93
ADA_chr20_43257696__FGFR3_chr4_1795655	62	377	819	497	367
ADA_chr20_43257696__FGFR3_chr4_1795736	600	0	171	309	185
ADA_chr20_43257696__FLT3_chr13_28636172	770	0	2	305	144
ADA_chr20_43257696__FLT3_chr13_28674643	977	27	30	673	438
