construct_id	ln229cas9At28_S2_trimmed53_len_filtered_counts	ln229parentt28_S1_trimmed53_len_filtered_counts	ln229cas9trex2Bt28_S5_trimmed53_len_filtered_counts	Undetermined_S0_trimmed53_len_filtered_counts	ln229cas9trex2At28_S4_trimmed53_len_filtered_counts	ln229cas9Bt28_S3_trimmed53_len_filtered_counts
ABL1_chr9_133589790__CDK4_chr12_58143253	350	96	321	32	254	281
ABL1_chr9_133589790__CDK4_chr12_58145497	800	780	513	68	215	365
ABL1_chr9_133589790__CDK6_chr7_92252365	990	148	1134	36	6	178
ABL1_chr9_133589790__CDK9_chr9_130548998	3	90	3	1	4	3
ABL1_chr9_133589790__CDK9_chr9_130550235	1029	715	484	84	346	528
ABL1_chr9_133589790__CDKN1B_chr12_12870931	297	100	459	37	65	766
ABL1_chr9_133589790__CDKN2A_chr9_21968726	504	90	175	58	1419	121
ABL1_chr9_133589790__CHEK1_chr11_125496644	768	1186	664	93	665	588
ABL1_chr9_133589790__CHEK1_chr11_125499147	121	198	6	24	5	1053
ABL1_chr9_133589790__CHEK2_chr22_29090029	58	428	180	43	129	678
ABL1_chr9_133589790__CHEK2_chr22_29130694	1251	623	1218	138	1491	1371
ABL1_chr9_133589790__EGFR_chr7_55209986	136	452	1499	74	544	342
ABL1_chr9_133589790__EGFR_chr7_55209992	493	302	223	48	449	136
ABL1_chr9_133589790__ERBB2_chr17_37855800	378	858	837	75	238	145
ABL1_chr9_133589790__ERBB2_chr17_37868292	168	254	159	40	837	181
ABL1_chr9_133589790__FGFR2_chr10_123298118	875	191	244	52	1398	129
ABL1_chr9_133589790__FGFR3_chr4_1795655	52	319	1586	61	160	110
ABL1_chr9_133589790__FLT3_chr13_28636131	10	221	554	46	1129	227
ABL1_chr9_133589790__FLT3_chr13_28636172	690	151	75	23	119	102
ABL1_chr9_133589790__FLT3_chr13_28674643	2412	551	1532	156	1518	237
ABL1_chr9_133589790__FNTA_chr8_42911471	451	167	351	41	510	245
ABL1_chr9_133589790__GATA3_chr10_8097722	273	371	154	38	239	393
ABL1_chr9_133589790__GATA3_chr10_8097790	181	173	338	35	582	90
ABL1_chr9_133589790__HDAC2_chr6_114266539	123	495	666	73	1228	190
ABL1_chr9_133589790__HDAC6_chrX_48661089	1056	440	10	63	383	896
ABL1_chr9_133589790__HDAC6_chrX_48661385	699	821	37	71	358	286
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	1283	327	119	62	401	389
ABL1_chr9_133589790__IGF1R_chr15_99434664	811	548	125	51	416	653
ABL1_chr9_133589790__KDM5C_chrX_53241021	92	43	110	9	2	46
ABL1_chr9_133589790__KDM5C_chrX_53254068	1420	731	940	117	1260	720
ABL1_chr9_133589790__KDM6A_chrX_44820615	412	219	679	59	298	1275
ABL1_chr9_133589790__KDM6A_chrX_44820616	202	201	379	50	853	514
ABL1_chr9_133589790__KIT_chr4_55524164	308	112	364	21	10	46
ABL1_chr9_133589790__KMT2D_chr12_49448161	354	294	305	22	48	379
ABL1_chr9_133589790__KMT2D_chr12_49448168	1529	833	984	105	422	1476
ABL1_chr9_133589790__KMT2D_chr12_49448468	930	883	1041	116	1608	307
ABL1_chr9_133589790__MAP2K1_chr15_66679756	1499	320	787	123	2044	486
ABL1_chr9_133589790__MAP3K1_chr5_56111382	6	227	410	23	5	167
ABL1_chr9_133589790__MAP3K1_chr5_56152466	86	419	1044	61	608	995
ABL1_chr9_133589790__MET_chr7_116340207	460	277	216	42	169	810
ABL1_chr9_133589790__MLH1_chr3_37045912	83	480	9	43	99	211
ABL1_chr9_133589790__MSH6_chr2_48018154	654	402	1369	88	489	695
ABL1_chr9_133589790__NF1_chr17_29422308	1637	412	282	67	400	382
ABL1_chr9_133589790__NF1_chr17_29483039	584	166	450	58	439	822
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	688	538	308	59	563	593
ABL1_chr9_133589790__PARP1_chr1_226578249	480	667	373	77	881	527
ABL1_chr9_133589790__PARP1_chr1_226578301	1495	179	154	44	331	141
ABL1_chr9_133589790__PARP1_chr1_226595581	1115	100	303	41	169	340
ABL1_chr9_133589790__PBRM1_chr3_52713723	2729	343	911	115	976	1033
ABL1_chr9_133589790__PDGFRA_chr4_55124932	1330	249	142	55	678	505
ABL1_chr9_133589790__PDGFRA_chr4_55124963	1211	493	977	107	1118	953
ABL1_chr9_133589790__PIK3CA_chr3_178919070	617	196	82	28	155	167
ABL1_chr9_133589790__PIK3CA_chr3_178919167	193	269	839	53	420	838
ABL1_chr9_133589790__PIK3R1_chr5_67576410	1382	421	1248	70	163	698
ABL1_chr9_133589790__PIK3R1_chr5_67576421	662	212	186	24	17	123
ABL1_chr9_133589790__PRKDC_chr8_48686398	130	247	12	22	244	594
ABL1_chr9_133589790__PRKDC_chr8_48686781	202	309	168	44	48	1201
ABL1_chr9_133589790__PTEN_chr10_89653786	286	290	169	33	177	410
ABL1_chr9_133589790__RB1_chr13_48878054	739	316	338	67	783	428
ABL1_chr9_133589790__RB1_chr13_48934148	538	359	216	97	891	781
ABL1_chr9_133589790__ROR1_chr1_64240072	475	439	969	92	973	945
ABL1_chr9_133589790__ROR1_chr1_64240143	220	973	671	141	2872	387
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	133	351	410	56	964	697
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	944	115	203	32	481	157
ABL1_chr9_133589790__RRM2_chr2_10262728	105	237	54	26	200	970
ABL1_chr9_133589790__RRM2_chr2_10262940	606	160	764	36	27	624
ABL1_chr9_133589790__RUNX1_chr21_36252902	367	195	446	43	1372	6
ABL1_chr9_133589790__RUNX1_chr21_36421144	6	366	60	27	448	244
ABL1_chr9_133589790__SETD2_chr3_47142951	940	131	594	39	24	153
ABL1_chr9_133589790__SETD2_chr3_47205411	949	491	39	81	715	550
ABL1_chr9_133589790__SMARCA4_chr19_11094819	388	379	656	39	180	141
ABL1_chr9_133589790__SMARCB1_chr22_24129339	7	152	110	22	5	680
ABL1_chr9_133589790__SMARCB1_chr22_24133949	336	232	366	46	211	667
ABL1_chr9_133589790__SMARCB1_chr22_24133993	4	43	1	4	0	234
ABL1_chr9_133589790__SMO_chr7_128845117	305	188	720	25	105	397
ABL1_chr9_133589790__SRC_chr20_36014563	1307	684	908	88	265	1131
ABL1_chr9_133589790__SRC_chr20_36022600	13	164	83	30	661	171
ABL1_chr9_133589790__TOP1_chr20_39657693	217	241	9	15	120	165
ABL1_chr9_133589790__TOP1_chr20_39690109	0	99	1	6	3	5
ABL1_chr9_133589790__TP53_chr17_7577537	877	514	1880	94	982	417
ABL1_chr9_133589790__TP53_chr17_7579881	1800	624	180	82	384	1000
ABL1_chr9_133589790__TSC1_chr9_135804256	73	249	657	36	178	271
ABL1_chr9_133589790__TYMS_chr18_659665	953	924	1540	109	1018	362
ABL1_chr9_133589790__VEGFA_chr6_43742077	1377	1481	1324	122	594	150
ABL1_chr9_133589790__VHL_chr3_10183773	508	278	135	41	584	152
ABL1_chr9_133589790__WEE1_chr11_9595462	629	314	694	38	57	85
ABL1_chr9_133738283__AKT1_chr14_105258968	613	215	153	40	1280	622
ABL1_chr9_133738283__ALK_chr2_29541171	6	96	63	8	322	287
ABL1_chr9_133738283__ALK_chr2_29541172	130	103	61	3	59	7
ABL1_chr9_133738283__ALK_chr2_30143522	390	322	504	58	709	600
ABL1_chr9_133738283__APC_chr5_112102933	255	87	197	10	87	423
ABL1_chr9_133738283__ARID1A_chr1_27022876	289	428	394	67	1443	485
ABL1_chr9_133738283__ARID1A_chr1_27056286	126	242	875	50	414	558
ABL1_chr9_133738283__ATM_chr11_108098350	415	475	255	39	262	70
ABL1_chr9_133738283__ATM_chr11_108098390	107	197	279	22	282	91
ABL1_chr9_133738283__BCL2_chr18_60795945	874	374	757	89	361	1528
ABL1_chr9_133738283__BCL2_chr18_60795960	8	359	969	37	511	29
ABL1_chr9_133738283__BRAF_chr7_140508787	378	820	313	66	724	872
ABL1_chr9_133738283__BRAF_chr7_140534469	803	440	815	56	791	603
ABL1_chr9_133738283__BRCA1_chr17_41256141	525	538	418	47	234	917
ABL1_chr9_133738283__BRCA1_chr17_41276018	52	102	308	25	143	513
ABL1_chr9_133738283__BRCA2_chr13_32890586	509	386	94	27	58	21
ABL1_chr9_133738283__BRCA2_chr13_32914228	1671	181	385	67	493	942
ABL1_chr9_133738283__BRD4_chr19_15383894	6	61	132	10	7	47
ABL1_chr9_133738283__BTK_chrX_100626613	467	93	470	30	94	66
ABL1_chr9_133738283__BTK_chrX_100645534	729	358	215	41	150	287
ABL1_chr9_133738283__CASP8_chr2_202123033	187	552	529	57	1115	390
ABL1_chr9_133738283__CASP8_chr2_202131404	299	199	236	28	318	460
ABL1_chr9_133738283__CDH1_chr16_68771300	1005	560	1230	108	1363	1294
ABL1_chr9_133738283__CDH1_chr16_68772250	421	330	27	19	35	22
ABL1_chr9_133738283__CDK4_chr12_58143253	1104	193	261	56	673	458
ABL1_chr9_133738283__CDK6_chr7_92244474	434	298	853	47	117	671
ABL1_chr9_133738283__CDK6_chr7_92252365	570	1036	74	65	3	575
ABL1_chr9_133738283__CDK6_chr7_92462628	6	51	910	29	118	186
ABL1_chr9_133738283__CDK9_chr9_130548409	92	269	47	39	1028	398
ABL1_chr9_133738283__CDKN1B_chr12_12870931	43	167	70	21	3	653
ABL1_chr9_133738283__CHEK1_chr11_125496687	64	158	41	16	66	638
ABL1_chr9_133738283__CHEK2_chr22_29085137	1337	651	276	68	379	483
ABL1_chr9_133738283__DHFR_chr5_79950216	201	383	120	37	371	312
ABL1_chr9_133738283__DHFR_chr5_79950217	6	181	1084	30	54	437
ABL1_chr9_133738283__EGFR_chr7_55086962	8	320	7	9	8	93
ABL1_chr9_133738283__EGFR_chr7_55209992	799	114	1136	36	32	164
ABL1_chr9_133738283__ERBB2_chr17_37868292	823	315	438	39	354	647
ABL1_chr9_133738283__FGFR2_chr10_123298118	607	474	329	67	1600	724
ABL1_chr9_133738283__FGFR3_chr4_1795736	271	342	355	38	984	57
ABL1_chr9_133738283__FLT3_chr13_28636172	406	517	1603	75	594	141
ABL1_chr9_133738283__FLT3_chr13_28674643	242	203	1325	65	319	933
ABL1_chr9_133738283__FNTA_chr8_42911471	379	101	177	19	48	162
ABL1_chr9_133738283__FNTA_chr8_42924781	1060	469	115	37	309	326
ABL1_chr9_133738283__GATA3_chr10_8097612	700	171	898	37	246	199
ABL1_chr9_133738283__HDAC1_chr1_32792601	1047	149	443	56	1513	603
ABL1_chr9_133738283__HDAC2_chr6_114266539	696	470	382	42	301	446
ABL1_chr9_133738283__HDAC6_chrX_48661089	413	370	1013	71	40	929
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	283	110	176	16	165	11
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	180	173	1109	33	370	261
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	292	323	343	51	356	1040
ABL1_chr9_133738283__IGF1R_chr15_99192824	240	313	1635	46	4	95
ABL1_chr9_133738283__IGF1R_chr15_99434807	154	646	255	42	668	321
ABL1_chr9_133738283__KDM5C_chrX_53241021	17	61	171	3	5	67
ABL1_chr9_133738283__KDM5C_chrX_53254068	1152	295	701	50	119	1131
ABL1_chr9_133738283__KDM6A_chrX_44732838	531	318	524	43	742	168
ABL1_chr9_133738283__KIT_chr4_55524176	1051	67	277	53	1017	17
ABL1_chr9_133738283__KMT2D_chr12_49448161	16	135	171	20	437	64
ABL1_chr9_133738283__MAP2K1_chr15_66679721	1837	437	800	53	177	328
ABL1_chr9_133738283__MAP2K1_chr15_66679756	295	372	1216	59	470	173
ABL1_chr9_133738283__MAP3K1_chr5_56152466	271	90	517	44	875	423
ABL1_chr9_133738283__MET_chr7_116339123	820	124	118	46	737	1054
ABL1_chr9_133738283__MET_chr7_116340188	1211	249	905	71	726	1208
ABL1_chr9_133738283__MLH1_chr3_37035029	496	571	11	44	48	303
ABL1_chr9_133738283__MLH1_chr3_37038179	722	825	452	93	1354	414
ABL1_chr9_133738283__MLH1_chr3_37045912	495	252	7	27	138	405
ABL1_chr9_133738283__MTOR_chr1_11317010	443	303	842	47	214	680
ABL1_chr9_133738283__MTOR_chr1_11317149	29	149	4	27	819	78
ABL1_chr9_133738283__NF1_chr17_29483038	251	90	174	11	405	33
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	516	457	1448	66	431	229
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	279	282	168	22	69	369
ABL1_chr9_133738283__PARP1_chr1_226595581	4	117	1589	36	1	1
ABL1_chr9_133738283__PDGFRA_chr4_55124963	824	388	3024	104	1521	457
ABL1_chr9_133738283__PIK3CA_chr3_178916614	1805	553	524	84	444	878
ABL1_chr9_133738283__PIK3R1_chr5_67522521	587	762	1640	72	372	622
ABL1_chr9_133738283__PIK3R1_chr5_67576421	1135	588	1264	67	291	290
ABL1_chr9_133738283__PRKDC_chr8_48872683	152	163	103	11	339	10
ABL1_chr9_133738283__PTEN_chr10_89653786	487	183	22	38	22	1399
ABL1_chr9_133738283__RB1_chr13_48878054	2807	123	185	61	330	64
ABL1_chr9_133738283__RB1_chr13_48934148	123	52	58	5	94	4
ABL1_chr9_133738283__RB1_chr13_48936969	978	1084	490	108	794	439
ABL1_chr9_133738283__ROR1_chr1_64240072	699	634	1042	106	1355	724
ABL1_chr9_133738283__ROR1_chr1_64240089	223	135	318	35	161	843
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	849	174	1285	56	584	115
ABL1_chr9_133738283__RRM2_chr2_10262728	899	140	281	25	7	124
ABL1_chr9_133738283__RUNX1_chr21_36252860	190	204	138	11	64	14
ABL1_chr9_133738283__RUNX1_chr21_36252902	180	435	161	36	852	129
ABL1_chr9_133738283__RUNX1_chr21_36421144	184	696	613	56	918	106
ABL1_chr9_133738283__SETD2_chr3_47142972	121	64	66	6	19	116
ABL1_chr9_133738283__SMAD4_chr18_48573460	169	103	237	24	148	351
ABL1_chr9_133738283__SMARCA4_chr19_11095011	762	174	181	26	21	344
ABL1_chr9_133738283__SMO_chr7_128845081	163	365	578	35	169	321
ABL1_chr9_133738283__SMO_chr7_128845117	206	87	8	10	452	54
ABL1_chr9_133738283__SRC_chr20_36012562	146	401	156	21	78	24
ABL1_chr9_133738283__SRC_chr20_36022600	743	270	104	51	934	619
ABL1_chr9_133738283__TOP1_chr20_39657693	462	363	308	41	297	265
ABL1_chr9_133738283__TOP1_chr20_39690055	146	395	67	31	118	156
ABL1_chr9_133738283__TP53_chr17_7578373	771	119	21	24	106	272
ABL1_chr9_133738283__TSC1_chr9_135796748	139	365	47	27	525	93
ABL1_chr9_133738283__TYMS_chr18_657730	644	1285	846	152	2357	783
ABL1_chr9_133738283__TYMS_chr18_659665	1264	336	249	47	93	515
ABL1_chr9_133738283__VEGFA_chr6_43738425	237	232	278	23	124	64
ABL1_chr9_133738283__VEGFA_chr6_43742077	558	484	11	68	1107	547
ABL1_chr9_133738283__VHL_chr3_10183791	224	131	45	15	96	616
ABL1_chr9_133738283__WEE1_chr11_9595462	318	421	436	44	596	606
ABL1_chr9_133738283__WEE1_chr11_9595542	10	216	839	39	5	645
ABL1_chr9_133738283__WEE1_chr11_9595845	1109	123	434	67	1074	821
ABL1_chr9_133738356__ADA_chr20_43280245	1209	569	1995	114	1128	502
ABL1_chr9_133738356__AKT1_chr14_105239609	1183	644	605	63	690	931
ABL1_chr9_133738356__AKT1_chr14_105239686	630	812	267	58	388	1409
ABL1_chr9_133738356__AKT1_chr14_105258968	839	606	2236	122	2308	835
ABL1_chr9_133738356__APC_chr5_112043408	1957	915	1211	161	4706	1385
ABL1_chr9_133738356__APC_chr5_112102023	414	644	9	23	7	21
ABL1_chr9_133738356__ARID1A_chr1_27056286	1175	1086	394	80	858	781
ABL1_chr9_133738356__ARID1A_chr1_27056288	596	709	1203	63	196	361
ABL1_chr9_133738356__ARID2_chr12_46123614	193	110	5	8	2	176
ABL1_chr9_133738356__ATM_chr11_108098350	168	104	371	11	32	259
ABL1_chr9_133738356__ATM_chr11_108098390	1118	406	105	43	657	490
ABL1_chr9_133738356__ATM_chr11_108098402	642	230	171	28	354	394
ABL1_chr9_133738356__BRAF_chr7_140508787	1063	548	299	85	2106	1083
ABL1_chr9_133738356__BRAF_chr7_140624501	879	159	417	44	1119	1360
ABL1_chr9_133738356__BRCA1_chr17_41256141	569	581	1018	63	322	1641
ABL1_chr9_133738356__BRCA1_chr17_41267735	304	271	208	27	290	504
ABL1_chr9_133738356__BRD4_chr19_15376361	229	92	5	7	15	188
ABL1_chr9_133738356__BTK_chrX_100629565	704	167	45	39	386	897
ABL1_chr9_133738356__CASP8_chr2_202123033	955	285	750	58	1019	240
ABL1_chr9_133738356__CASP8_chr2_202131404	1063	664	630	84	407	1387
ABL1_chr9_133738356__CDH1_chr16_68772255	722	389	116	24	18	321
ABL1_chr9_133738356__CDK4_chr12_58144705	133	405	1710	62	1246	612
ABL1_chr9_133738356__CDK4_chr12_58145497	230	267	723	37	750	559
ABL1_chr9_133738356__CDK6_chr7_92244474	344	597	80	30	274	383
ABL1_chr9_133738356__CDK6_chr7_92252365	864	308	218	30	419	487
ABL1_chr9_133738356__CDK9_chr9_130548409	551	439	2386	87	704	1027
ABL1_chr9_133738356__CDK9_chr9_130548998	116	142	28	15	475	96
ABL1_chr9_133738356__CDKN1B_chr12_12871196	751	707	1632	67	95	1246
ABL1_chr9_133738356__CDKN2A_chr9_21994327	217	286	16	10	172	84
ABL1_chr9_133738356__CHEK1_chr11_125499147	1675	336	448	46	164	573
ABL1_chr9_133738356__DHFR_chr5_79949819	477	96	338	23	543	328
ABL1_chr9_133738356__DHFR_chr5_79950216	870	576	2521	105	2443	620
ABL1_chr9_133738356__ERBB2_chr17_37868221	1006	530	486	56	111	1141
ABL1_chr9_133738356__FGFR2_chr10_123298215	987	193	321	36	19	548
ABL1_chr9_133738356__FGFR2_chr10_123353328	482	537	77	39	347	240
ABL1_chr9_133738356__FGFR3_chr4_1795655	490	335	87	19	8	310
ABL1_chr9_133738356__FGFR3_chr4_1795735	1566	1022	1536	91	1393	667
ABL1_chr9_133738356__FGFR3_chr4_1795736	225	229	27	28	690	120
ABL1_chr9_133738356__FLT3_chr13_28636131	3271	174	170	85	1519	138
ABL1_chr9_133738356__FNTA_chr8_42914260	166	100	326	31	680	293
ABL1_chr9_133738356__FNTA_chr8_42924781	1244	414	426	30	47	276
ABL1_chr9_133738356__GATA3_chr10_8097722	794	488	126	40	729	230
ABL1_chr9_133738356__GATA3_chr10_8097790	1287	338	1371	84	1155	1178
ABL1_chr9_133738356__HDAC1_chr1_32757816	1505	307	1139	73	696	1198
ABL1_chr9_133738356__HDAC1_chr1_32792637	1441	360	224	69	969	1285
ABL1_chr9_133738356__HDAC2_chr6_114267214	163	795	1423	95	1014	530
ABL1_chr9_133738356__HDAC2_chr6_114292056	568	488	267	46	618	349
ABL1_chr9_133738356__HDAC6_chrX_48661089	855	741	72	43	384	115
ABL1_chr9_133738356__HDAC6_chrX_48661385	396	218	151	17	120	223
ABL1_chr9_133738356__JAK2_chr9_5021970	1594	790	675	63	103	686
ABL1_chr9_133738356__JAK2_chr9_5050816	172	176	815	21	186	151
ABL1_chr9_133738356__KDM5C_chrX_53241022	1163	472	793	58	96	985
ABL1_chr9_133738356__KDM5C_chrX_53254068	2233	1075	284	111	958	1173
ABL1_chr9_133738356__KDM6A_chrX_44820616	110	133	182	11	8	158
ABL1_chr9_133738356__KIT_chr4_55524164	507	224	489	30	159	188
ABL1_chr9_133738356__KIT_chr4_55524229	127	185	774	31	776	356
ABL1_chr9_133738356__KMT2D_chr12_49448161	1107	471	152	45	271	642
ABL1_chr9_133738356__KMT2D_chr12_49448168	1057	497	908	87	892	1943
ABL1_chr9_133738356__KMT2D_chr12_49448468	1403	1291	1201	107	837	1105
ABL1_chr9_133738356__MAP2K1_chr15_66679728	587	878	393	71	394	1953
ABL1_chr9_133738356__MAP3K1_chr5_56111382	92	147	0	15	487	4
ABL1_chr9_133738356__MAP3K1_chr5_56152466	882	319	321	37	221	257
ABL1_chr9_133738356__MET_chr7_116340207	357	255	1540	46	7	49
ABL1_chr9_133738356__MLH1_chr3_37035029	965	309	390	28	7	218
ABL1_chr9_133738356__MLH1_chr3_37038179	993	447	1000	76	666	1132
ABL1_chr9_133738356__MSH6_chr2_48018111	1329	1695	2155	134	1488	1606
ABL1_chr9_133738356__MSH6_chr2_48018154	66	213	106	15	5	375
ABL1_chr9_133738356__MTOR_chr1_11317010	834	502	360	79	2256	857
ABL1_chr9_133738356__NF1_chr17_29422308	1304	1094	671	80	808	913
ABL1_chr9_133738356__NF1_chr17_29483039	385	374	937	65	1480	958
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	620	1238	590	76	562	578
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	1239	898	1303	86	116	1519
ABL1_chr9_133738356__PARP1_chr1_226578249	1787	730	260	70	357	1162
ABL1_chr9_133738356__PARP1_chr1_226595581	175	109	9	8	345	37
ABL1_chr9_133738356__PBRM1_chr3_52702516	1322	424	475	39	236	306
ABL1_chr9_133738356__PDGFRA_chr4_55124932	1210	1141	375	95	1111	1066
ABL1_chr9_133738356__PDGFRA_chr4_55124963	646	1225	568	70	483	707
ABL1_chr9_133738356__PIK3CA_chr3_178919167	200	878	458	76	1131	1810
ABL1_chr9_133738356__PIK3R1_chr5_67576410	649	361	749	54	305	1188
ABL1_chr9_133738356__PRKDC_chr8_48686398	265	273	83	35	1764	307
ABL1_chr9_133738356__PRKDC_chr8_48872683	1098	400	1671	74	854	268
ABL1_chr9_133738356__PTEN_chr10_89711868	168	506	274	32	577	922
ABL1_chr9_133738356__RB1_chr13_48936969	1363	456	611	74	677	1482
ABL1_chr9_133738356__ROR1_chr1_64240072	2052	680	1309	84	1302	946
ABL1_chr9_133738356__ROR1_chr1_64240143	499	701	37	60	956	1082
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	300	533	1009	54	836	341
ABL1_chr9_133738356__RRM2_chr2_10262728	9	108	6	3	3	84
ABL1_chr9_133738356__RRM2_chr2_10262957	344	220	270	38	1203	303
ABL1_chr9_133738356__SETD2_chr3_47205411	1027	452	1100	86	395	1163
ABL1_chr9_133738356__SMAD4_chr18_48575673	1068	224	369	54	710	1223
ABL1_chr9_133738356__SMAD4_chr18_48586241	902	284	40	52	986	1023
ABL1_chr9_133738356__SMARCA4_chr19_11094851	485	340	516	28	256	550
ABL1_chr9_133738356__SMARCA4_chr19_11095011	1855	622	1010	85	1538	1137
ABL1_chr9_133738356__SMARCB1_chr22_24129339	1046	330	717	37	19	200
ABL1_chr9_133738356__SMARCB1_chr22_24133993	254	168	1309	53	522	559
ABL1_chr9_133738356__SRC_chr20_36022600	2559	1129	903	93	352	1318
ABL1_chr9_133738356__TOP1_chr20_39690055	663	295	10	23	1	365
ABL1_chr9_133738356__TOP1_chr20_39690109	463	182	50	22	1	795
ABL1_chr9_133738356__TP53_chr17_7577537	1136	630	59	57	736	477
ABL1_chr9_133738356__TSC1_chr9_135796748	4739	1754	1322	175	778	1292
ABL1_chr9_133738356__TSC1_chr9_135796796	888	317	227	45	198	1109
ABL1_chr9_133738356__TYMS_chr18_657730	3296	1158	1980	149	1837	1447
ABL1_chr9_133738356__TYMS_chr18_659656	1112	1507	872	94	406	582
ABL1_chr9_133738356__TYMS_chr18_659665	444	637	206	35	10	269
ABL1_chr9_133738356__VEGFA_chr6_43738425	397	1691	305	81	746	1233
ABL1_chr9_133738356__VEGFA_chr6_43742077	1588	485	1027	86	950	751
ABL1_chr9_133738356__VEGFA_chr6_43742108	306	118	467	20	3	18
ABL1_chr9_133738356__VHL_chr3_10183518	1297	990	2365	139	1520	626
ABL1_chr9_133738356__VHL_chr3_10183773	665	225	279	29	464	253
ABL1_chr9_133738356__WEE1_chr11_9595462	939	720	478	39	7	760
ADA_chr20_43257696__ABL1_chr9_133738283	247	156	314	17	135	9
ADA_chr20_43257696__ABL1_chr9_133738356	28	209	128	23	266	43
ADA_chr20_43257696__AKT1_chr14_105239609	82	832	119	38	126	136
ADA_chr20_43257696__AKT1_chr14_105258968	259	237	254	31	510	61
ADA_chr20_43257696__ALK_chr2_29541171	94	358	1	33	1	761
ADA_chr20_43257696__ALK_chr2_29541172	2871	288	75	86	153	883
ADA_chr20_43257696__ALK_chr2_30143522	341	190	186	27	19	653
ADA_chr20_43257696__ARID1A_chr1_27056288	223	227	75	24	435	580
ADA_chr20_43257696__ATM_chr11_108098350	276	33	4	6	0	5
ADA_chr20_43257696__ATM_chr11_108098402	1	37	5	11	282	18
ADA_chr20_43257696__BRAF_chr7_140624501	11	330	1415	57	218	4
ADA_chr20_43257696__BRCA1_chr17_41256141	524	174	87	18	113	28
ADA_chr20_43257696__BRCA1_chr17_41276018	427	216	72	13	0	6
ADA_chr20_43257696__BRCA2_chr13_32890586	9	356	1679	74	273	685
ADA_chr20_43257696__BRCA2_chr13_32914228	13	127	5	13	86	256
ADA_chr20_43257696__BRD4_chr19_15376361	597	41	68	7	152	325
ADA_chr20_43257696__BRD4_chr19_15376403	377	423	568	96	1573	1236
ADA_chr20_43257696__BRD4_chr19_15383894	8	42	4	3	1	5
ADA_chr20_43257696__BTK_chrX_100626613	305	142	4	19	5	12
ADA_chr20_43257696__BTK_chrX_100629565	152	217	358	36	665	537
ADA_chr20_43257696__BTK_chrX_100645534	2083	961	527	129	433	1012
ADA_chr20_43257696__CASP8_chr2_202131404	1135	674	6	62	188	399
ADA_chr20_43257696__CASP8_chr2_202134297	153	221	15	22	258	596
ADA_chr20_43257696__CDH1_chr16_68771300	236	365	100	35	188	628
ADA_chr20_43257696__CDH1_chr16_68772255	97	35	117	6	2	120
