construct_id	UPt28_S3_trimmed53_len_filtered_counts
ABL1_chr9_133589790__MAP2K1_chr15_66679756	375
ABL1_chr9_133589790__MAP3K1_chr5_56111382	16
ABL1_chr9_133589790__MAP3K1_chr5_56152466	33
ABL1_chr9_133589790__MET_chr7_116340207	399
ABL1_chr9_133589790__MLH1_chr3_37045912	209
ABL1_chr9_133589790__MSH6_chr2_48018154	148
ABL1_chr9_133589790__NF1_chr17_29422308	445
ABL1_chr9_133589790__NF1_chr17_29483039	143
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	493
ABL1_chr9_133589790__PARP1_chr1_226578249	279
ABL1_chr9_133589790__PARP1_chr1_226578301	436
ABL1_chr9_133589790__PARP1_chr1_226595581	236
ABL1_chr9_133589790__PBRM1_chr3_52713723	32
ABL1_chr9_133589790__PDGFRA_chr4_55124932	608
ABL1_chr9_133589790__PDGFRA_chr4_55124963	588
ABL1_chr9_133589790__PIK3CA_chr3_178919070	2209
ABL1_chr9_133589790__PIK3CA_chr3_178919167	63
ABL1_chr9_133589790__PIK3R1_chr5_67576410	119
ABL1_chr9_133589790__PIK3R1_chr5_67576421	107
ABL1_chr9_133589790__PRKDC_chr8_48686398	52
ABL1_chr9_133589790__PRKDC_chr8_48686781	205
ABL1_chr9_133589790__PTEN_chr10_89653786	637
ABL1_chr9_133589790__RB1_chr13_48878054	62
ABL1_chr9_133589790__RB1_chr13_48934148	378
ABL1_chr9_133589790__ROR1_chr1_64240072	456
ABL1_chr9_133589790__ROR1_chr1_64240143	325
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	83
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	408
ABL1_chr9_133589790__RRM2_chr2_10262728	201
ABL1_chr9_133589790__RRM2_chr2_10262940	259
ABL1_chr9_133589790__RUNX1_chr21_36252902	26
ABL1_chr9_133589790__RUNX1_chr21_36421144	146
ABL1_chr9_133589790__SETD2_chr3_47142951	688
ABL1_chr9_133589790__SETD2_chr3_47205411	483
ABL1_chr9_133589790__SMARCA4_chr19_11094819	134
ABL1_chr9_133589790__SMARCB1_chr22_24129339	39
ABL1_chr9_133589790__SMARCB1_chr22_24133949	803
ABL1_chr9_133589790__SMARCB1_chr22_24133993	155
ABL1_chr9_133589790__SMO_chr7_128845117	737
ABL1_chr9_133589790__SRC_chr20_36014563	833
ABL1_chr9_133589790__SRC_chr20_36022600	88
ABL1_chr9_133589790__TOP1_chr20_39657693	166
ABL1_chr9_133589790__TOP1_chr20_39690109	407
ABL1_chr9_133589790__TP53_chr17_7577537	170
ABL1_chr9_133589790__TP53_chr17_7579881	377
ABL1_chr9_133589790__TSC1_chr9_135804256	40
ABL1_chr9_133589790__TYMS_chr18_659665	584
ABL1_chr9_133589790__VEGFA_chr6_43742077	360
ABL1_chr9_133589790__VHL_chr3_10183773	637
ABL1_chr9_133589790__WEE1_chr11_9595462	94
ABL1_chr9_133738283__AKT1_chr14_105258968	857
ABL1_chr9_133738283__ALK_chr2_29541171	53
ABL1_chr9_133738283__ALK_chr2_29541172	652
ABL1_chr9_133738283__ALK_chr2_30143522	468
ABL1_chr9_133738283__APC_chr5_112102933	59
ABL1_chr9_133738283__ARID1A_chr1_27022876	686
ABL1_chr9_133738283__ARID1A_chr1_27056286	1025
ABL1_chr9_133738283__ATM_chr11_108098350	634
ABL1_chr9_133738283__ATM_chr11_108098390	487
ABL1_chr9_133738283__BCL2_chr18_60795945	1437
ABL1_chr9_133738283__BCL2_chr18_60795960	56
ABL1_chr9_133738283__BRAF_chr7_140508787	173
ABL1_chr9_133738283__BRAF_chr7_140534469	763
ABL1_chr9_133738283__BRCA1_chr17_41256141	1055
ABL1_chr9_133738283__BRCA1_chr17_41276018	151
ABL1_chr9_133738283__BRCA2_chr13_32890586	429
ABL1_chr9_133738283__BRCA2_chr13_32914228	712
ABL1_chr9_133738283__BRD4_chr19_15383894	40
ABL1_chr9_133738283__BTK_chrX_100626613	182
ABL1_chr9_133738283__BTK_chrX_100645534	1822
ABL1_chr9_133738283__CASP8_chr2_202123033	616
ABL1_chr9_133738283__CASP8_chr2_202131404	118
ABL1_chr9_133738283__CDH1_chr16_68771300	959
ABL1_chr9_133738283__CDH1_chr16_68772250	66
ABL1_chr9_133738283__CDK4_chr12_58143253	729
ABL1_chr9_133738283__CDK6_chr7_92244474	242
ABL1_chr9_133738283__CDK6_chr7_92252365	276
ABL1_chr9_133738283__CDK6_chr7_92462628	680
ABL1_chr9_133738283__CDK9_chr9_130548409	66
ABL1_chr9_133738283__CDKN1B_chr12_12870931	25
ABL1_chr9_133738283__CHEK1_chr11_125496687	62
ABL1_chr9_133738283__CHEK2_chr22_29085137	419
ABL1_chr9_133738283__DHFR_chr5_79950216	554
ABL1_chr9_133738283__DHFR_chr5_79950217	181
ABL1_chr9_133738283__EGFR_chr7_55086962	30
ABL1_chr9_133738283__EGFR_chr7_55209992	138
ABL1_chr9_133738283__ERBB2_chr17_37868292	231
ABL1_chr9_133738283__FGFR2_chr10_123298118	319
ABL1_chr9_133738283__FGFR3_chr4_1795736	236
ABL1_chr9_133738283__FLT3_chr13_28636172	846
ABL1_chr9_133738283__FLT3_chr13_28674643	375
ABL1_chr9_133738283__FNTA_chr8_42911471	95
ABL1_chr9_133738283__FNTA_chr8_42924781	1191
ABL1_chr9_133738283__GATA3_chr10_8097612	214
ABL1_chr9_133738283__HDAC1_chr1_32792601	151
ABL1_chr9_133738283__HDAC2_chr6_114266539	279
ABL1_chr9_133738283__HDAC6_chrX_48661089	396
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	51
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	327
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	635
ABL1_chr9_133738283__IGF1R_chr15_99192824	387
ABL1_chr9_133738283__IGF1R_chr15_99434807	61
ABL1_chr9_133738283__KDM5C_chrX_53241021	437
ABL1_chr9_133738283__KDM5C_chrX_53254068	807
ABL1_chr9_133738283__KDM6A_chrX_44732838	702
ABL1_chr9_133738283__KIT_chr4_55524176	841
ABL1_chr9_133738283__KMT2D_chr12_49448161	190
ABL1_chr9_133738283__MAP2K1_chr15_66679721	874
ABL1_chr9_133738283__MAP2K1_chr15_66679756	859
ABL1_chr9_133738283__MAP3K1_chr5_56152466	74
ABL1_chr9_133738283__MET_chr7_116339123	433
ABL1_chr9_133738283__MET_chr7_116340188	302
ABL1_chr9_133738283__MLH1_chr3_37035029	417
ABL1_chr9_133738283__MLH1_chr3_37038179	495
ABL1_chr9_133738283__MLH1_chr3_37045912	387
ABL1_chr9_133738283__MTOR_chr1_11317010	370
ABL1_chr9_133738283__MTOR_chr1_11317149	332
ABL1_chr9_133738283__NF1_chr17_29483038	42
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	121
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	535
ABL1_chr9_133738283__PARP1_chr1_226595581	327
ABL1_chr9_133738283__PDGFRA_chr4_55124963	207
ABL1_chr9_133738283__PIK3CA_chr3_178916614	736
ABL1_chr9_133738283__PIK3R1_chr5_67522521	747
ABL1_chr9_133738283__PIK3R1_chr5_67576421	376
ABL1_chr9_133738283__PRKDC_chr8_48872683	117
ABL1_chr9_133738283__PTEN_chr10_89653786	61
ABL1_chr9_133738283__RB1_chr13_48878054	842
ABL1_chr9_133738283__RB1_chr13_48934148	131
ABL1_chr9_133738283__RB1_chr13_48936969	172
ABL1_chr9_133738283__ROR1_chr1_64240072	263
ABL1_chr9_133738283__ROR1_chr1_64240089	494
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	131
ABL1_chr9_133738283__RRM2_chr2_10262728	165
ABL1_chr9_133738283__RUNX1_chr21_36252860	340
ABL1_chr9_133738283__RUNX1_chr21_36252902	157
ABL1_chr9_133738283__RUNX1_chr21_36421144	3096
ABL1_chr9_133738283__SETD2_chr3_47142972	46
ABL1_chr9_133738283__SMAD4_chr18_48573460	282
ABL1_chr9_133738283__SMARCA4_chr19_11095011	107
ABL1_chr9_133738283__SMO_chr7_128845081	123
ABL1_chr9_133738283__SMO_chr7_128845117	37
ABL1_chr9_133738283__SRC_chr20_36012562	31
ABL1_chr9_133738283__SRC_chr20_36022600	858
ABL1_chr9_133738283__TOP1_chr20_39657693	230
ABL1_chr9_133738283__TOP1_chr20_39690055	437
ABL1_chr9_133738283__TP53_chr17_7578373	498
ABL1_chr9_133738283__TSC1_chr9_135796748	1013
ABL1_chr9_133738283__TYMS_chr18_657730	1419
ABL1_chr9_133738283__TYMS_chr18_659665	603
ABL1_chr9_133738283__VEGFA_chr6_43738425	171
ABL1_chr9_133738283__VEGFA_chr6_43742077	147
ABL1_chr9_133738283__VHL_chr3_10183791	673
ABL1_chr9_133738283__WEE1_chr11_9595462	954
ABL1_chr9_133738283__WEE1_chr11_9595542	330
ABL1_chr9_133738283__WEE1_chr11_9595845	24
ABL1_chr9_133738356__ADA_chr20_43280245	289
ABL1_chr9_133738356__AKT1_chr14_105239609	1077
ABL1_chr9_133738356__AKT1_chr14_105239686	715
ABL1_chr9_133738356__AKT1_chr14_105258968	476
ABL1_chr9_133738356__APC_chr5_112043408	1078
ABL1_chr9_133738356__APC_chr5_112102023	260
ABL1_chr9_133738356__ARID1A_chr1_27056286	1030
ABL1_chr9_133738356__ARID1A_chr1_27056288	166
ABL1_chr9_133738356__ARID2_chr12_46123614	131
ABL1_chr9_133738356__ATM_chr11_108098350	45
ABL1_chr9_133738356__ATM_chr11_108098390	497
ABL1_chr9_133738356__ATM_chr11_108098402	214
ABL1_chr9_133738356__BRAF_chr7_140508787	612
ABL1_chr9_133738356__BRAF_chr7_140624501	68
ABL1_chr9_133738356__BRCA1_chr17_41256141	642
ABL1_chr9_133738356__BRCA1_chr17_41267735	432
ABL1_chr9_133738356__BRD4_chr19_15376361	269
ABL1_chr9_133738356__BTK_chrX_100629565	238
ABL1_chr9_133738356__CASP8_chr2_202123033	110
ABL1_chr9_133738356__CASP8_chr2_202131404	300
ABL1_chr9_133738356__CDH1_chr16_68772255	545
ABL1_chr9_133738356__CDK4_chr12_58144705	401
ABL1_chr9_133738356__CDK4_chr12_58145497	724
ABL1_chr9_133738356__CDK6_chr7_92244474	1280
ABL1_chr9_133738356__CDK6_chr7_92252365	957
ABL1_chr9_133738356__CDK9_chr9_130548409	1874
ABL1_chr9_133738356__CDK9_chr9_130548998	33
ABL1_chr9_133738356__CDKN1B_chr12_12871196	1115
ABL1_chr9_133738356__CDKN2A_chr9_21994327	495
ABL1_chr9_133738356__CHEK1_chr11_125499147	2706
ABL1_chr9_133738356__DHFR_chr5_79949819	262
ABL1_chr9_133738356__DHFR_chr5_79950216	1552
ABL1_chr9_133738356__ERBB2_chr17_37868221	568
ABL1_chr9_133738356__FGFR2_chr10_123298215	240
ABL1_chr9_133738356__FGFR2_chr10_123353328	71
ABL1_chr9_133738356__FGFR3_chr4_1795655	293
ABL1_chr9_133738356__FGFR3_chr4_1795735	1885
ABL1_chr9_133738356__FGFR3_chr4_1795736	824
ABL1_chr9_133738356__FLT3_chr13_28636131	502
ABL1_chr9_133738356__FNTA_chr8_42914260	351
ABL1_chr9_133738356__FNTA_chr8_42924781	203
ABL1_chr9_133738356__GATA3_chr10_8097722	484
ABL1_chr9_133738356__GATA3_chr10_8097790	206
ABL1_chr9_133738356__HDAC1_chr1_32757816	1749
ABL1_chr9_133738356__HDAC1_chr1_32792637	2128
ABL1_chr9_133738356__HDAC2_chr6_114267214	799
ABL1_chr9_133738356__HDAC2_chr6_114292056	109
ABL1_chr9_133738356__HDAC6_chrX_48661089	481
ABL1_chr9_133738356__HDAC6_chrX_48661385	944
ABL1_chr9_133738356__JAK2_chr9_5021970	234
ABL1_chr9_133738356__JAK2_chr9_5050816	172
ABL1_chr9_133738356__KDM5C_chrX_53241022	392
ABL1_chr9_133738356__KDM5C_chrX_53254068	1375
ABL1_chr9_133738356__KDM6A_chrX_44820616	261
ABL1_chr9_133738356__KIT_chr4_55524164	116
ABL1_chr9_133738356__KIT_chr4_55524229	1171
ABL1_chr9_133738356__KMT2D_chr12_49448161	907
ABL1_chr9_133738356__KMT2D_chr12_49448168	943
ABL1_chr9_133738356__KMT2D_chr12_49448468	960
ABL1_chr9_133738356__MAP2K1_chr15_66679728	451
ABL1_chr9_133738356__MAP3K1_chr5_56111382	115
ABL1_chr9_133738356__MAP3K1_chr5_56152466	266
ABL1_chr9_133738356__MET_chr7_116340207	233
ABL1_chr9_133738356__MLH1_chr3_37035029	1220
ABL1_chr9_133738356__MLH1_chr3_37038179	954
ABL1_chr9_133738356__MSH6_chr2_48018111	1933
ABL1_chr9_133738356__MSH6_chr2_48018154	463
ABL1_chr9_133738356__MTOR_chr1_11317010	103
ABL1_chr9_133738356__NF1_chr17_29422308	886
ABL1_chr9_133738356__NF1_chr17_29483039	587
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	304
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	495
ABL1_chr9_133738356__PARP1_chr1_226578249	1665
ABL1_chr9_133738356__PARP1_chr1_226595581	70
ABL1_chr9_133738356__PBRM1_chr3_52702516	281
ABL1_chr9_133738356__PDGFRA_chr4_55124932	726
ABL1_chr9_133738356__PDGFRA_chr4_55124963	1160
ABL1_chr9_133738356__PIK3CA_chr3_178919167	536
ABL1_chr9_133738356__PIK3R1_chr5_67576410	289
ABL1_chr9_133738356__PRKDC_chr8_48686398	154
ABL1_chr9_133738356__PRKDC_chr8_48872683	722
ABL1_chr9_133738356__PTEN_chr10_89711868	759
ABL1_chr9_133738356__RB1_chr13_48936969	408
ABL1_chr9_133738356__ROR1_chr1_64240072	714
ABL1_chr9_133738356__ROR1_chr1_64240143	866
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	262
ABL1_chr9_133738356__RRM2_chr2_10262728	119
ABL1_chr9_133738356__RRM2_chr2_10262957	411
ABL1_chr9_133738356__SETD2_chr3_47205411	3644
ABL1_chr9_133738356__SMAD4_chr18_48575673	46
ABL1_chr9_133738356__SMAD4_chr18_48586241	382
ABL1_chr9_133738356__SMARCA4_chr19_11094851	628
ABL1_chr9_133738356__SMARCA4_chr19_11095011	464
ABL1_chr9_133738356__SMARCB1_chr22_24129339	494
ABL1_chr9_133738356__SMARCB1_chr22_24133993	522
ABL1_chr9_133738356__SRC_chr20_36022600	559
ABL1_chr9_133738356__TOP1_chr20_39690055	766
ABL1_chr9_133738356__TOP1_chr20_39690109	220
ABL1_chr9_133738356__TP53_chr17_7577537	390
ABL1_chr9_133738356__TSC1_chr9_135796748	314
ABL1_chr9_133738356__TSC1_chr9_135796796	462
ABL1_chr9_133738356__TYMS_chr18_657730	1842
ABL1_chr9_133738356__TYMS_chr18_659656	162
ABL1_chr9_133738356__TYMS_chr18_659665	769
ABL1_chr9_133738356__VEGFA_chr6_43738425	673
ABL1_chr9_133738356__VEGFA_chr6_43742077	1676
ABL1_chr9_133738356__VEGFA_chr6_43742108	62
ABL1_chr9_133738356__VHL_chr3_10183518	543
ABL1_chr9_133738356__VHL_chr3_10183773	990
ABL1_chr9_133738356__WEE1_chr11_9595462	279
ADA_chr20_43257696__ABL1_chr9_133738283	344
ADA_chr20_43257696__ABL1_chr9_133738356	324
ADA_chr20_43257696__AKT1_chr14_105239609	313
ADA_chr20_43257696__AKT1_chr14_105258968	514
ADA_chr20_43257696__ALK_chr2_29541171	21
ADA_chr20_43257696__ALK_chr2_29541172	39
ADA_chr20_43257696__ALK_chr2_30143522	261
ADA_chr20_43257696__ARID1A_chr1_27056288	634
ADA_chr20_43257696__ATM_chr11_108098350	23
ADA_chr20_43257696__ATM_chr11_108098402	10
ADA_chr20_43257696__BRAF_chr7_140624501	611
ADA_chr20_43257696__BRCA1_chr17_41256141	1090
ADA_chr20_43257696__BRCA1_chr17_41276018	1021
ADA_chr20_43257696__BRCA2_chr13_32890586	508
ADA_chr20_43257696__BRCA2_chr13_32914228	540
ADA_chr20_43257696__BRD4_chr19_15376361	1214
ADA_chr20_43257696__BRD4_chr19_15376403	244
ADA_chr20_43257696__BRD4_chr19_15383894	42
ADA_chr20_43257696__BTK_chrX_100626613	185
ADA_chr20_43257696__BTK_chrX_100629565	30
ADA_chr20_43257696__BTK_chrX_100645534	239
ADA_chr20_43257696__CASP8_chr2_202131404	470
ADA_chr20_43257696__CASP8_chr2_202134297	424
ADA_chr20_43257696__CDH1_chr16_68771300	1112
ADA_chr20_43257696__CDH1_chr16_68772255	12
ADA_chr20_43257696__CDK4_chr12_58143253	106
ADA_chr20_43257696__CDK4_chr12_58144705	444
ADA_chr20_43257696__CDK6_chr7_92244474	424
ADA_chr20_43257696__CDK6_chr7_92252365	65
ADA_chr20_43257696__CDK9_chr9_130548998	259
ADA_chr20_43257696__CDK9_chr9_130550235	492
ADA_chr20_43257696__CDKN1B_chr12_12870931	526
ADA_chr20_43257696__CDKN2A_chr9_21994327	543
ADA_chr20_43257696__CHEK1_chr11_125496644	683
ADA_chr20_43257696__CHEK1_chr11_125499147	81
ADA_chr20_43257696__CHEK2_chr22_29090029	36
ADA_chr20_43257696__CHEK2_chr22_29130694	80
ADA_chr20_43257696__DHFR_chr5_79950216	247
ADA_chr20_43257696__EGFR_chr7_55209986	172
ADA_chr20_43257696__ERBB2_chr17_37855800	127
ADA_chr20_43257696__FGFR2_chr10_123298118	443
ADA_chr20_43257696__FGFR2_chr10_123298215	37
ADA_chr20_43257696__FGFR3_chr4_1795655	339
ADA_chr20_43257696__FGFR3_chr4_1795736	189
ADA_chr20_43257696__FLT3_chr13_28636172	177
ADA_chr20_43257696__FLT3_chr13_28674643	233
ADA_chr20_43257696__HDAC1_chr1_32792601	361
ADA_chr20_43257696__HDAC2_chr6_114267214	47
ADA_chr20_43257696__HSP90AA1_chr14_102551760	60
ADA_chr20_43257696__HSP90AA1_chr14_102552141	701
ADA_chr20_43257696__JAK2_chr9_5050721	479
ADA_chr20_43257696__JAK2_chr9_5050816	90
ADA_chr20_43257696__KDM5C_chrX_53241021	24
ADA_chr20_43257696__KDM5C_chrX_53241022	64
ADA_chr20_43257696__KDM6A_chrX_44732838	137
ADA_chr20_43257696__KDM6A_chrX_44820615	47
ADA_chr20_43257696__KIT_chr4_55524164	529
ADA_chr20_43257696__KMT2D_chr12_49448161	92
ADA_chr20_43257696__KMT2D_chr12_49448168	852
ADA_chr20_43257696__KMT2D_chr12_49448468	1882
ADA_chr20_43257696__MAP2K1_chr15_66679756	144
ADA_chr20_43257696__MAP3K1_chr5_56111382	188
ADA_chr20_43257696__MAP3K1_chr5_56152466	186
ADA_chr20_43257696__MAP3K1_chr5_56152485	455
ADA_chr20_43257696__MET_chr7_116340188	396
ADA_chr20_43257696__MLH1_chr3_37035029	369
ADA_chr20_43257696__MLH1_chr3_37038179	589
ADA_chr20_43257696__MSH6_chr2_48010356	966
ADA_chr20_43257696__MSH6_chr2_48018111	181
ADA_chr20_43257696__MTOR_chr1_11317010	534
ADA_chr20_43257696__MTOR_chr1_11319459	97
ADA_chr20_43257696__NF1_chr17_29422308	609
ADA_chr20_43257696__NF1_chr17_29483038	277
ADA_chr20_43257696__NonTargetingControlGuideForHuman0362	261
ADA_chr20_43257696__NonTargetingControlGuideForHuman0412	1463
ADA_chr20_43257696__PARP1_chr1_226578249	235
ADA_chr20_43257696__PARP1_chr1_226578301	68
ADA_chr20_43257696__PIK3CA_chr3_178916614	318
ADA_chr20_43257696__PIK3R1_chr5_67576410	409
ADA_chr20_43257696__PRKDC_chr8_48686398	55
ADA_chr20_43257696__PTEN_chr10_89653786	45
ADA_chr20_43257696__PTEN_chr10_89711868	1584
ADA_chr20_43257696__RB1_chr13_48878054	339
ADA_chr20_43257696__ROR1_chr1_64240072	99
ADA_chr20_43257696__ROR1_chr1_64240089	188
ADA_chr20_43257696__ROR1_chr1_64240143	86
ADA_chr20_43257696__RRM2_chr2_10262728	192
ADA_chr20_43257696__RUNX1_chr21_36252860	450
ADA_chr20_43257696__RUNX1_chr21_36252902	37
ADA_chr20_43257696__RUNX1_chr21_36421144	89
ADA_chr20_43257696__SETD2_chr3_47205411	58
ADA_chr20_43257696__SMAD4_chr18_48575673	121
ADA_chr20_43257696__SMARCA4_chr19_11095011	316
ADA_chr20_43257696__SMARCB1_chr22_24129339	432
ADA_chr20_43257696__SMARCB1_chr22_24133949	484
ADA_chr20_43257696__SMARCB1_chr22_24133993	220
ADA_chr20_43257696__SMO_chr7_128828974	61
ADA_chr20_43257696__SRC_chr20_36014563	42
ADA_chr20_43257696__TOP1_chr20_39690055	62
ADA_chr20_43257696__TP53_chr17_7577537	664
ADA_chr20_43257696__TP53_chr17_7579881	696
ADA_chr20_43257696__TYMS_chr18_657730	280
ADA_chr20_43257696__TYMS_chr18_659665	1623
ADA_chr20_43257696__VEGFA_chr6_43738425	179
ADA_chr20_43257696__VEGFA_chr6_43742077	687
ADA_chr20_43257696__VEGFA_chr6_43742108	44
ADA_chr20_43257696__VHL_chr3_10183518	282
ADA_chr20_43257696__VHL_chr3_10183773	291
ADA_chr20_43257696__VHL_chr3_10183791	27
ADA_chr20_43257696__WEE1_chr11_9595462	73
ADA_chr20_43257696__WEE1_chr11_9595845	72
ADA_chr20_43257769__ABL1_chr9_133738283	535
ADA_chr20_43257769__ABL1_chr9_133738356	875
ADA_chr20_43257769__AKT1_chr14_105258968	345
ADA_chr20_43257769__ALK_chr2_30143522	1179
ADA_chr20_43257769__APC_chr5_112102933	954
ADA_chr20_43257769__ARID1A_chr1_27022876	518
ADA_chr20_43257769__ARID1A_chr1_27056288	982
ADA_chr20_43257769__ARID2_chr12_46205318	1371
ADA_chr20_43257769__BCL2_chr18_60795945	1248
ADA_chr20_43257769__BCL2_chr18_60795960	485
ADA_chr20_43257769__BRAF_chr7_140508787	597
ADA_chr20_43257769__BRAF_chr7_140534469	1075
ADA_chr20_43257769__BRCA1_chr17_41256141	384
ADA_chr20_43257769__BRCA1_chr17_41276018	223
ADA_chr20_43257769__BRCA2_chr13_32912006	157
ADA_chr20_43257769__BRCA2_chr13_32914228	195
ADA_chr20_43257769__BTK_chrX_100626613	131
ADA_chr20_43257769__BTK_chrX_100629565	274
ADA_chr20_43257769__BTK_chrX_100645534	251
ADA_chr20_43257769__CASP8_chr2_202123033	1329
ADA_chr20_43257769__CASP8_chr2_202131404	284
ADA_chr20_43257769__CASP8_chr2_202134297	948
ADA_chr20_43257769__CDH1_chr16_68771300	2569
ADA_chr20_43257769__CDH1_chr16_68772250	363
ADA_chr20_43257769__CDK4_chr12_58144705	129
ADA_chr20_43257769__CDK6_chr7_92252365	487
ADA_chr20_43257769__CDKN1B_chr12_12870777	77
ADA_chr20_43257769__CDKN1B_chr12_12870931	572
ADA_chr20_43257769__CDKN2A_chr9_21968726	151
ADA_chr20_43257769__CDKN2A_chr9_21971100	1506
ADA_chr20_43257769__CHEK1_chr11_125496687	75
ADA_chr20_43257769__CHEK1_chr11_125499147	1683
ADA_chr20_43257769__CHEK2_chr22_29130694	481
ADA_chr20_43257769__DHFR_chr5_79950216	1494
ADA_chr20_43257769__DHFR_chr5_79950217	1407
ADA_chr20_43257769__EGFR_chr7_55209986	1250
ADA_chr20_43257769__EGFR_chr7_55209992	78
ADA_chr20_43257769__ERBB2_chr17_37868221	934
ADA_chr20_43257769__FGFR2_chr10_123298118	959
ADA_chr20_43257769__FGFR3_chr4_1795655	555
ADA_chr20_43257769__FGFR3_chr4_1795735	732
ADA_chr20_43257769__FGFR3_chr4_1795736	1044
ADA_chr20_43257769__FLT3_chr13_28636172	1509
ADA_chr20_43257769__FNTA_chr8_42911471	2167
ADA_chr20_43257769__GATA3_chr10_8097612	1036
ADA_chr20_43257769__HDAC1_chr1_32792637	350
ADA_chr20_43257769__HDAC2_chr6_114266539	232
ADA_chr20_43257769__HDAC2_chr6_114292056	998
ADA_chr20_43257769__HDAC6_chrX_48661385	1445
ADA_chr20_43257769__HSP90AA1_chr14_102551760	373
ADA_chr20_43257769__HSP90AA1_chr14_102605736	574
ADA_chr20_43257769__IGF1R_chr15_99434664	1592
ADA_chr20_43257769__JAK2_chr9_5050721	1242
ADA_chr20_43257769__KDM5C_chrX_53241021	295
ADA_chr20_43257769__KIT_chr4_55524176	243
ADA_chr20_43257769__KMT2D_chr12_49448161	387
ADA_chr20_43257769__KMT2D_chr12_49448168	1082
ADA_chr20_43257769__MAP2K1_chr15_66679721	2017
ADA_chr20_43257769__MAP2K1_chr15_66679756	738
