construct_id	UCTAt1-2_S4_trimmed53_len_filtered_counts	UCAt1-2_S2_trimmed53_len_filtered_counts	UCBt1-2_S3_trimmed53_len_filtered_counts	UCTBt1-2_S5_trimmed53_len_filtered_counts	UPt1-2_S1_trimmed53_len_filtered_counts
ABL1_chr9_133589790__ERBB2_chr17_37868292	735	2	92	0	108
ABL1_chr9_133589790__FGFR2_chr10_123298118	0	307	130	1458	1172
ABL1_chr9_133589790__FGFR3_chr4_1795655	251	59	324	1	622
ABL1_chr9_133589790__FLT3_chr13_28636131	155	42	158	50	180
ABL1_chr9_133589790__FLT3_chr13_28636172	2	23	108	1	48
ABL1_chr9_133589790__FLT3_chr13_28674643	68	642	1005	341	579
ABL1_chr9_133589790__FNTA_chr8_42911471	2	471	400	985	210
ABL1_chr9_133589790__GATA3_chr10_8097722	975	2	118	194	51
ABL1_chr9_133589790__GATA3_chr10_8097790	413	13	316	199	381
ABL1_chr9_133589790__HDAC2_chr6_114266539	8	133	900	544	135
ABL1_chr9_133589790__HDAC6_chrX_48661089	2	1783	1048	1108	545
ABL1_chr9_133589790__HDAC6_chrX_48661385	2	796	807	553	203
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	1155	62	152	338	268
ABL1_chr9_133589790__IGF1R_chr15_99434664	551	3	235	564	619
ABL1_chr9_133589790__KDM5C_chrX_53241021	0	8	24	0	107
ABL1_chr9_133589790__KDM5C_chrX_53254068	229	2082	1023	688	1106
ABL1_chr9_133589790__KDM6A_chrX_44820615	34	784	333	5	496
ABL1_chr9_133589790__KDM6A_chrX_44820616	82	44	144	4	739
ABL1_chr9_133589790__KIT_chr4_55524164	0	4	59	5	703
ABL1_chr9_133589790__KMT2D_chr12_49448161	30	124	321	8	1216
ABL1_chr9_133589790__KMT2D_chr12_49448168	234	3	848	5	703
ABL1_chr9_133589790__KMT2D_chr12_49448468	613	554	451	252	1238
ABL1_chr9_133589790__MAP2K1_chr15_66679756	0	44	602	1249	330
ABL1_chr9_133589790__MAP3K1_chr5_56111382	1	15	52	659	2
ABL1_chr9_133589790__MAP3K1_chr5_56152466	0	34	415	2	445
ABL1_chr9_133589790__MET_chr7_116340207	424	462	166	899	1179
ABL1_chr9_133589790__MLH1_chr3_37045912	1082	95	478	2	60
ABL1_chr9_133589790__MSH6_chr2_48018154	1094	36	312	243	502
ABL1_chr9_133589790__NF1_chr17_29422308	406	282	350	6	373
ABL1_chr9_133589790__NF1_chr17_29483039	2	8	145	655	201
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	7	198	907	78	4
ABL1_chr9_133589790__PARP1_chr1_226578249	100	21	670	426	1
ABL1_chr9_133589790__PARP1_chr1_226578301	1317	101	250	99	23
ABL1_chr9_133589790__PARP1_chr1_226595581	722	108	563	287	1
ABL1_chr9_133589790__PBRM1_chr3_52713723	14	83	565	670	820
ABL1_chr9_133589790__PDGFRA_chr4_55124932	202	820	255	423	4
ABL1_chr9_133589790__PDGFRA_chr4_55124963	13	845	1451	7	387
ABL1_chr9_133589790__PIK3CA_chr3_178919070	4	1893	1048	3	631
ABL1_chr9_133589790__PIK3CA_chr3_178919167	4	3	241	438	7
ABL1_chr9_133589790__PIK3R1_chr5_67576410	101	775	228	511	195
ABL1_chr9_133589790__PIK3R1_chr5_67576421	2	169	322	1057	288
ABL1_chr9_133589790__PRKDC_chr8_48686398	1	8	224	765	2
ABL1_chr9_133589790__PRKDC_chr8_48686781	6111	509	323	321	413
ABL1_chr9_133589790__PTEN_chr10_89653786	8	678	361	491	1
ABL1_chr9_133589790__RB1_chr13_48878054	1	359	564	555	2
ABL1_chr9_133589790__RB1_chr13_48934148	527	324	462	316	849
ABL1_chr9_133589790__ROR1_chr1_64240072	51	1085	987	718	297
ABL1_chr9_133589790__ROR1_chr1_64240143	404	96	288	2	363
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	463	10	327	340	294
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	560	160	310	2	1
ABL1_chr9_133589790__RRM2_chr2_10262728	16	1	190	1244	412
ABL1_chr9_133589790__RRM2_chr2_10262940	1312	638	440	137	1576
ABL1_chr9_133589790__RUNX1_chr21_36252902	3	3	25	1	367
ABL1_chr9_133589790__RUNX1_chr21_36421144	642	1	456	205	1
ABL1_chr9_133589790__SETD2_chr3_47142951	4557	379	56	2	558
ABL1_chr9_133589790__SETD2_chr3_47205411	1091	377	787	2	890
ABL1_chr9_133589790__SMARCA4_chr19_11094819	508	283	214	6	456
ABL1_chr9_133589790__SMARCB1_chr22_24129339	2	94	192	0	170
ABL1_chr9_133589790__SMARCB1_chr22_24133949	279	1266	625	1875	195
ABL1_chr9_133589790__SMARCB1_chr22_24133993	0	280	30	4	1
ABL1_chr9_133589790__SMO_chr7_128845117	1579	46	482	159	896
ABL1_chr9_133589790__SRC_chr20_36014563	7623	529	1073	3	1280
ABL1_chr9_133589790__SRC_chr20_36022600	1090	14	189	6	389
ABL1_chr9_133589790__TOP1_chr20_39657693	615	300	460	948	283
ABL1_chr9_133589790__TOP1_chr20_39690109	0	0	7	161	1
ABL1_chr9_133589790__TP53_chr17_7577537	2085	214	436	372	1303
ABL1_chr9_133589790__TP53_chr17_7579881	13	108	308	545	1057
ABL1_chr9_133589790__TSC1_chr9_135804256	0	119	272	2	412
ABL1_chr9_133589790__TYMS_chr18_659665	463	326	450	50	848
ABL1_chr9_133589790__VEGFA_chr6_43742077	474	320	466	263	692
ABL1_chr9_133589790__VHL_chr3_10183773	1179	379	620	5	3
ABL1_chr9_133589790__WEE1_chr11_9595462	380	566	486	303	161
ABL1_chr9_133738283__AKT1_chr14_105258968	1	3	303	1342	1022
ABL1_chr9_133738283__ALK_chr2_29541171	22	1	135	2	162
ABL1_chr9_133738283__ALK_chr2_29541172	2	2	235	4	468
ABL1_chr9_133738283__ALK_chr2_30143522	3	794	354	749	442
ABL1_chr9_133738283__APC_chr5_112102933	590	0	442	0	2
ABL1_chr9_133738283__ARID1A_chr1_27022876	1	948	334	519	130
ABL1_chr9_133738283__ARID1A_chr1_27056286	45	483	370	138	551
ABL1_chr9_133738283__ATM_chr11_108098350	0	99	232	125	0
ABL1_chr9_133738283__ATM_chr11_108098390	1	690	252	239	263
ABL1_chr9_133738283__BCL2_chr18_60795945	2	938	680	773	1
ABL1_chr9_133738283__BCL2_chr18_60795960	659	13	28	4	206
ABL1_chr9_133738283__BRAF_chr7_140508787	19	100	631	97	408
ABL1_chr9_133738283__BRAF_chr7_140534469	170	461	822	6	3
ABL1_chr9_133738283__BRCA1_chr17_41256141	798	372	1090	482	146
ABL1_chr9_133738283__BRCA1_chr17_41276018	1	99	257	950	59
ABL1_chr9_133738283__BRCA2_chr13_32890586	0	323	91	18	0
ABL1_chr9_133738283__BRCA2_chr13_32914228	1386	853	472	865	2
ABL1_chr9_133738283__BRD4_chr19_15383894	6738	214	19	2	4
ABL1_chr9_133738283__BTK_chrX_100626613	131	313	902	1005	0
ABL1_chr9_133738283__BTK_chrX_100645534	2	924	704	404	548
ABL1_chr9_133738283__CASP8_chr2_202123033	1	411	618	293	884
ABL1_chr9_133738283__CASP8_chr2_202131404	0	56	195	131	201
ABL1_chr9_133738283__CDH1_chr16_68771300	2903	146	813	487	953
ABL1_chr9_133738283__CDH1_chr16_68772250	3	4	367	2303	2
ABL1_chr9_133738283__CDK4_chr12_58143253	77	208	113	697	450
ABL1_chr9_133738283__CDK6_chr7_92244474	35	308	563	1971	515
ABL1_chr9_133738283__CDK6_chr7_92252365	18	57	284	194	4
ABL1_chr9_133738283__CDK6_chr7_92462628	1	24	266	451	168
ABL1_chr9_133738283__CDK9_chr9_130548409	3	5	64	746	249
ABL1_chr9_133738283__CDKN1B_chr12_12870931	2	3	7	0	165
ABL1_chr9_133738283__CHEK1_chr11_125496687	0	182	511	1	366
ABL1_chr9_133738283__CHEK2_chr22_29085137	1	1268	758	78	3
ABL1_chr9_133738283__DHFR_chr5_79950216	978	739	338	159	3
ABL1_chr9_133738283__DHFR_chr5_79950217	4	133	441	612	389
ABL1_chr9_133738283__EGFR_chr7_55086962	1	75	128	1	1
ABL1_chr9_133738283__EGFR_chr7_55209992	806	294	206	3	2
ABL1_chr9_133738283__ERBB2_chr17_37868292	0	8	321	1	64
ABL1_chr9_133738283__FGFR2_chr10_123298118	1372	712	881	1285	149
ABL1_chr9_133738283__FGFR3_chr4_1795736	375	21	221	1	1
ABL1_chr9_133738283__FLT3_chr13_28636172	3	1713	602	501	40
ABL1_chr9_133738283__FLT3_chr13_28674643	6	440	624	3	1
ABL1_chr9_133738283__FNTA_chr8_42911471	1167	6	127	937	172
ABL1_chr9_133738283__FNTA_chr8_42924781	3	1044	663	6	3
ABL1_chr9_133738283__GATA3_chr10_8097612	534	404	384	5	1
ABL1_chr9_133738283__HDAC1_chr1_32792601	0	173	533	517	485
ABL1_chr9_133738283__HDAC2_chr6_114266539	0	42	215	169	98
ABL1_chr9_133738283__HDAC6_chrX_48661089	143	604	246	2017	207
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	3	69	145	3	405
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	1583	644	360	1	895
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	6	515	459	999	473
ABL1_chr9_133738283__IGF1R_chr15_99192824	1	603	649	5	950
ABL1_chr9_133738283__IGF1R_chr15_99434807	6	3	329	3	971
ABL1_chr9_133738283__KDM5C_chrX_53241021	71	65	11	31	9
ABL1_chr9_133738283__KDM5C_chrX_53254068	294	736	599	3	107
ABL1_chr9_133738283__KDM6A_chrX_44732838	2	1312	758	913	846
ABL1_chr9_133738283__KIT_chr4_55524176	112	866	339	0	1
ABL1_chr9_133738283__KMT2D_chr12_49448161	35	317	64	404	512
ABL1_chr9_133738283__MAP2K1_chr15_66679721	11	992	654	0	1853
ABL1_chr9_133738283__MAP2K1_chr15_66679756	1355	516	730	489	62
ABL1_chr9_133738283__MAP3K1_chr5_56152466	2	26	240	2	368
ABL1_chr9_133738283__MET_chr7_116339123	919	940	598	2	498
ABL1_chr9_133738283__MET_chr7_116340188	5114	609	547	400	259
ABL1_chr9_133738283__MLH1_chr3_37035029	9	30	587	1105	472
ABL1_chr9_133738283__MLH1_chr3_37038179	825	1064	793	358	1193
ABL1_chr9_133738283__MLH1_chr3_37045912	3	2	350	638	777
ABL1_chr9_133738283__MTOR_chr1_11317010	48	503	889	6	677
ABL1_chr9_133738283__MTOR_chr1_11317149	2	379	44	0	30
ABL1_chr9_133738283__NF1_chr17_29483038	2035	14	509	0	0
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	3	27	290	547	101
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	51	564	324	281	5
ABL1_chr9_133738283__PARP1_chr1_226595581	3	894	343	5	4
ABL1_chr9_133738283__PDGFRA_chr4_55124963	74	13	589	531	3
ABL1_chr9_133738283__PIK3CA_chr3_178916614	1	535	800	635	244
ABL1_chr9_133738283__PIK3R1_chr5_67522521	508	840	1078	1082	5
ABL1_chr9_133738283__PIK3R1_chr5_67576421	2722	101	418	22	257
ABL1_chr9_133738283__PRKDC_chr8_48872683	1	13	147	2	2
ABL1_chr9_133738283__PTEN_chr10_89653786	0	63	423	5	1
ABL1_chr9_133738283__RB1_chr13_48878054	3	289	410	908	43
ABL1_chr9_133738283__RB1_chr13_48934148	0	174	171	2	1
ABL1_chr9_133738283__RB1_chr13_48936969	0	120	416	124	421
ABL1_chr9_133738283__ROR1_chr1_64240072	716	647	965	880	752
ABL1_chr9_133738283__ROR1_chr1_64240089	3	1463	914	805	1
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	551	216	851	535	249
ABL1_chr9_133738283__RRM2_chr2_10262728	466	477	75	1	1
ABL1_chr9_133738283__RUNX1_chr21_36252860	5600	290	376	4	45
ABL1_chr9_133738283__RUNX1_chr21_36252902	2	44	266	1	0
ABL1_chr9_133738283__RUNX1_chr21_36421144	222	2258	1459	541	731
ABL1_chr9_133738283__SETD2_chr3_47142972	1	217	268	2	0
ABL1_chr9_133738283__SMAD4_chr18_48573460	1	307	342	424	115
ABL1_chr9_133738283__SMARCA4_chr19_11095011	0	139	130	19	1
ABL1_chr9_133738283__SMO_chr7_128845081	4455	17	798	59	1
ABL1_chr9_133738283__SMO_chr7_128845117	3	28	111	2	2
ABL1_chr9_133738283__SRC_chr20_36012562	311	3	34	2	140
ABL1_chr9_133738283__SRC_chr20_36022600	246	756	310	6	0
ABL1_chr9_133738283__TOP1_chr20_39657693	199	955	283	391	840
ABL1_chr9_133738283__TOP1_chr20_39690055	0	0	912	4	569
ABL1_chr9_133738283__TP53_chr17_7578373	8	638	372	1022	208
ABL1_chr9_133738283__TSC1_chr9_135796748	7	442	590	11	98
ABL1_chr9_133738283__TYMS_chr18_657730	1166	2727	1816	453	668
ABL1_chr9_133738283__TYMS_chr18_659665	118	465	633	650	679
ABL1_chr9_133738283__VEGFA_chr6_43738425	159	27	50	2	663
ABL1_chr9_133738283__VEGFA_chr6_43742077	201	30	335	347	856
ABL1_chr9_133738283__VHL_chr3_10183791	2	931	531	502	225
ABL1_chr9_133738283__WEE1_chr11_9595462	7121	834	1136	295	269
ABL1_chr9_133738283__WEE1_chr11_9595542	1	170	270	50	335
ABL1_chr9_133738283__WEE1_chr11_9595845	13	81	49	1	2
ABL1_chr9_133738356__ADA_chr20_43280245	775	792	511	3	459
ABL1_chr9_133738356__AKT1_chr14_105239609	50	2223	995	398	873
ABL1_chr9_133738356__AKT1_chr14_105239686	1028	699	489	932	352
ABL1_chr9_133738356__AKT1_chr14_105258968	94	967	1004	1385	660
ABL1_chr9_133738356__APC_chr5_112043408	42	697	1037	97	1585
ABL1_chr9_133738356__APC_chr5_112102023	2	977	451	427	235
ABL1_chr9_133738356__ARID1A_chr1_27056286	1404	1710	1376	462	312
ABL1_chr9_133738356__ARID1A_chr1_27056288	8501	261	675	261	902
ABL1_chr9_133738356__ARID2_chr12_46123614	2	5	146	5	1
ABL1_chr9_133738356__ATM_chr11_108098350	10	56	254	176	0
ABL1_chr9_133738356__ATM_chr11_108098390	187	1090	622	257	1654
ABL1_chr9_133738356__ATM_chr11_108098402	1960	3	250	397	89
ABL1_chr9_133738356__BRAF_chr7_140508787	4731	538	1253	19	5
ABL1_chr9_133738356__BRAF_chr7_140624501	1	374	30	4	125
ABL1_chr9_133738356__BRCA1_chr17_41256141	1360	1846	1801	1989	3566
ABL1_chr9_133738356__BRCA1_chr17_41267735	45	995	235	525	145
ABL1_chr9_133738356__BRD4_chr19_15376361	136	325	32	3	174
ABL1_chr9_133738356__BTK_chrX_100629565	390	575	241	3	78
ABL1_chr9_133738356__CASP8_chr2_202123033	2281	302	316	294	806
ABL1_chr9_133738356__CASP8_chr2_202131404	1185	517	1014	52	679
ABL1_chr9_133738356__CDH1_chr16_68772255	0	25	314	303	144
ABL1_chr9_133738356__CDK4_chr12_58144705	1101	612	935	61	938
ABL1_chr9_133738356__CDK4_chr12_58145497	91	491	355	6	65
ABL1_chr9_133738356__CDK6_chr7_92244474	26	885	741	1081	834
ABL1_chr9_133738356__CDK6_chr7_92252365	18	1928	715	6	1
ABL1_chr9_133738356__CDK9_chr9_130548409	406	1250	972	443	671
ABL1_chr9_133738356__CDK9_chr9_130548998	0	112	119	697	694
ABL1_chr9_133738356__CDKN1B_chr12_12871196	81	1811	1103	1233	750
ABL1_chr9_133738356__CDKN2A_chr9_21994327	8	959	513	825	686
ABL1_chr9_133738356__CHEK1_chr11_125499147	277	4583	2049	572	214
ABL1_chr9_133738356__DHFR_chr5_79949819	136	349	238	665	272
ABL1_chr9_133738356__DHFR_chr5_79950216	577	2689	821	3	618
ABL1_chr9_133738356__ERBB2_chr17_37868221	76	2007	653	1016	1096
ABL1_chr9_133738356__FGFR2_chr10_123298215	388	293	427	1654	590
ABL1_chr9_133738356__FGFR2_chr10_123353328	205	291	468	858	264
ABL1_chr9_133738356__FGFR3_chr4_1795655	193	38	83	3	256
ABL1_chr9_133738356__FGFR3_chr4_1795735	498	2906	1089	873	563
ABL1_chr9_133738356__FGFR3_chr4_1795736	2	551	172	2	540
ABL1_chr9_133738356__FLT3_chr13_28636131	201	478	196	153	334
ABL1_chr9_133738356__FNTA_chr8_42914260	199	1264	187	433	548
ABL1_chr9_133738356__FNTA_chr8_42924781	25	2	424	2	244
ABL1_chr9_133738356__GATA3_chr10_8097722	4	773	608	205	674
ABL1_chr9_133738356__GATA3_chr10_8097790	4	440	504	228	1512
ABL1_chr9_133738356__HDAC1_chr1_32757816	121	2019	1948	1247	280
ABL1_chr9_133738356__HDAC1_chr1_32792637	1258	557	686	1563	316
ABL1_chr9_133738356__HDAC2_chr6_114267214	798	404	929	355	93
ABL1_chr9_133738356__HDAC2_chr6_114292056	3	130	704	126	2
ABL1_chr9_133738356__HDAC6_chrX_48661089	1741	498	798	2	404
ABL1_chr9_133738356__HDAC6_chrX_48661385	28	1175	435	488	521
ABL1_chr9_133738356__JAK2_chr9_5021970	14	280	462	2	512
ABL1_chr9_133738356__JAK2_chr9_5050816	0	24	94	630	0
ABL1_chr9_133738356__KDM5C_chrX_53241022	61	398	406	7	2
ABL1_chr9_133738356__KDM5C_chrX_53254068	4986	2013	1265	302	2115
ABL1_chr9_133738356__KDM6A_chrX_44820616	2	377	500	6	394
ABL1_chr9_133738356__KIT_chr4_55524164	3	11	184	3	238
ABL1_chr9_133738356__KIT_chr4_55524229	306	2077	1114	7	245
ABL1_chr9_133738356__KMT2D_chr12_49448161	1418	2367	1127	1267	1942
ABL1_chr9_133738356__KMT2D_chr12_49448168	945	2420	1173	871	821
ABL1_chr9_133738356__KMT2D_chr12_49448468	5948	641	870	1409	573
ABL1_chr9_133738356__MAP2K1_chr15_66679728	13	610	991	1894	1377
ABL1_chr9_133738356__MAP3K1_chr5_56111382	1	274	261	1	266
ABL1_chr9_133738356__MAP3K1_chr5_56152466	520	30	285	305	331
ABL1_chr9_133738356__MET_chr7_116340207	2	300	208	3	2
ABL1_chr9_133738356__MLH1_chr3_37035029	494	1424	812	5	321
ABL1_chr9_133738356__MLH1_chr3_37038179	1329	1182	624	562	1869
ABL1_chr9_133738356__MSH6_chr2_48018111	1829	602	1033	1227	2083
ABL1_chr9_133738356__MSH6_chr2_48018154	3	707	431	0	178
ABL1_chr9_133738356__MTOR_chr1_11317010	5	8	346	168	876
ABL1_chr9_133738356__NF1_chr17_29422308	2235	955	1592	1891	1555
ABL1_chr9_133738356__NF1_chr17_29483039	552	485	608	1229	3
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	3400	593	705	1033	167
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	2	805	795	485	784
ABL1_chr9_133738356__PARP1_chr1_226578249	623	2917	1207	249	384
ABL1_chr9_133738356__PARP1_chr1_226595581	1	601	211	4	3
ABL1_chr9_133738356__PBRM1_chr3_52702516	75	70	481	202	333
ABL1_chr9_133738356__PDGFRA_chr4_55124932	895	424	206	171	1316
ABL1_chr9_133738356__PDGFRA_chr4_55124963	10	296	918	579	451
ABL1_chr9_133738356__PIK3CA_chr3_178919167	4	440	1304	2781	621
ABL1_chr9_133738356__PIK3R1_chr5_67576410	2322	716	452	1045	1
ABL1_chr9_133738356__PRKDC_chr8_48686398	2	11	668	87	99
ABL1_chr9_133738356__PRKDC_chr8_48872683	783	268	943	436	764
ABL1_chr9_133738356__PTEN_chr10_89711868	4	977	636	1239	7
ABL1_chr9_133738356__RB1_chr13_48936969	717	243	446	769	561
ABL1_chr9_133738356__ROR1_chr1_64240072	6384	2513	1323	826	831
ABL1_chr9_133738356__ROR1_chr1_64240143	175	1873	659	268	583
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	1320	149	615	1338	928
ABL1_chr9_133738356__RRM2_chr2_10262728	21	7	96	3	2
ABL1_chr9_133738356__RRM2_chr2_10262957	3797	261	294	196	2
ABL1_chr9_133738356__SETD2_chr3_47205411	6	3453	2195	248	827
ABL1_chr9_133738356__SMAD4_chr18_48575673	666	9	399	933	2
ABL1_chr9_133738356__SMAD4_chr18_48586241	3	862	582	1471	936
ABL1_chr9_133738356__SMARCA4_chr19_11094851	154	200	350	112	143
ABL1_chr9_133738356__SMARCA4_chr19_11095011	11	605	494	1	584
ABL1_chr9_133738356__SMARCB1_chr22_24129339	394	910	354	3	93
ABL1_chr9_133738356__SMARCB1_chr22_24133993	195	1352	1657	727	976
ABL1_chr9_133738356__SRC_chr20_36022600	74	271	1004	970	1076
ABL1_chr9_133738356__TOP1_chr20_39690055	912	386	142	31	1130
ABL1_chr9_133738356__TOP1_chr20_39690109	25	0	248	3	726
ABL1_chr9_133738356__TP53_chr17_7577537	184	1218	881	973	554
ABL1_chr9_133738356__TSC1_chr9_135796748	1148	213	2507	7	610
ABL1_chr9_133738356__TSC1_chr9_135796796	123	760	229	2	1127
ABL1_chr9_133738356__TYMS_chr18_657730	1640	3954	2658	1971	595
ABL1_chr9_133738356__TYMS_chr18_659656	11478	160	876	1020	1631
ABL1_chr9_133738356__TYMS_chr18_659665	477	999	812	2345	634
ABL1_chr9_133738356__VEGFA_chr6_43738425	452	445	862	529	150
ABL1_chr9_133738356__VEGFA_chr6_43742077	977	1730	1333	1572	355
ABL1_chr9_133738356__VEGFA_chr6_43742108	1	11	264	4	269
ABL1_chr9_133738356__VHL_chr3_10183518	6	820	997	1994	809
ABL1_chr9_133738356__VHL_chr3_10183773	5840	1754	1389	1818	1209
ABL1_chr9_133738356__WEE1_chr11_9595462	239	87	339	1056	891
ADA_chr20_43257696__ABL1_chr9_133738283	12	1335	192	4	24
ADA_chr20_43257696__ABL1_chr9_133738356	354	9	431	279	476
ADA_chr20_43257696__AKT1_chr14_105239609	300	45	826	54	329
ADA_chr20_43257696__AKT1_chr14_105258968	2000	98	560	4	1
ADA_chr20_43257696__ALK_chr2_29541171	0	0	114	3	0
ADA_chr20_43257696__ALK_chr2_29541172	3	58	602	382	345
ADA_chr20_43257696__ALK_chr2_30143522	2	598	818	1000	168
ADA_chr20_43257696__ARID1A_chr1_27056288	650	10	591	2	62
ADA_chr20_43257696__ATM_chr11_108098350	0	2	5	0	0
ADA_chr20_43257696__ATM_chr11_108098402	29	5	91	0	1
ADA_chr20_43257696__BRAF_chr7_140624501	0	336	319	3	217
ADA_chr20_43257696__BRCA1_chr17_41256141	2	1366	902	6	1
ADA_chr20_43257696__BRCA1_chr17_41276018	155	2217	476	2016	3
ADA_chr20_43257696__BRCA2_chr13_32890586	0	441	263	0	74
ADA_chr20_43257696__BRCA2_chr13_32914228	444	288	291	3	508
ADA_chr20_43257696__BRD4_chr19_15376361	1	1	297	1	2
ADA_chr20_43257696__BRD4_chr19_15376403	18	26	264	3	582
ADA_chr20_43257696__BRD4_chr19_15383894	1	2	12	1	0
ADA_chr20_43257696__BTK_chrX_100626613	0	790	526	2	0
ADA_chr20_43257696__BTK_chrX_100629565	330	6	651	1092	609
ADA_chr20_43257696__BTK_chrX_100645534	203	577	457	228	496
ADA_chr20_43257696__CASP8_chr2_202131404	0	286	311	2	230
ADA_chr20_43257696__CASP8_chr2_202134297	668	389	417	23	455
ADA_chr20_43257696__CDH1_chr16_68771300	249	315	986	410	585
ADA_chr20_43257696__CDH1_chr16_68772255	25	1	92	0	0
ADA_chr20_43257696__CDK4_chr12_58143253	359	1	290	845	0
ADA_chr20_43257696__CDK4_chr12_58144705	117	708	370	944	435
ADA_chr20_43257696__CDK6_chr7_92244474	0	1106	419	679	104
ADA_chr20_43257696__CDK6_chr7_92252365	1	2	18	4	0
ADA_chr20_43257696__CDK9_chr9_130548998	847	68	323	1	1
ADA_chr20_43257696__CDK9_chr9_130550235	14	292	653	1	600
ADA_chr20_43257696__CDKN1B_chr12_12870931	0	3	78	3	3
ADA_chr20_43257696__CDKN2A_chr9_21994327	7	854	479	3	102
ADA_chr20_43257696__CHEK1_chr11_125496644	1355	6	239	2	2
ADA_chr20_43257696__CHEK1_chr11_125499147	1	17	433	333	557
ADA_chr20_43257696__CHEK2_chr22_29090029	3	375	8	1	4
ADA_chr20_43257696__CHEK2_chr22_29130694	0	2	204	2	2
ADA_chr20_43257696__DHFR_chr5_79950216	28	1013	544	7	741
ADA_chr20_43257696__EGFR_chr7_55209986	2	332	709	1287	1247
ADA_chr20_43257696__ERBB2_chr17_37855800	2	6	71	1880	110
ADA_chr20_43257696__FGFR2_chr10_123298118	0	825	254	0	184
ADA_chr20_43257696__FGFR2_chr10_123298215	2045	5	17	0	1
ADA_chr20_43257696__FGFR3_chr4_1795655	654	541	317	4	2
ADA_chr20_43257696__FGFR3_chr4_1795736	2	334	111	1	1
ADA_chr20_43257696__FLT3_chr13_28636172	0	1695	606	26	278
ADA_chr20_43257696__FLT3_chr13_28674643	164	253	471	431	572
ADA_chr20_43257696__HDAC1_chr1_32792601	33	998	385	10	1
