construct_id	Hela_Trex2_CV4_d14_2_S4_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d3_1_S1_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d28_2_S6_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d14_1_S3_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d3_2_S2_trimmed53_len_filtered_counts	Hela_Trex2_CV4_d28_1_S5_trimmed53_len_filtered_counts
ABL1_chr9_133589790__CDK6_chr7_92252365	165	258	12	259	412	259
ABL1_chr9_133589790__CDK9_chr9_130548998	54	384	28	0	200	0
ABL1_chr9_133589790__CDK9_chr9_130550235	1003	717	708	608	465	676
ABL1_chr9_133589790__CDKN1B_chr12_12870931	422	707	349	453	1225	167
ABL1_chr9_133589790__CDKN2A_chr9_21968726	327	178	253	155	433	76
ABL1_chr9_133589790__CHEK1_chr11_125496644	539	989	282	775	1567	690
ABL1_chr9_133589790__CHEK1_chr11_125499147	195	742	0	0	571	0
ABL1_chr9_133589790__CHEK2_chr22_29090029	318	383	285	332	381	209
ABL1_chr9_133589790__CHEK2_chr22_29130694	279	998	726	845	714	3499
ABL1_chr9_133589790__EGFR_chr7_55209986	189	517	132	549	317	145
ABL1_chr9_133589790__EGFR_chr7_55209992	535	163	220	337	290	1
ABL1_chr9_133589790__ERBB2_chr17_37855800	604	323	610	520	331	188
ABL1_chr9_133589790__ERBB2_chr17_37868292	85	247	132	43	365	78
ABL1_chr9_133589790__FGFR2_chr10_123298118	609	556	146	360	586	236
ABL1_chr9_133589790__FGFR3_chr4_1795655	288	268	103	74	574	0
ABL1_chr9_133589790__FLT3_chr13_28636131	74	168	1	340	44	284
ABL1_chr9_133589790__FLT3_chr13_28636172	476	451	138	47	280	0
ABL1_chr9_133589790__FLT3_chr13_28674643	899	826	963	371	549	129
ABL1_chr9_133589790__FNTA_chr8_42911471	250	440	209	255	704	212
ABL1_chr9_133589790__GATA3_chr10_8097722	599	649	590	323	201	162
ABL1_chr9_133589790__GATA3_chr10_8097790	327	1123	170	491	213	509
ABL1_chr9_133589790__HDAC2_chr6_114266539	707	389	1223	452	951	324
ABL1_chr9_133589790__HDAC6_chrX_48661089	434	728	265	197	927	102
ABL1_chr9_133589790__HDAC6_chrX_48661385	532	392	233	426	724	301
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	777	336	582	617	280	751
ABL1_chr9_133589790__IGF1R_chr15_99434664	49	603	0	0	526	0
ABL1_chr9_133589790__KDM5C_chrX_53241021	154	18	0	10	168	16
ABL1_chr9_133589790__KDM5C_chrX_53254068	1397	1232	1001	1003	1254	1286
ABL1_chr9_133589790__KDM6A_chrX_44820615	679	8	676	716	600	1795
ABL1_chr9_133589790__KDM6A_chrX_44820616	514	201	448	253	215	110
ABL1_chr9_133589790__KIT_chr4_55524164	261	108	328	73	87	292
ABL1_chr9_133589790__KMT2D_chr12_49448161	68	697	0	54	379	67
ABL1_chr9_133589790__KMT2D_chr12_49448168	1129	1149	699	378	885	157
ABL1_chr9_133589790__KMT2D_chr12_49448468	397	679	655	679	1389	709
ABL1_chr9_133589790__MAP2K1_chr15_66679756	421	201	159	200	556	444
ABL1_chr9_133589790__MAP3K1_chr5_56111382	0	0	0	0	84	1
ABL1_chr9_133589790__MAP3K1_chr5_56152466	282	694	1	339	684	1241
ABL1_chr9_133589790__MET_chr7_116340207	280	467	376	396	411	430
ABL1_chr9_133589790__MLH1_chr3_37045912	277	269	2	110	602	88
ABL1_chr9_133589790__MSH6_chr2_48018154	715	463	679	164	873	361
ABL1_chr9_133589790__NF1_chr17_29422308	612	306	320	452	1217	211
ABL1_chr9_133589790__NF1_chr17_29483039	650	477	2048	1626	315	10005
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	293	414	0	206	518	73
ABL1_chr9_133589790__PARP1_chr1_226578249	643	615	260	661	1387	445
ABL1_chr9_133589790__PARP1_chr1_226578301	386	434	24	402	519	96
ABL1_chr9_133589790__PARP1_chr1_226595581	444	542	186	416	383	70
ABL1_chr9_133589790__PBRM1_chr3_52713723	798	1081	1548	460	1575	43
ABL1_chr9_133589790__PDGFRA_chr4_55124932	301	275	175	92	380	0
ABL1_chr9_133589790__PDGFRA_chr4_55124963	698	557	370	352	1043	416
ABL1_chr9_133589790__PIK3CA_chr3_178919070	537	592	331	202	957	0
ABL1_chr9_133589790__PIK3CA_chr3_178919167	410	216	34	103	704	0
ABL1_chr9_133589790__PIK3R1_chr5_67576410	326	673	221	171	214	187
ABL1_chr9_133589790__PIK3R1_chr5_67576421	822	229	728	57	451	0
ABL1_chr9_133589790__PRKDC_chr8_48686398	1085	94	318	978	871	670
ABL1_chr9_133589790__PRKDC_chr8_48686781	1463	561	447	750	1060	282
ABL1_chr9_133589790__PTEN_chr10_89653786	343	112	286	122	613	0
ABL1_chr9_133589790__RB1_chr13_48878054	256	391	211	365	688	568
ABL1_chr9_133589790__RB1_chr13_48934148	293	569	200	655	702	1914
ABL1_chr9_133589790__ROR1_chr1_64240072	921	1092	656	1129	756	830
ABL1_chr9_133589790__ROR1_chr1_64240143	827	999	150	743	735	688
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	807	479	517	660	557	970
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	95	115	7	321	247	86
ABL1_chr9_133589790__RRM2_chr2_10262728	826	579	256	132	235	130
ABL1_chr9_133589790__RRM2_chr2_10262940	677	949	103	42	602	77
ABL1_chr9_133589790__RUNX1_chr21_36252902	537	212	1779	437	158	499
ABL1_chr9_133589790__RUNX1_chr21_36421144	32	66	16	45	67	0
ABL1_chr9_133589790__SETD2_chr3_47142951	371	347	16	53	662	0
ABL1_chr9_133589790__SETD2_chr3_47205411	306	515	236	323	1246	64
ABL1_chr9_133589790__SMARCA4_chr19_11094819	194	428	176	184	93	20
ABL1_chr9_133589790__SMARCB1_chr22_24129339	91	323	210	1	67	0
ABL1_chr9_133589790__SMARCB1_chr22_24133949	365	503	424	25	656	0
ABL1_chr9_133589790__SMARCB1_chr22_24133993	184	109	0	439	90	234
ABL1_chr9_133589790__SMO_chr7_128845117	45	643	0	169	346	31
ABL1_chr9_133589790__SRC_chr20_36014563	1541	785	900	1053	1249	1525
ABL1_chr9_133589790__SRC_chr20_36022600	280	206	41	41	156	6
ABL1_chr9_133589790__TOP1_chr20_39657693	82	308	2	114	561	42
ABL1_chr9_133589790__TOP1_chr20_39690109	109	209	0	42	582	0
ABL1_chr9_133589790__TP53_chr17_7577537	1067	291	562	681	1064	1025
ABL1_chr9_133589790__TP53_chr17_7579881	395	156	174	441	500	180
ABL1_chr9_133589790__TSC1_chr9_135804256	41	564	24	72	219	1
ABL1_chr9_133589790__TYMS_chr18_659665	639	359	205	473	548	92
ABL1_chr9_133589790__VEGFA_chr6_43742077	35	420	0	212	167	38
ABL1_chr9_133589790__VHL_chr3_10183773	204	651	2	137	427	225
ABL1_chr9_133589790__WEE1_chr11_9595462	531	1124	366	205	1001	94
ABL1_chr9_133738283__AKT1_chr14_105258968	394	335	149	884	309	810
ABL1_chr9_133738283__ALK_chr2_29541171	565	166	521	414	286	0
ABL1_chr9_133738283__ALK_chr2_29541172	105	42	65	233	640	0
ABL1_chr9_133738283__ALK_chr2_30143522	427	642	409	273	933	180
ABL1_chr9_133738283__APC_chr5_112102933	208	94	396	20	0	0
ABL1_chr9_133738283__ARID1A_chr1_27022876	1	199	0	192	0	243
ABL1_chr9_133738283__ARID1A_chr1_27056286	223	188	184	205	358	115
ABL1_chr9_133738283__ATM_chr11_108098350	1111	0	1394	331	638	58
ABL1_chr9_133738283__ATM_chr11_108098390	790	697	871	145	176	4
ABL1_chr9_133738283__BCL2_chr18_60795945	284	202	225	175	323	277
ABL1_chr9_133738283__BCL2_chr18_60795960	33	84	57	33	81	0
ABL1_chr9_133738283__BRAF_chr7_140508787	755	834	480	1304	530	1081
ABL1_chr9_133738283__BRAF_chr7_140534469	299	356	261	715	835	1306
ABL1_chr9_133738283__BRCA1_chr17_41256141	116	282	73	122	264	67
ABL1_chr9_133738283__BRCA1_chr17_41276018	275	248	97	198	469	147
ABL1_chr9_133738283__BRCA2_chr13_32890586	221	107	181	184	329	0
ABL1_chr9_133738283__BRCA2_chr13_32914228	647	729	248	359	992	236
ABL1_chr9_133738283__BRD4_chr19_15383894	0	0	0	27	0	0
ABL1_chr9_133738283__BTK_chrX_100626613	201	200	37	381	101	230
ABL1_chr9_133738283__BTK_chrX_100645534	33	268	0	64	279	128
ABL1_chr9_133738283__CASP8_chr2_202123033	379	636	1043	404	204	271
ABL1_chr9_133738283__CASP8_chr2_202131404	91	222	785	84	11	0
ABL1_chr9_133738283__CDH1_chr16_68771300	1051	1296	1604	873	1326	981
ABL1_chr9_133738283__CDH1_chr16_68772250	116	229	145	173	187	187
ABL1_chr9_133738283__CDK4_chr12_58143253	329	183	207	102	1152	22
ABL1_chr9_133738283__CDK6_chr7_92244474	529	198	229	575	1062	843
ABL1_chr9_133738283__CDK6_chr7_92252365	240	321	313	996	664	1265
ABL1_chr9_133738283__CDK6_chr7_92462628	195	301	40	322	0	209
ABL1_chr9_133738283__CDK9_chr9_130548409	75	181	1	29	378	142
ABL1_chr9_133738283__CDKN1B_chr12_12870931	147	113	0	38	167	0
ABL1_chr9_133738283__CHEK1_chr11_125496687	31	356	1	31	2546	0
ABL1_chr9_133738283__CHEK2_chr22_29085137	875	510	1533	210	279	446
ABL1_chr9_133738283__DHFR_chr5_79950216	88	34	379	178	385	280
ABL1_chr9_133738283__DHFR_chr5_79950217	491	110	124	222	827	67
ABL1_chr9_133738283__EGFR_chr7_55086962	90	4	0	44	319	68
ABL1_chr9_133738283__EGFR_chr7_55209992	18	0	0	50	562	156
ABL1_chr9_133738283__ERBB2_chr17_37868292	324	565	219	292	499	562
ABL1_chr9_133738283__FGFR2_chr10_123298118	503	372	628	241	423	321
ABL1_chr9_133738283__FGFR3_chr4_1795736	297	115	531	126	252	83
ABL1_chr9_133738283__FLT3_chr13_28636172	894	611	1267	49	375	0
ABL1_chr9_133738283__FLT3_chr13_28674643	838	299	510	1260	725	1940
ABL1_chr9_133738283__FNTA_chr8_42911471	384	240	326	118	106	57
ABL1_chr9_133738283__FNTA_chr8_42924781	186	255	26	288	564	147
ABL1_chr9_133738283__GATA3_chr10_8097612	462	263	479	343	179	180
ABL1_chr9_133738283__HDAC1_chr1_32792601	654	777	217	515	493	393
ABL1_chr9_133738283__HDAC2_chr6_114266539	614	439	408	173	632	77
ABL1_chr9_133738283__HDAC6_chrX_48661089	554	721	682	509	732	744
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	276	187	33	452	162	68
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	535	436	825	600	669	317
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	1346	226	1212	385	755	169
ABL1_chr9_133738283__IGF1R_chr15_99192824	158	622	0	204	428	267
ABL1_chr9_133738283__IGF1R_chr15_99434807	528	191	1474	406	316	142
ABL1_chr9_133738283__KDM5C_chrX_53241021	3	75	74	172	12	244
ABL1_chr9_133738283__KDM5C_chrX_53254068	530	759	166	385	571	60
ABL1_chr9_133738283__KDM6A_chrX_44732838	998	316	421	549	451	529
ABL1_chr9_133738283__KIT_chr4_55524176	118	288	564	292	0	219
ABL1_chr9_133738283__KMT2D_chr12_49448161	0	532	0	221	352	471
ABL1_chr9_133738283__MAP2K1_chr15_66679721	407	421	366	681	909	1365
ABL1_chr9_133738283__MAP2K1_chr15_66679756	229	1139	225	260	532	554
ABL1_chr9_133738283__MAP3K1_chr5_56152466	300	347	392	33	259	4
ABL1_chr9_133738283__MET_chr7_116339123	161	322	0	74	111	375
ABL1_chr9_133738283__MET_chr7_116340188	426	716	251	473	639	414
ABL1_chr9_133738283__MLH1_chr3_37035029	158	320	430	427	381	1501
ABL1_chr9_133738283__MLH1_chr3_37038179	1033	891	3426	349	720	244
ABL1_chr9_133738283__MLH1_chr3_37045912	51	626	74	9	102	20
ABL1_chr9_133738283__MTOR_chr1_11317010	569	974	47	567	328	700
ABL1_chr9_133738283__MTOR_chr1_11317149	3	276	1	30	31	0
ABL1_chr9_133738283__NF1_chr17_29483038	822	289	1101	382	346	355
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	364	1087	329	359	548	165
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	531	692	116	499	0	814
ABL1_chr9_133738283__PARP1_chr1_226595581	305	1065	676	207	678	111
ABL1_chr9_133738283__PDGFRA_chr4_55124963	205	1054	144	275	415	667
ABL1_chr9_133738283__PIK3CA_chr3_178916614	810	590	259	1261	837	1344
ABL1_chr9_133738283__PIK3R1_chr5_67522521	447	356	876	257	738	572
ABL1_chr9_133738283__PIK3R1_chr5_67576421	406	246	281	33	271	0
ABL1_chr9_133738283__PRKDC_chr8_48872683	117	211	206	0	143	0
ABL1_chr9_133738283__PTEN_chr10_89653786	909	84	537	310	1046	357
ABL1_chr9_133738283__RB1_chr13_48878054	663	544	251	436	583	262
ABL1_chr9_133738283__RB1_chr13_48934148	52	1	0	12	244	1
ABL1_chr9_133738283__RB1_chr13_48936969	402	1109	230	715	319	854
ABL1_chr9_133738283__ROR1_chr1_64240072	905	1293	1121	263	868	720
ABL1_chr9_133738283__ROR1_chr1_64240089	728	234	822	669	767	891
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	1042	869	430	943	486	632
ABL1_chr9_133738283__RRM2_chr2_10262728	315	160	89	15	107	63
ABL1_chr9_133738283__RUNX1_chr21_36252860	0	538	3	220	327	51
ABL1_chr9_133738283__RUNX1_chr21_36252902	482	197	482	522	140	1305
ABL1_chr9_133738283__RUNX1_chr21_36421144	596	847	371	276	1370	592
ABL1_chr9_133738283__SETD2_chr3_47142972	0	25	2	3	0	34
ABL1_chr9_133738283__SMAD4_chr18_48573460	95	212	0	24	95	69
ABL1_chr9_133738283__SMARCA4_chr19_11095011	220	502	0	272	284	196
ABL1_chr9_133738283__SMO_chr7_128845081	410	550	1152	230	1549	511
ABL1_chr9_133738283__SMO_chr7_128845117	31	243	205	66	444	46
ABL1_chr9_133738283__SRC_chr20_36012562	92	171	285	54	24	0
ABL1_chr9_133738283__SRC_chr20_36022600	381	254	179	504	296	439
ABL1_chr9_133738283__TOP1_chr20_39657693	38	1219	0	184	471	49
ABL1_chr9_133738283__TOP1_chr20_39690055	201	344	138	106	176	173
ABL1_chr9_133738283__TP53_chr17_7578373	342	455	167	330	306	820
ABL1_chr9_133738283__TSC1_chr9_135796748	426	632	731	140	1189	132
ABL1_chr9_133738283__TYMS_chr18_657730	1440	1183	1643	1511	1846	3894
ABL1_chr9_133738283__TYMS_chr18_659665	260	201	637	11	373	1
ABL1_chr9_133738283__VEGFA_chr6_43738425	95	256	81	538	145	484
ABL1_chr9_133738283__VEGFA_chr6_43742077	1017	1141	1421	902	353	603
ABL1_chr9_133738283__VHL_chr3_10183791	461	529	105	104	349	0
ABL1_chr9_133738283__WEE1_chr11_9595462	431	686	65	319	765	273
ABL1_chr9_133738283__WEE1_chr11_9595542	77	696	0	416	249	180
ABL1_chr9_133738283__WEE1_chr11_9595845	268	125	0	110	341	170
ABL1_chr9_133738356__ADA_chr20_43280245	800	743	426	361	460	20
ABL1_chr9_133738356__AKT1_chr14_105239609	407	523	1056	89	829	205
ABL1_chr9_133738356__AKT1_chr14_105239686	627	573	418	462	1264	279
ABL1_chr9_133738356__AKT1_chr14_105258968	1328	1132	736	548	1181	681
ABL1_chr9_133738356__APC_chr5_112043408	1086	1119	447	731	2399	528
ABL1_chr9_133738356__APC_chr5_112102023	653	623	1534	271	176	168
ABL1_chr9_133738356__ARID1A_chr1_27056286	761	1121	333	878	1543	570
ABL1_chr9_133738356__ARID1A_chr1_27056288	966	1263	460	1116	866	1068
ABL1_chr9_133738356__ARID2_chr12_46123614	184	300	38	515	253	871
ABL1_chr9_133738356__ATM_chr11_108098350	0	0	0	11	228	0
ABL1_chr9_133738356__ATM_chr11_108098390	668	1138	256	1228	532	1060
ABL1_chr9_133738356__ATM_chr11_108098402	584	219	278	124	417	23
ABL1_chr9_133738356__BRAF_chr7_140508787	902	841	215	504	1118	171
ABL1_chr9_133738356__BRAF_chr7_140624501	183	543	0	71	396	0
ABL1_chr9_133738356__BRCA1_chr17_41256141	369	1498	32	199	1084	1
ABL1_chr9_133738356__BRCA1_chr17_41267735	159	605	0	226	560	0
ABL1_chr9_133738356__BRD4_chr19_15376361	0	452	0	16	209	0
ABL1_chr9_133738356__BTK_chrX_100629565	249	596	89	282	478	518
ABL1_chr9_133738356__CASP8_chr2_202123033	775	921	441	207	212	20
ABL1_chr9_133738356__CASP8_chr2_202131404	1018	544	852	633	533	400
ABL1_chr9_133738356__CDH1_chr16_68772255	638	252	585	83	342	87
ABL1_chr9_133738356__CDK4_chr12_58144705	1309	873	785	517	986	612
ABL1_chr9_133738356__CDK4_chr12_58145497	332	319	291	72	501	56
ABL1_chr9_133738356__CDK6_chr7_92244474	383	718	779	305	1286	338
ABL1_chr9_133738356__CDK6_chr7_92252365	812	790	826	268	581	258
ABL1_chr9_133738356__CDK9_chr9_130548409	237	624	63	113	718	74
ABL1_chr9_133738356__CDK9_chr9_130548998	150	1028	0	0	826	1
ABL1_chr9_133738356__CDKN1B_chr12_12871196	543	1754	117	336	1732	197
ABL1_chr9_133738356__CDKN2A_chr9_21994327	273	83	71	94	314	26
ABL1_chr9_133738356__CHEK1_chr11_125499147	79	530	71	161	964	19
ABL1_chr9_133738356__DHFR_chr5_79949819	6	273	0	172	117	122
ABL1_chr9_133738356__DHFR_chr5_79950216	1296	644	1440	456	559	76
ABL1_chr9_133738356__ERBB2_chr17_37868221	617	412	1121	1005	641	952
ABL1_chr9_133738356__FGFR2_chr10_123298215	365	312	289	154	261	0
ABL1_chr9_133738356__FGFR2_chr10_123353328	48	261	49	198	759	569
ABL1_chr9_133738356__FGFR3_chr4_1795655	186	411	0	212	345	189
ABL1_chr9_133738356__FGFR3_chr4_1795735	627	1222	868	397	1957	329
ABL1_chr9_133738356__FGFR3_chr4_1795736	169	343	23	95	203	63
ABL1_chr9_133738356__FLT3_chr13_28636131	267	397	303	89	245	120
ABL1_chr9_133738356__FNTA_chr8_42914260	101	753	0	77	818	37
ABL1_chr9_133738356__FNTA_chr8_42924781	237	180	320	4	482	3
ABL1_chr9_133738356__GATA3_chr10_8097722	1019	450	633	19	407	0
ABL1_chr9_133738356__GATA3_chr10_8097790	645	803	180	362	531	70
ABL1_chr9_133738356__HDAC1_chr1_32757816	1005	867	147	506	1372	139
ABL1_chr9_133738356__HDAC1_chr1_32792637	388	622	75	466	729	290
ABL1_chr9_133738356__HDAC2_chr6_114267214	352	437	244	508	1306	188
ABL1_chr9_133738356__HDAC2_chr6_114292056	192	699	93	293	673	271
ABL1_chr9_133738356__HDAC6_chrX_48661089	755	655	399	232	867	0
ABL1_chr9_133738356__HDAC6_chrX_48661385	933	630	20	667	874	524
ABL1_chr9_133738356__JAK2_chr9_5021970	567	577	437	119	639	0
ABL1_chr9_133738356__JAK2_chr9_5050816	117	495	172	178	57	32
ABL1_chr9_133738356__KDM5C_chrX_53241022	780	329	235	531	1249	321
ABL1_chr9_133738356__KDM5C_chrX_53254068	345	741	272	350	530	44
ABL1_chr9_133738356__KDM6A_chrX_44820616	317	621	315	17	220	0
ABL1_chr9_133738356__KIT_chr4_55524164	128	115	10	94	215	88
ABL1_chr9_133738356__KIT_chr4_55524229	418	354	301	173	856	39
ABL1_chr9_133738356__KMT2D_chr12_49448161	109	1305	153	345	1077	365
ABL1_chr9_133738356__KMT2D_chr12_49448168	1203	942	1724	272	1261	149
ABL1_chr9_133738356__KMT2D_chr12_49448468	1156	1085	1088	535	2072	360
ABL1_chr9_133738356__MAP2K1_chr15_66679728	397	873	322	385	920	93
ABL1_chr9_133738356__MAP3K1_chr5_56111382	0	181	34	53	305	0
ABL1_chr9_133738356__MAP3K1_chr5_56152466	1	102	0	22	162	61
ABL1_chr9_133738356__MET_chr7_116340207	409	334	9	63	296	42
ABL1_chr9_133738356__MLH1_chr3_37035029	208	510	45	214	1068	250
ABL1_chr9_133738356__MLH1_chr3_37038179	406	1332	53	408	920	302
ABL1_chr9_133738356__MSH6_chr2_48018111	1484	1208	599	544	2709	668
ABL1_chr9_133738356__MSH6_chr2_48018154	937	382	257	181	384	102
ABL1_chr9_133738356__MTOR_chr1_11317010	279	904	0	189	110	0
ABL1_chr9_133738356__NF1_chr17_29422308	758	1248	650	926	994	1940
ABL1_chr9_133738356__NF1_chr17_29483039	1949	631	4467	1474	884	7115
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	1179	1118	723	684	1033	1718
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	427	416	118	101	1247	0
ABL1_chr9_133738356__PARP1_chr1_226578249	1294	1677	610	463	1236	206
ABL1_chr9_133738356__PARP1_chr1_226595581	270	266	0	32	124	0
ABL1_chr9_133738356__PBRM1_chr3_52702516	281	744	161	783	821	535
ABL1_chr9_133738356__PDGFRA_chr4_55124932	1038	428	380	1109	744	1037
ABL1_chr9_133738356__PDGFRA_chr4_55124963	429	604	227	303	816	264
ABL1_chr9_133738356__PIK3CA_chr3_178919167	1340	1774	179	711	718	374
ABL1_chr9_133738356__PIK3R1_chr5_67576410	383	521	68	214	306	229
ABL1_chr9_133738356__PRKDC_chr8_48686398	262	451	209	387	490	182
ABL1_chr9_133738356__PRKDC_chr8_48872683	714	592	0	697	1210	1140
ABL1_chr9_133738356__PTEN_chr10_89711868	267	573	297	601	90	185
ABL1_chr9_133738356__RB1_chr13_48936969	913	1151	105	359	486	718
ABL1_chr9_133738356__ROR1_chr1_64240072	881	608	292	261	2402	106
ABL1_chr9_133738356__ROR1_chr1_64240143	68	857	9	604	614	577
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	189	497	138	280	143	346
ABL1_chr9_133738356__RRM2_chr2_10262728	0	148	0	124	0	248
ABL1_chr9_133738356__RRM2_chr2_10262957	410	433	260	69	1127	0
ABL1_chr9_133738356__SETD2_chr3_47205411	597	594	147	339	849	27
ABL1_chr9_133738356__SMAD4_chr18_48575673	136	173	0	285	291	436
ABL1_chr9_133738356__SMAD4_chr18_48586241	217	856	30	288	194	432
ABL1_chr9_133738356__SMARCA4_chr19_11094851	426	715	119	241	220	0
ABL1_chr9_133738356__SMARCA4_chr19_11095011	265	234	192	552	644	409
ABL1_chr9_133738356__SMARCB1_chr22_24129339	536	455	533	356	1209	577
ABL1_chr9_133738356__SMARCB1_chr22_24133993	264	825	151	637	1678	219
ABL1_chr9_133738356__SRC_chr20_36022600	384	484	173	452	858	476
ABL1_chr9_133738356__TOP1_chr20_39690055	0	82	1	105	788	48
ABL1_chr9_133738356__TOP1_chr20_39690109	152	721	0	377	367	464
ABL1_chr9_133738356__TP53_chr17_7577537	628	766	565	416	692	168
ABL1_chr9_133738356__TSC1_chr9_135796748	783	1218	1298	484	1439	250
ABL1_chr9_133738356__TSC1_chr9_135796796	241	293	0	80	761	324
ABL1_chr9_133738356__TYMS_chr18_657730	1271	1913	762	1610	1857	1767
ABL1_chr9_133738356__TYMS_chr18_659656	461	1040	532	458	1162	107
ABL1_chr9_133738356__TYMS_chr18_659665	70	413	196	429	331	499
ABL1_chr9_133738356__VEGFA_chr6_43738425	775	668	383	101	651	239
ABL1_chr9_133738356__VEGFA_chr6_43742077	156	295	241	1455	908	1741
ABL1_chr9_133738356__VEGFA_chr6_43742108	453	121	291	111	648	90
ABL1_chr9_133738356__VHL_chr3_10183518	490	714	255	315	1124	372
ABL1_chr9_133738356__VHL_chr3_10183773	238	979	0	212	1066	84
ABL1_chr9_133738356__WEE1_chr11_9595462	417	608	142	157	864	0
ADA_chr20_43257696__ABL1_chr9_133738283	144	4	150	0	170	30
ADA_chr20_43257696__ABL1_chr9_133738356	98	103	28	58	462	0
ADA_chr20_43257696__AKT1_chr14_105239609	157	195	214	1	339	0
ADA_chr20_43257696__AKT1_chr14_105258968	82	1	1	0	127	0
ADA_chr20_43257696__ALK_chr2_29541171	0	0	0	0	0	0
ADA_chr20_43257696__ALK_chr2_29541172	252	432	213	0	219	0
ADA_chr20_43257696__ALK_chr2_30143522	371	106	459	143	409	267
ADA_chr20_43257696__ARID1A_chr1_27056288	80	244	33	97	417	1
ADA_chr20_43257696__ATM_chr11_108098350	0	24	0	142	1	52
ADA_chr20_43257696__ATM_chr11_108098402	181	86	399	127	1	288
ADA_chr20_43257696__BRAF_chr7_140624501	0	102	0	47	13	0
ADA_chr20_43257696__BRCA1_chr17_41256141	75	569	1	45	431	44
ADA_chr20_43257696__BRCA1_chr17_41276018	18	3	1	28	629	0
ADA_chr20_43257696__BRCA2_chr13_32890586	87	658	41	242	695	197
ADA_chr20_43257696__BRCA2_chr13_32914228	85	579	51	10	79	22
ADA_chr20_43257696__BRD4_chr19_15376361	3	100	0	37	47	50
ADA_chr20_43257696__BRD4_chr19_15376403	0	636	0	301	723	203
ADA_chr20_43257696__BRD4_chr19_15383894	296	4	244	0	0	0
ADA_chr20_43257696__BTK_chrX_100626613	196	20	707	0	469	40
ADA_chr20_43257696__BTK_chrX_100629565	19	255	0	284	288	461
ADA_chr20_43257696__BTK_chrX_100645534	545	666	187	639	694	1515
ADA_chr20_43257696__CASP8_chr2_202131404	424	532	494	138	361	1
ADA_chr20_43257696__CASP8_chr2_202134297	294	605	78	0	1114	23
ADA_chr20_43257696__CDH1_chr16_68771300	715	386	57	132	955	103
