construct_id	ln229_cas9trex2B_t0_S5_trimmed53_len_filtered_counts	ln229_cas9B_t0_S3_trimmed53_len_filtered_counts	ln229_cas9trex2A_t0_S4_trimmed53_len_filtered_counts	ln229_cas9A_t0_S2_trimmed53_len_filtered_counts	ln229_parent_t0_S1_trimmed53_len_filtered_counts
ABL1_chr9_133589790__SETD2_chr3_47205411	219	2	0	0	0
ABL1_chr9_133589790__SMARCA4_chr19_11094819	17	3	1	5	5
ABL1_chr9_133589790__SMARCB1_chr22_24129339	136	4	0	1191	1
ABL1_chr9_133589790__SMARCB1_chr22_24133949	95	4	320	1871	2
ABL1_chr9_133589790__SMARCB1_chr22_24133993	412	2	2	0	0
ABL1_chr9_133589790__SMO_chr7_128845117	101	685	273	1967	0
ABL1_chr9_133589790__SRC_chr20_36014563	366	2075	486	3560	2950
ABL1_chr9_133589790__SRC_chr20_36022600	360	0	2	2	2
ABL1_chr9_133589790__TOP1_chr20_39657693	520	1462	466	705	2523
ABL1_chr9_133589790__TOP1_chr20_39690109	105	1	0	0	1
ABL1_chr9_133589790__TP53_chr17_7577537	200	6526	1	957	1061
ABL1_chr9_133589790__TP53_chr17_7579881	158	3405	1	1164	1
ABL1_chr9_133589790__TSC1_chr9_135804256	267	1654	0	723	2
ABL1_chr9_133589790__TYMS_chr18_659665	355	5	36	0	1
ABL1_chr9_133589790__VEGFA_chr6_43742077	44	2	83	0	2
ABL1_chr9_133589790__VHL_chr3_10183773	1050	4617	4	219	3
ABL1_chr9_133589790__WEE1_chr11_9595462	27	5	1175	868	3
ABL1_chr9_133738283__AKT1_chr14_105258968	161	2	467	0	2
ABL1_chr9_133738283__ALK_chr2_29541171	1	0	1	0	1
ABL1_chr9_133738283__ALK_chr2_29541172	1	0	0	0	1
ABL1_chr9_133738283__ALK_chr2_30143522	416	2369	0	7	1
ABL1_chr9_133738283__APC_chr5_112102933	128	0	1	1661	4
ABL1_chr9_133738283__ARID1A_chr1_27022876	4	3	81	0	2
ABL1_chr9_133738283__ARID1A_chr1_27056286	1102	0	467	117	2
ABL1_chr9_133738283__ATM_chr11_108098350	498	0	0	0	1
ABL1_chr9_133738283__ATM_chr11_108098390	275	1	1	1	3
ABL1_chr9_133738283__BCL2_chr18_60795945	87	305	418	0	0
ABL1_chr9_133738283__BCL2_chr18_60795960	213	0	660	2	3
ABL1_chr9_133738283__BRAF_chr7_140508787	1705	1796	0	3617	4
ABL1_chr9_133738283__BRAF_chr7_140534469	98	2	534	2	401
ABL1_chr9_133738283__BRCA1_chr17_41256141	1452	1	262	3298	3
ABL1_chr9_133738283__BRCA1_chr17_41276018	623	0	1	2	3
ABL1_chr9_133738283__BRCA2_chr13_32890586	148	0	78	1	0
ABL1_chr9_133738283__BRCA2_chr13_32914228	32	3	251	1	635
ABL1_chr9_133738283__BRD4_chr19_15383894	84	2	63	2	870
ABL1_chr9_133738283__BTK_chrX_100626613	1	2	723	3804	2
ABL1_chr9_133738283__BTK_chrX_100645534	518	3	0	0	1
ABL1_chr9_133738283__CASP8_chr2_202123033	221	132	981	1	2
ABL1_chr9_133738283__CASP8_chr2_202131404	890	89	1	1	2
ABL1_chr9_133738283__CDH1_chr16_68771300	1113	2220	685	0	1
ABL1_chr9_133738283__CDH1_chr16_68772250	1	4	0	4	1
ABL1_chr9_133738283__CDK4_chr12_58143253	404	2150	743	355	3
ABL1_chr9_133738283__CDK6_chr7_92244474	497	2263	154	3	146
ABL1_chr9_133738283__CDK6_chr7_92252365	132	0	791	13	0
ABL1_chr9_133738283__CDK6_chr7_92462628	290	249	679	0	2
ABL1_chr9_133738283__CDK9_chr9_130548409	489	507	494	2	0
ABL1_chr9_133738283__CDKN1B_chr12_12870931	244	1	1	1	0
ABL1_chr9_133738283__CHEK1_chr11_125496687	1125	6	0	1699	2
ABL1_chr9_133738283__CHEK2_chr22_29085137	70	6853	473	1573	2027
ABL1_chr9_133738283__DHFR_chr5_79950216	1	2043	651	2	1
ABL1_chr9_133738283__DHFR_chr5_79950217	2392	312	1	4	1
ABL1_chr9_133738283__EGFR_chr7_55086962	42	0	0	2	0
ABL1_chr9_133738283__EGFR_chr7_55209992	415	0	0	1	0
ABL1_chr9_133738283__ERBB2_chr17_37868292	296	2	577	12	4
ABL1_chr9_133738283__FGFR2_chr10_123298118	59	4	2	353	4
ABL1_chr9_133738283__FGFR3_chr4_1795736	190	1	413	2	3
ABL1_chr9_133738283__FLT3_chr13_28636172	631	2	668	2	0
ABL1_chr9_133738283__FLT3_chr13_28674643	326	10	1340	4	1
ABL1_chr9_133738283__FNTA_chr8_42911471	11	1	0	1	0
ABL1_chr9_133738283__FNTA_chr8_42924781	1119	1	346	5	2
ABL1_chr9_133738283__GATA3_chr10_8097612	376	0	542	0	0
ABL1_chr9_133738283__HDAC1_chr1_32792601	477	0	110	1505	2
ABL1_chr9_133738283__HDAC2_chr6_114266539	0	1063	634	1078	2
ABL1_chr9_133738283__HDAC6_chrX_48661089	98	0	382	46	3
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	11	2	2	0	1
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	0	5	0	231	1
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	672	3	783	1	3
ABL1_chr9_133738283__IGF1R_chr15_99192824	422	1	0	1	1
ABL1_chr9_133738283__IGF1R_chr15_99434807	157	3094	0	2	3
ABL1_chr9_133738283__KDM5C_chrX_53241021	22	0	24	0	0
ABL1_chr9_133738283__KDM5C_chrX_53254068	1058	6	0	2	1
ABL1_chr9_133738283__KDM6A_chrX_44732838	116	0	1	1	1
ABL1_chr9_133738283__KIT_chr4_55524176	80	0	372	0	0
ABL1_chr9_133738283__KMT2D_chr12_49448161	2	3	221	1	0
ABL1_chr9_133738283__MAP2K1_chr15_66679721	148	5743	132	1920	2670
ABL1_chr9_133738283__MAP2K1_chr15_66679756	1426	3	283	4	0
ABL1_chr9_133738283__MAP3K1_chr5_56152466	173	0	22	1	0
ABL1_chr9_133738283__MET_chr7_116339123	869	1	0	38	2
ABL1_chr9_133738283__MET_chr7_116340188	935	11	0	1823	2
ABL1_chr9_133738283__MLH1_chr3_37035029	177	1	0	217	1
ABL1_chr9_133738283__MLH1_chr3_37038179	600	2	1030	4	3724
ABL1_chr9_133738283__MLH1_chr3_37045912	6	0	213	2211	0
ABL1_chr9_133738283__MTOR_chr1_11317010	53	1282	284	621	12128
ABL1_chr9_133738283__MTOR_chr1_11317149	177	504	487	1	0
ABL1_chr9_133738283__NF1_chr17_29483038	76	0	0	3557	2
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	1	2	409	0	2
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	903	1153	911	1	4
ABL1_chr9_133738283__PARP1_chr1_226595581	0	0	0	0	1
ABL1_chr9_133738283__PDGFRA_chr4_55124963	597	0	0	345	3
ABL1_chr9_133738283__PIK3CA_chr3_178916614	192	4821	1	9	1339
ABL1_chr9_133738283__PIK3R1_chr5_67522521	365	3	63	4928	5
ABL1_chr9_133738283__PIK3R1_chr5_67576421	526	2	5	2	2407
ABL1_chr9_133738283__PRKDC_chr8_48872683	555	1390	0	3	1
ABL1_chr9_133738283__PTEN_chr10_89653786	364	0	63	834	0
ABL1_chr9_133738283__RB1_chr13_48878054	56	2	1304	3	1370
ABL1_chr9_133738283__RB1_chr13_48934148	0	308	0	414	3
ABL1_chr9_133738283__RB1_chr13_48936969	1033	51	0	564	1
ABL1_chr9_133738283__ROR1_chr1_64240072	167	1	872	1094	6
ABL1_chr9_133738283__ROR1_chr1_64240089	22	5	361	2952	0
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	250	2	1634	851	1
ABL1_chr9_133738283__RRM2_chr2_10262728	43	0	0	0	2
ABL1_chr9_133738283__RUNX1_chr21_36252860	123	1	441	0	2
ABL1_chr9_133738283__RUNX1_chr21_36252902	110	1	10	508	2357
ABL1_chr9_133738283__RUNX1_chr21_36421144	523	2	1	0	3
ABL1_chr9_133738283__SETD2_chr3_47142972	0	0	0	1	2
ABL1_chr9_133738283__SMAD4_chr18_48573460	2	0	0	0	0
ABL1_chr9_133738283__SMARCA4_chr19_11095011	28	2	1	1	2
ABL1_chr9_133738283__SMO_chr7_128845081	446	1	0	5768	2137
ABL1_chr9_133738283__SMO_chr7_128845117	644	1	2	166	9
ABL1_chr9_133738283__SRC_chr20_36012562	163	0	0	1	1
ABL1_chr9_133738283__SRC_chr20_36022600	384	2	0	3	3
ABL1_chr9_133738283__TOP1_chr20_39657693	1452	4141	2	3	303
ABL1_chr9_133738283__TOP1_chr20_39690055	274	761	0	3148	1
ABL1_chr9_133738283__TP53_chr17_7578373	1149	0	0	1	3
ABL1_chr9_133738283__TSC1_chr9_135796748	1478	2	616	518	2
ABL1_chr9_133738283__TYMS_chr18_657730	920	583	1079	5	1796
ABL1_chr9_133738283__TYMS_chr18_659665	435	2502	213	2153	4
ABL1_chr9_133738283__VEGFA_chr6_43738425	5	734	0	0	0
ABL1_chr9_133738283__VEGFA_chr6_43742077	387	4474	772	3	1
ABL1_chr9_133738283__VHL_chr3_10183791	875	1	767	3234	2
ABL1_chr9_133738283__WEE1_chr11_9595462	351	1	0	1031	278
ABL1_chr9_133738283__WEE1_chr11_9595542	198	1	358	3	1322
ABL1_chr9_133738283__WEE1_chr11_9595845	123	2	151	0	4
ABL1_chr9_133738356__ADA_chr20_43280245	1207	2831	219	3	2025
ABL1_chr9_133738356__AKT1_chr14_105239609	674	10	354	341	611
ABL1_chr9_133738356__AKT1_chr14_105239686	572	6	182	96	3
ABL1_chr9_133738356__AKT1_chr14_105258968	639	1073	493	3	4960
ABL1_chr9_133738356__APC_chr5_112043408	900	2567	90	100	6
ABL1_chr9_133738356__APC_chr5_112102023	971	2	268	253	611
ABL1_chr9_133738356__ARID1A_chr1_27056286	277	403	118	4258	10
ABL1_chr9_133738356__ARID1A_chr1_27056288	880	811	0	1904	7
ABL1_chr9_133738356__ARID2_chr12_46123614	0	2	0	1	1
ABL1_chr9_133738356__ATM_chr11_108098350	77	2	0	0	1
ABL1_chr9_133738356__ATM_chr11_108098390	362	2181	0	3	6
ABL1_chr9_133738356__ATM_chr11_108098402	736	642	1	1649	2
ABL1_chr9_133738356__BRAF_chr7_140508787	1245	192	104	1081	3
ABL1_chr9_133738356__BRAF_chr7_140624501	309	1	0	3	3
ABL1_chr9_133738356__BRCA1_chr17_41256141	1517	5211	18	2736	9
ABL1_chr9_133738356__BRCA1_chr17_41267735	1015	157	0	0	734
ABL1_chr9_133738356__BRD4_chr19_15376361	73	1	0	144	1
ABL1_chr9_133738356__BTK_chrX_100629565	192	1	249	675	2
ABL1_chr9_133738356__CASP8_chr2_202123033	3	2163	1	452	1
ABL1_chr9_133738356__CASP8_chr2_202131404	750	2071	282	195	1
ABL1_chr9_133738356__CDH1_chr16_68772255	761	1	89	2	2597
ABL1_chr9_133738356__CDK4_chr12_58144705	356	1	2	2912	3
ABL1_chr9_133738356__CDK4_chr12_58145497	431	8	224	1	18
ABL1_chr9_133738356__CDK6_chr7_92244474	171	7	122	7	3
ABL1_chr9_133738356__CDK6_chr7_92252365	80	73	0	1317	3
ABL1_chr9_133738356__CDK9_chr9_130548409	588	161	12	3761	3
ABL1_chr9_133738356__CDK9_chr9_130548998	393	3	0	2	1
ABL1_chr9_133738356__CDKN1B_chr12_12871196	311	794	191	488	3611
ABL1_chr9_133738356__CDKN2A_chr9_21994327	10	780	179	0	7
ABL1_chr9_133738356__CHEK1_chr11_125499147	2321	6	619	1789	4519
ABL1_chr9_133738356__DHFR_chr5_79949819	1639	4	469	4	1
ABL1_chr9_133738356__DHFR_chr5_79950216	644	11	1	649	4
ABL1_chr9_133738356__ERBB2_chr17_37868221	10	2238	197	6	4
ABL1_chr9_133738356__FGFR2_chr10_123298215	396	1	41	784	1
ABL1_chr9_133738356__FGFR2_chr10_123353328	2	4	1	2317	8
ABL1_chr9_133738356__FGFR3_chr4_1795655	3	4	0	1	2
ABL1_chr9_133738356__FGFR3_chr4_1795735	990	9	989	3	2
ABL1_chr9_133738356__FGFR3_chr4_1795736	444	3	2	0	1841
ABL1_chr9_133738356__FLT3_chr13_28636131	2	4	235	0	0
ABL1_chr9_133738356__FNTA_chr8_42914260	265	0	64	0	1
ABL1_chr9_133738356__FNTA_chr8_42924781	1	0	1	0	1
ABL1_chr9_133738356__GATA3_chr10_8097722	306	59	1	13	1
ABL1_chr9_133738356__GATA3_chr10_8097790	741	762	1169	2	5
ABL1_chr9_133738356__HDAC1_chr1_32757816	1362	0	315	852	4
ABL1_chr9_133738356__HDAC1_chr1_32792637	91	3654	277	492	5
ABL1_chr9_133738356__HDAC2_chr6_114267214	6	6	135	5314	1977
ABL1_chr9_133738356__HDAC2_chr6_114292056	785	4	80	5	3
ABL1_chr9_133738356__HDAC6_chrX_48661089	424	1941	0	2	0
ABL1_chr9_133738356__HDAC6_chrX_48661385	661	3	0	211	4
ABL1_chr9_133738356__JAK2_chr9_5021970	47	3	444	0	1
ABL1_chr9_133738356__JAK2_chr9_5050816	33	1	0	3	4
ABL1_chr9_133738356__KDM5C_chrX_53241022	813	4	396	987	2173
ABL1_chr9_133738356__KDM5C_chrX_53254068	1849	3	29	1270	3
ABL1_chr9_133738356__KDM6A_chrX_44820616	372	1040	1	789	3
ABL1_chr9_133738356__KIT_chr4_55524164	174	2	1	17	2
ABL1_chr9_133738356__KIT_chr4_55524229	70	3	461	0	1
ABL1_chr9_133738356__KMT2D_chr12_49448161	644	4	997	1500	1
ABL1_chr9_133738356__KMT2D_chr12_49448168	356	9	146	2615	4
ABL1_chr9_133738356__KMT2D_chr12_49448468	407	7292	853	888	1
ABL1_chr9_133738356__MAP2K1_chr15_66679728	1634	2	294	747	4
ABL1_chr9_133738356__MAP3K1_chr5_56111382	281	1	0	0	1
ABL1_chr9_133738356__MAP3K1_chr5_56152466	753	2	1	1	5
ABL1_chr9_133738356__MET_chr7_116340207	0	4	0	195	3
ABL1_chr9_133738356__MLH1_chr3_37035029	1271	4	69	3	3
ABL1_chr9_133738356__MLH1_chr3_37038179	311	774	824	372	6
ABL1_chr9_133738356__MSH6_chr2_48018111	1050	844	465	823	3
ABL1_chr9_133738356__MSH6_chr2_48018154	80	2	101	471	1967
ABL1_chr9_133738356__MTOR_chr1_11317010	1004	12512	1	1547	10
ABL1_chr9_133738356__NF1_chr17_29422308	1986	5082	417	2160	6107
ABL1_chr9_133738356__NF1_chr17_29483039	103	3	1	0	2929
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	2351	4352	1	2154	6
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	14	3	182	447	81
ABL1_chr9_133738356__PARP1_chr1_226578249	403	3	152	995	3
ABL1_chr9_133738356__PARP1_chr1_226595581	90	6349	0	11	2
ABL1_chr9_133738356__PBRM1_chr3_52702516	150	3	582	2	185
ABL1_chr9_133738356__PDGFRA_chr4_55124932	1096	10780	1311	12	3
ABL1_chr9_133738356__PDGFRA_chr4_55124963	999	7	0	74	12
ABL1_chr9_133738356__PIK3CA_chr3_178919167	511	673	1	3788	1818
ABL1_chr9_133738356__PIK3R1_chr5_67576410	812	4	504	2	1872
ABL1_chr9_133738356__PRKDC_chr8_48686398	495	6	0	1536	2
ABL1_chr9_133738356__PRKDC_chr8_48872683	1140	3	93	3589	6
ABL1_chr9_133738356__PTEN_chr10_89711868	400	0	126	240	1
ABL1_chr9_133738356__RB1_chr13_48936969	522	4	0	408	0
ABL1_chr9_133738356__ROR1_chr1_64240072	769	3	67	1939	2
ABL1_chr9_133738356__ROR1_chr1_64240143	964	1201	624	945	1078
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	498	4	1	3	193
ABL1_chr9_133738356__RRM2_chr2_10262728	121	3	0	3	0
ABL1_chr9_133738356__RRM2_chr2_10262957	788	1120	454	1137	7
ABL1_chr9_133738356__SETD2_chr3_47205411	1247	2528	107	3	195
ABL1_chr9_133738356__SMAD4_chr18_48575673	84	3	79	1	1
ABL1_chr9_133738356__SMAD4_chr18_48586241	192	7	1510	1	2
ABL1_chr9_133738356__SMARCA4_chr19_11094851	93	1	239	4	1
ABL1_chr9_133738356__SMARCA4_chr19_11095011	265	2709	144	1088	4
ABL1_chr9_133738356__SMARCB1_chr22_24129339	427	2	0	5	1747
ABL1_chr9_133738356__SMARCB1_chr22_24133993	967	4647	95	2075	2
ABL1_chr9_133738356__SRC_chr20_36022600	636	4245	7	317	1
ABL1_chr9_133738356__TOP1_chr20_39690055	76	0	0	3	922
ABL1_chr9_133738356__TOP1_chr20_39690109	1156	2059	1	593	1
ABL1_chr9_133738356__TP53_chr17_7577537	112	799	735	3921	6
ABL1_chr9_133738356__TSC1_chr9_135796748	1095	136	980	5351	60
ABL1_chr9_133738356__TSC1_chr9_135796796	443	9617	226	1082	4
ABL1_chr9_133738356__TYMS_chr18_657730	1886	5802	510	5158	5977
ABL1_chr9_133738356__TYMS_chr18_659656	518	607	416	2038	3
ABL1_chr9_133738356__TYMS_chr18_659665	301	3	217	735	0
ABL1_chr9_133738356__VEGFA_chr6_43738425	593	1287	91	831	2
ABL1_chr9_133738356__VEGFA_chr6_43742077	675	3024	1154	3656	12
ABL1_chr9_133738356__VEGFA_chr6_43742108	201	3	0	250	4
ABL1_chr9_133738356__VHL_chr3_10183518	152	3320	300	4688	1051
ABL1_chr9_133738356__VHL_chr3_10183773	842	2	858	4200	2308
ABL1_chr9_133738356__WEE1_chr11_9595462	290	1578	446	758	1
ADA_chr20_43257696__ABL1_chr9_133738283	0	1	0	1	3
ADA_chr20_43257696__ABL1_chr9_133738356	0	542	1	1469	5
ADA_chr20_43257696__AKT1_chr14_105239609	1	0	659	0	1
ADA_chr20_43257696__AKT1_chr14_105258968	0	1	1225	0	1
ADA_chr20_43257696__ALK_chr2_29541171	0	2	0	0	0
ADA_chr20_43257696__ALK_chr2_29541172	1127	2	0	2985	3549
ADA_chr20_43257696__ALK_chr2_30143522	58	0	0	0	0
ADA_chr20_43257696__ARID1A_chr1_27056288	222	1	1	1819	601
ADA_chr20_43257696__ATM_chr11_108098350	0	429	1	4	0
ADA_chr20_43257696__ATM_chr11_108098402	0	0	0	871	0
ADA_chr20_43257696__BRAF_chr7_140624501	4	1	0	0	0
ADA_chr20_43257696__BRCA1_chr17_41256141	936	1	960	1382	10
ADA_chr20_43257696__BRCA1_chr17_41276018	338	0	288	2	0
ADA_chr20_43257696__BRCA2_chr13_32890586	0	0	72	2	1
ADA_chr20_43257696__BRCA2_chr13_32914228	98	0	606	0	2
ADA_chr20_43257696__BRD4_chr19_15376361	0	1	0	0	0
ADA_chr20_43257696__BRD4_chr19_15376403	325	523	0	2	455
ADA_chr20_43257696__BRD4_chr19_15383894	120	0	1	4	0
ADA_chr20_43257696__BTK_chrX_100626613	286	11	0	0	0
ADA_chr20_43257696__BTK_chrX_100629565	1421	0	107	1198	2
ADA_chr20_43257696__BTK_chrX_100645534	661	200	48	1	1
ADA_chr20_43257696__CASP8_chr2_202131404	121	0	0	1	3
ADA_chr20_43257696__CASP8_chr2_202134297	880	0	430	680	2
ADA_chr20_43257696__CDH1_chr16_68771300	414	6	2	3	4316
ADA_chr20_43257696__CDH1_chr16_68772255	0	0	0	0	0
ADA_chr20_43257696__CDK4_chr12_58143253	49	0	274	267	1
ADA_chr20_43257696__CDK4_chr12_58144705	721	1	0	0	1
ADA_chr20_43257696__CDK6_chr7_92244474	555	166	682	3	1294
ADA_chr20_43257696__CDK6_chr7_92252365	68	0	0	0	0
ADA_chr20_43257696__CDK9_chr9_130548998	33	1	2	0	2
ADA_chr20_43257696__CDK9_chr9_130550235	46	1	0	236	4
ADA_chr20_43257696__CDKN1B_chr12_12870931	132	0	1	2	0
ADA_chr20_43257696__CDKN2A_chr9_21994327	292	0	0	0	0
ADA_chr20_43257696__CHEK1_chr11_125496644	14	375	1	0	4
ADA_chr20_43257696__CHEK1_chr11_125499147	190	0	850	0	0
ADA_chr20_43257696__CHEK2_chr22_29090029	171	0	0	1	1
ADA_chr20_43257696__CHEK2_chr22_29130694	111	0	1	168	4
ADA_chr20_43257696__DHFR_chr5_79950216	501	2384	208	2	4
ADA_chr20_43257696__EGFR_chr7_55209986	1364	1640	0	445	704
ADA_chr20_43257696__ERBB2_chr17_37855800	1	0	185	2	3
ADA_chr20_43257696__FGFR2_chr10_123298118	0	2	0	3	1501
ADA_chr20_43257696__FGFR2_chr10_123298215	1	1	0	1	0
ADA_chr20_43257696__FGFR3_chr4_1795655	55	96	0	2	1
ADA_chr20_43257696__FGFR3_chr4_1795736	257	5	317	0	4
ADA_chr20_43257696__FLT3_chr13_28636172	787	224	1	1611	0
