construct_id	RuCTAt14_S6_trimmed53_len_filtered_counts	RuCTBt14_S7_trimmed53_len_filtered_counts
ABL1_chr9_133738283__BTK_chrX_100645534	45	35
ABL1_chr9_133738283__CASP8_chr2_202123033	15	94
ABL1_chr9_133738283__CASP8_chr2_202131404	13	95
ABL1_chr9_133738283__CDH1_chr16_68771300	476	652
ABL1_chr9_133738283__CDH1_chr16_68772250	158	263
ABL1_chr9_133738283__CDK4_chr12_58143253	582	65
ABL1_chr9_133738283__CDK6_chr7_92244474	105	234
ABL1_chr9_133738283__CDK6_chr7_92252365	137	87
ABL1_chr9_133738283__CDK6_chr7_92462628	39	7
ABL1_chr9_133738283__CDK9_chr9_130548409	22	442
ABL1_chr9_133738283__CDKN1B_chr12_12870931	8	63
ABL1_chr9_133738283__CHEK1_chr11_125496687	2	7
ABL1_chr9_133738283__CHEK2_chr22_29085137	191	1157
ABL1_chr9_133738283__DHFR_chr5_79950216	196	332
ABL1_chr9_133738283__DHFR_chr5_79950217	24	61
ABL1_chr9_133738283__EGFR_chr7_55086962	276	931
ABL1_chr9_133738283__EGFR_chr7_55209992	299	20
ABL1_chr9_133738283__ERBB2_chr17_37868292	62	242
ABL1_chr9_133738283__FGFR2_chr10_123298118	1144	913
ABL1_chr9_133738283__FGFR3_chr4_1795736	304	707
ABL1_chr9_133738283__FLT3_chr13_28636172	286	100
ABL1_chr9_133738283__FLT3_chr13_28674643	169	145
ABL1_chr9_133738283__FNTA_chr8_42911471	5	27
ABL1_chr9_133738283__FNTA_chr8_42924781	849	138
ABL1_chr9_133738283__GATA3_chr10_8097612	18	318
ABL1_chr9_133738283__HDAC1_chr1_32792601	422	97
ABL1_chr9_133738283__HDAC2_chr6_114266539	75	132
ABL1_chr9_133738283__HDAC6_chrX_48661089	906	25
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	12	29
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	178	16
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	72	327
ABL1_chr9_133738283__IGF1R_chr15_99192824	71	207
ABL1_chr9_133738283__IGF1R_chr15_99434807	357	13
ABL1_chr9_133738283__KDM5C_chrX_53241021	9	54
ABL1_chr9_133738283__KDM5C_chrX_53254068	75	448
ABL1_chr9_133738283__KDM6A_chrX_44732838	115	889
ABL1_chr9_133738283__KIT_chr4_55524176	17	11
ABL1_chr9_133738283__KMT2D_chr12_49448161	14	8
ABL1_chr9_133738283__MAP2K1_chr15_66679721	216	489
ABL1_chr9_133738283__MAP2K1_chr15_66679756	9	317
ABL1_chr9_133738283__MAP3K1_chr5_56152466	6	41
ABL1_chr9_133738283__MET_chr7_116339123	114	23
ABL1_chr9_133738283__MET_chr7_116340188	106	134
ABL1_chr9_133738283__MLH1_chr3_37035029	162	866
ABL1_chr9_133738283__MLH1_chr3_37038179	692	996
ABL1_chr9_133738283__MLH1_chr3_37045912	15	25
ABL1_chr9_133738283__MTOR_chr1_11317010	155	123
ABL1_chr9_133738283__MTOR_chr1_11317149	310	11
ABL1_chr9_133738283__NF1_chr17_29483038	9	23
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	508	237
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	11	386
ABL1_chr9_133738283__PARP1_chr1_226595581	111	72
ABL1_chr9_133738283__PDGFRA_chr4_55124963	202	325
ABL1_chr9_133738283__PIK3CA_chr3_178916614	182	435
ABL1_chr9_133738283__PIK3R1_chr5_67522521	703	375
ABL1_chr9_133738283__PIK3R1_chr5_67576421	492	145
ABL1_chr9_133738283__PRKDC_chr8_48872683	78	130
ABL1_chr9_133738283__PTEN_chr10_89653786	302	197
ABL1_chr9_133738283__RB1_chr13_48878054	218	26
ABL1_chr9_133738283__RB1_chr13_48934148	16	9
ABL1_chr9_133738283__RB1_chr13_48936969	1739	285
ABL1_chr9_133738283__ROR1_chr1_64240072	119	500
ABL1_chr9_133738283__ROR1_chr1_64240089	24	48
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	262	186
ABL1_chr9_133738283__RRM2_chr2_10262728	25	23
ABL1_chr9_133738283__RUNX1_chr21_36252860	86	268
ABL1_chr9_133738283__RUNX1_chr21_36252902	253	30
ABL1_chr9_133738283__RUNX1_chr21_36421144	256	338
ABL1_chr9_133738283__SETD2_chr3_47142972	4	18
ABL1_chr9_133738283__SMAD4_chr18_48573460	93	9
ABL1_chr9_133738283__SMARCA4_chr19_11095011	272	45
ABL1_chr9_133738283__SMO_chr7_128845081	439	1029
ABL1_chr9_133738283__SMO_chr7_128845117	12	20
ABL1_chr9_133738283__SRC_chr20_36012562	194	301
ABL1_chr9_133738283__SRC_chr20_36022600	278	35
ABL1_chr9_133738283__TOP1_chr20_39657693	146	13
ABL1_chr9_133738283__TOP1_chr20_39690055	543	321
ABL1_chr9_133738283__TP53_chr17_7578373	105	98
ABL1_chr9_133738283__TSC1_chr9_135796748	134	687
ABL1_chr9_133738283__TYMS_chr18_657730	757	459
ABL1_chr9_133738283__TYMS_chr18_659665	606	27
ABL1_chr9_133738283__VEGFA_chr6_43738425	272	19
ABL1_chr9_133738283__VEGFA_chr6_43742077	727	573
ABL1_chr9_133738283__VHL_chr3_10183791	7	11
ABL1_chr9_133738283__WEE1_chr11_9595462	21	143
ABL1_chr9_133738283__WEE1_chr11_9595542	12	21
ABL1_chr9_133738283__WEE1_chr11_9595845	84	33
ABL1_chr9_133738356__ADA_chr20_43280245	144	131
ABL1_chr9_133738356__AKT1_chr14_105239609	213	1522
ABL1_chr9_133738356__AKT1_chr14_105239686	337	530
ABL1_chr9_133738356__AKT1_chr14_105258968	1003	367
ABL1_chr9_133738356__APC_chr5_112043408	1388	240
ABL1_chr9_133738356__APC_chr5_112102023	218	188
ABL1_chr9_133738356__ARID1A_chr1_27056286	1156	78
ABL1_chr9_133738356__ARID1A_chr1_27056288	749	356
ABL1_chr9_133738356__ARID2_chr12_46123614	7	23
ABL1_chr9_133738356__ATM_chr11_108098350	8	18
ABL1_chr9_133738356__ATM_chr11_108098390	380	34
ABL1_chr9_133738356__ATM_chr11_108098402	224	47
ABL1_chr9_133738356__BRAF_chr7_140508787	423	135
ABL1_chr9_133738356__BRAF_chr7_140624501	50	133
ABL1_chr9_133738356__BRCA1_chr17_41256141	988	154
ABL1_chr9_133738356__BRCA1_chr17_41267735	160	115
ABL1_chr9_133738356__BRD4_chr19_15376361	5	26
ABL1_chr9_133738356__BTK_chrX_100629565	49	201
ABL1_chr9_133738356__CASP8_chr2_202123033	130	39
ABL1_chr9_133738356__CASP8_chr2_202131404	99	142
ABL1_chr9_133738356__CDH1_chr16_68772255	164	234
ABL1_chr9_133738356__CDK4_chr12_58144705	807	427
ABL1_chr9_133738356__CDK4_chr12_58145497	20	97
ABL1_chr9_133738356__CDK6_chr7_92244474	1133	70
ABL1_chr9_133738356__CDK6_chr7_92252365	146	506
ABL1_chr9_133738356__CDK9_chr9_130548409	682	257
ABL1_chr9_133738356__CDK9_chr9_130548998	128	312
ABL1_chr9_133738356__CDKN1B_chr12_12871196	688	424
ABL1_chr9_133738356__CDKN2A_chr9_21994327	68	183
ABL1_chr9_133738356__CHEK1_chr11_125499147	568	160
ABL1_chr9_133738356__DHFR_chr5_79949819	303	43
ABL1_chr9_133738356__DHFR_chr5_79950216	553	828
ABL1_chr9_133738356__ERBB2_chr17_37868221	305	837
ABL1_chr9_133738356__FGFR2_chr10_123298215	465	76
ABL1_chr9_133738356__FGFR2_chr10_123353328	712	964
ABL1_chr9_133738356__FGFR3_chr4_1795655	54	611
ABL1_chr9_133738356__FGFR3_chr4_1795735	160	623
ABL1_chr9_133738356__FGFR3_chr4_1795736	17	234
ABL1_chr9_133738356__FLT3_chr13_28636131	146	61
ABL1_chr9_133738356__FNTA_chr8_42914260	49	201
ABL1_chr9_133738356__FNTA_chr8_42924781	331	128
ABL1_chr9_133738356__GATA3_chr10_8097722	342	203
ABL1_chr9_133738356__GATA3_chr10_8097790	432	266
ABL1_chr9_133738356__HDAC1_chr1_32757816	346	301
ABL1_chr9_133738356__HDAC1_chr1_32792637	190	255
ABL1_chr9_133738356__HDAC2_chr6_114267214	354	622
ABL1_chr9_133738356__HDAC2_chr6_114292056	16	144
ABL1_chr9_133738356__HDAC6_chrX_48661089	428	29
ABL1_chr9_133738356__HDAC6_chrX_48661385	35	129
ABL1_chr9_133738356__JAK2_chr9_5021970	309	499
ABL1_chr9_133738356__JAK2_chr9_5050816	14	22
ABL1_chr9_133738356__KDM5C_chrX_53241022	718	610
ABL1_chr9_133738356__KDM5C_chrX_53254068	739	1425
ABL1_chr9_133738356__KDM6A_chrX_44820616	38	30
ABL1_chr9_133738356__KIT_chr4_55524164	23	30
ABL1_chr9_133738356__KIT_chr4_55524229	128	122
ABL1_chr9_133738356__KMT2D_chr12_49448161	120	87
ABL1_chr9_133738356__KMT2D_chr12_49448168	246	413
ABL1_chr9_133738356__KMT2D_chr12_49448468	1927	1482
ABL1_chr9_133738356__MAP2K1_chr15_66679728	855	210
ABL1_chr9_133738356__MAP3K1_chr5_56111382	5	93
ABL1_chr9_133738356__MAP3K1_chr5_56152466	303	73
ABL1_chr9_133738356__MET_chr7_116340207	232	35
ABL1_chr9_133738356__MLH1_chr3_37035029	1439	50
ABL1_chr9_133738356__MLH1_chr3_37038179	1094	199
ABL1_chr9_133738356__MSH6_chr2_48018111	922	534
ABL1_chr9_133738356__MSH6_chr2_48018154	806	31
ABL1_chr9_133738356__MTOR_chr1_11317010	18	107
ABL1_chr9_133738356__NF1_chr17_29422308	879	1225
ABL1_chr9_133738356__NF1_chr17_29483039	153	54
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	772	219
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	72	738
ABL1_chr9_133738356__PARP1_chr1_226578249	219	1080
ABL1_chr9_133738356__PARP1_chr1_226595581	160	37
ABL1_chr9_133738356__PBRM1_chr3_52702516	501	499
ABL1_chr9_133738356__PDGFRA_chr4_55124932	1048	416
ABL1_chr9_133738356__PDGFRA_chr4_55124963	123	541
ABL1_chr9_133738356__PIK3CA_chr3_178919167	606	211
ABL1_chr9_133738356__PIK3R1_chr5_67576410	337	461
ABL1_chr9_133738356__PRKDC_chr8_48686398	367	122
ABL1_chr9_133738356__PRKDC_chr8_48872683	626	117
ABL1_chr9_133738356__PTEN_chr10_89711868	1346	454
ABL1_chr9_133738356__RB1_chr13_48936969	317	215
ABL1_chr9_133738356__ROR1_chr1_64240072	1510	664
ABL1_chr9_133738356__ROR1_chr1_64240143	1029	754
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	36	689
ABL1_chr9_133738356__RRM2_chr2_10262728	64	27
ABL1_chr9_133738356__RRM2_chr2_10262957	87	13
ABL1_chr9_133738356__SETD2_chr3_47205411	78	143
ABL1_chr9_133738356__SMAD4_chr18_48575673	149	548
ABL1_chr9_133738356__SMAD4_chr18_48586241	836	713
ABL1_chr9_133738356__SMARCA4_chr19_11094851	64	616
ABL1_chr9_133738356__SMARCA4_chr19_11095011	427	123
ABL1_chr9_133738356__SMARCB1_chr22_24129339	64	31
ABL1_chr9_133738356__SMARCB1_chr22_24133993	235	46
ABL1_chr9_133738356__SRC_chr20_36022600	206	1294
ABL1_chr9_133738356__TOP1_chr20_39690055	680	17
ABL1_chr9_133738356__TOP1_chr20_39690109	65	22
ABL1_chr9_133738356__TP53_chr17_7577537	20	689
ABL1_chr9_133738356__TSC1_chr9_135796748	773	869
ABL1_chr9_133738356__TSC1_chr9_135796796	67	40
ABL1_chr9_133738356__TYMS_chr18_657730	378	857
ABL1_chr9_133738356__TYMS_chr18_659656	286	1158
ABL1_chr9_133738356__TYMS_chr18_659665	500	252
ABL1_chr9_133738356__VEGFA_chr6_43738425	2170	1769
ABL1_chr9_133738356__VEGFA_chr6_43742077	862	333
ABL1_chr9_133738356__VEGFA_chr6_43742108	174	57
ABL1_chr9_133738356__VHL_chr3_10183518	560	396
ABL1_chr9_133738356__VHL_chr3_10183773	428	182
ABL1_chr9_133738356__WEE1_chr11_9595462	111	1012
ADA_chr20_43257696__ABL1_chr9_133738283	9	33
ADA_chr20_43257696__ABL1_chr9_133738356	241	44
ADA_chr20_43257696__AKT1_chr14_105239609	79	616
ADA_chr20_43257696__AKT1_chr14_105258968	10	35
ADA_chr20_43257696__ALK_chr2_29541171	10	12
ADA_chr20_43257696__ALK_chr2_29541172	379	142
ADA_chr20_43257696__ALK_chr2_30143522	378	89
ADA_chr20_43257696__ARID1A_chr1_27056288	454	20
ADA_chr20_43257696__ATM_chr11_108098350	7	14
ADA_chr20_43257696__ATM_chr11_108098402	4	9
ADA_chr20_43257696__BRAF_chr7_140624501	11	347
ADA_chr20_43257696__BRCA1_chr17_41256141	704	66
ADA_chr20_43257696__BRCA1_chr17_41276018	3	42
ADA_chr20_43257696__BRCA2_chr13_32890586	249	166
ADA_chr20_43257696__BRCA2_chr13_32914228	11	6
ADA_chr20_43257696__BRD4_chr19_15376361	252	7
ADA_chr20_43257696__BRD4_chr19_15376403	528	70
ADA_chr20_43257696__BRD4_chr19_15383894	4	10
ADA_chr20_43257696__BTK_chrX_100626613	2	320
ADA_chr20_43257696__BTK_chrX_100629565	657	206
ADA_chr20_43257696__BTK_chrX_100645534	89	976
ADA_chr20_43257696__CASP8_chr2_202131404	251	20
ADA_chr20_43257696__CASP8_chr2_202134297	114	34
ADA_chr20_43257696__CDH1_chr16_68771300	65	102
ADA_chr20_43257696__CDH1_chr16_68772255	21	9
ADA_chr20_43257696__CDK4_chr12_58143253	6	296
ADA_chr20_43257696__CDK4_chr12_58144705	392	104
ADA_chr20_43257696__CDK6_chr7_92244474	148	405
ADA_chr20_43257696__CDK6_chr7_92252365	143	38
ADA_chr20_43257696__CDK9_chr9_130548998	4	102
ADA_chr20_43257696__CDK9_chr9_130550235	221	72
ADA_chr20_43257696__CDKN1B_chr12_12870931	12	19
ADA_chr20_43257696__CDKN2A_chr9_21994327	34	22
ADA_chr20_43257696__CHEK1_chr11_125496644	22	189
ADA_chr20_43257696__CHEK1_chr11_125499147	208	10
ADA_chr20_43257696__CHEK2_chr22_29090029	4	30
ADA_chr20_43257696__CHEK2_chr22_29130694	12	27
ADA_chr20_43257696__DHFR_chr5_79950216	13	361
ADA_chr20_43257696__EGFR_chr7_55209986	147	620
ADA_chr20_43257696__ERBB2_chr17_37855800	120	20
ADA_chr20_43257696__FGFR2_chr10_123298118	332	39
ADA_chr20_43257696__FGFR2_chr10_123298215	4	19
ADA_chr20_43257696__FGFR3_chr4_1795655	111	245
ADA_chr20_43257696__FGFR3_chr4_1795736	51	21
ADA_chr20_43257696__FLT3_chr13_28636172	6	18
ADA_chr20_43257696__FLT3_chr13_28674643	12	76
ADA_chr20_43257696__HDAC1_chr1_32792601	10	195
ADA_chr20_43257696__HDAC2_chr6_114267214	89	76
ADA_chr20_43257696__HSP90AA1_chr14_102551760	8	35
ADA_chr20_43257696__HSP90AA1_chr14_102552141	352	13
ADA_chr20_43257696__JAK2_chr9_5050721	385	8
ADA_chr20_43257696__JAK2_chr9_5050816	18	18
ADA_chr20_43257696__KDM5C_chrX_53241021	1	30
ADA_chr20_43257696__KDM5C_chrX_53241022	101	27
ADA_chr20_43257696__KDM6A_chrX_44732838	402	34
ADA_chr20_43257696__KDM6A_chrX_44820615	180	210
ADA_chr20_43257696__KIT_chr4_55524164	233	362
ADA_chr20_43257696__KMT2D_chr12_49448161	6	122
ADA_chr20_43257696__KMT2D_chr12_49448168	110	35
ADA_chr20_43257696__KMT2D_chr12_49448468	151	730
ADA_chr20_43257696__MAP2K1_chr15_66679756	363	22
ADA_chr20_43257696__MAP3K1_chr5_56111382	311	9
ADA_chr20_43257696__MAP3K1_chr5_56152466	8	556
ADA_chr20_43257696__MAP3K1_chr5_56152485	305	69
ADA_chr20_43257696__MET_chr7_116340188	440	70
ADA_chr20_43257696__MLH1_chr3_37035029	958	343
ADA_chr20_43257696__MLH1_chr3_37038179	395	200
ADA_chr20_43257696__MSH6_chr2_48010356	7	19
ADA_chr20_43257696__MSH6_chr2_48018111	166	159
ADA_chr20_43257696__MTOR_chr1_11317010	553	463
ADA_chr20_43257696__MTOR_chr1_11319459	332	80
ADA_chr20_43257696__NF1_chr17_29422308	278	50
ADA_chr20_43257696__NF1_chr17_29483038	6	622
ADA_chr20_43257696__NonTargetingControlGuideForHuman0362	201	321
ADA_chr20_43257696__NonTargetingControlGuideForHuman0412	358	32
ADA_chr20_43257696__PARP1_chr1_226578249	563	99
ADA_chr20_43257696__PARP1_chr1_226578301	160	17
ADA_chr20_43257696__PIK3CA_chr3_178916614	17	321
ADA_chr20_43257696__PIK3R1_chr5_67576410	1843	31
ADA_chr20_43257696__PRKDC_chr8_48686398	302	167
ADA_chr20_43257696__PTEN_chr10_89653786	794	19
ADA_chr20_43257696__PTEN_chr10_89711868	916	135
ADA_chr20_43257696__RB1_chr13_48878054	518	732
ADA_chr20_43257696__ROR1_chr1_64240072	325	49
ADA_chr20_43257696__ROR1_chr1_64240089	111	200
ADA_chr20_43257696__ROR1_chr1_64240143	104	407
ADA_chr20_43257696__RRM2_chr2_10262728	12	282
ADA_chr20_43257696__RUNX1_chr21_36252860	602	67
ADA_chr20_43257696__RUNX1_chr21_36252902	8	17
ADA_chr20_43257696__RUNX1_chr21_36421144	4	421
ADA_chr20_43257696__SETD2_chr3_47205411	44	25
ADA_chr20_43257696__SMAD4_chr18_48575673	8	41
ADA_chr20_43257696__SMARCA4_chr19_11095011	104	19
ADA_chr20_43257696__SMARCB1_chr22_24129339	146	13
ADA_chr20_43257696__SMARCB1_chr22_24133949	69	19
ADA_chr20_43257696__SMARCB1_chr22_24133993	38	12
ADA_chr20_43257696__SMO_chr7_128828974	28	59
ADA_chr20_43257696__SRC_chr20_36014563	233	24
ADA_chr20_43257696__TOP1_chr20_39690055	38	72
ADA_chr20_43257696__TP53_chr17_7577537	9	18
ADA_chr20_43257696__TP53_chr17_7579881	574	456
ADA_chr20_43257696__TYMS_chr18_657730	618	939
ADA_chr20_43257696__TYMS_chr18_659665	37	721
ADA_chr20_43257696__VEGFA_chr6_43738425	928	126
ADA_chr20_43257696__VEGFA_chr6_43742077	645	22
ADA_chr20_43257696__VEGFA_chr6_43742108	84	20
ADA_chr20_43257696__VHL_chr3_10183518	19	489
ADA_chr20_43257696__VHL_chr3_10183773	218	42
ADA_chr20_43257696__VHL_chr3_10183791	138	87
ADA_chr20_43257696__WEE1_chr11_9595462	101	1439
ADA_chr20_43257696__WEE1_chr11_9595845	45	0
ADA_chr20_43257769__ABL1_chr9_133738283	368	401
ADA_chr20_43257769__ABL1_chr9_133738356	590	631
ADA_chr20_43257769__AKT1_chr14_105258968	210	602
ADA_chr20_43257769__ALK_chr2_30143522	1640	2084
ADA_chr20_43257769__APC_chr5_112102933	768	187
ADA_chr20_43257769__ARID1A_chr1_27022876	421	183
ADA_chr20_43257769__ARID1A_chr1_27056288	254	590
ADA_chr20_43257769__ARID2_chr12_46205318	506	456
ADA_chr20_43257769__BCL2_chr18_60795945	323	397
ADA_chr20_43257769__BCL2_chr18_60795960	245	1546
ADA_chr20_43257769__BRAF_chr7_140508787	664	113
ADA_chr20_43257769__BRAF_chr7_140534469	559	789
ADA_chr20_43257769__BRCA1_chr17_41256141	348	864
ADA_chr20_43257769__BRCA1_chr17_41276018	75	19
ADA_chr20_43257769__BRCA2_chr13_32912006	905	328
ADA_chr20_43257769__BRCA2_chr13_32914228	212	63
ADA_chr20_43257769__BTK_chrX_100626613	12	201
ADA_chr20_43257769__BTK_chrX_100629565	1123	340
ADA_chr20_43257769__BTK_chrX_100645534	814	66
ADA_chr20_43257769__CASP8_chr2_202123033	255	86
ADA_chr20_43257769__CASP8_chr2_202131404	260	307
ADA_chr20_43257769__CASP8_chr2_202134297	44	119
ADA_chr20_43257769__CDH1_chr16_68771300	326	607
ADA_chr20_43257769__CDH1_chr16_68772250	183	635
