construct_id	Hela_par_CRV4_d21_2_S6_trimmed53_len_filtered_counts	Hela_par_CRV4_d3_1_S1_trimmed53_len_filtered_counts	Hela_par_CRV4_d3_2_S2_trimmed53_len_filtered_counts	Hela_par_CRV4_d21_1_S5_trimmed53_len_filtered_counts	Hela_par_CRV4_d28_2_S8_trimmed53_len_filtered_counts	Hela_par_CRV4_d14_2_S4_trimmed53_len_filtered_counts	Hela_par_CRV4_d14_1_S3_trimmed53_len_filtered_counts	Hela_par_CRV4_d28_1_S7_trimmed53_len_filtered_counts
ABL1_chr9_133589790__HDAC2_chr6_114266539	53	433	500	442	77	91	395	308
ABL1_chr9_133589790__HDAC6_chrX_48661089	1488	472	529	186	2547	405	296	48
ABL1_chr9_133589790__HDAC6_chrX_48661385	813	1142	1257	704	803	1232	926	889
ABL1_chr9_133589790__HSP90AA1_chr14_102551760	106	334	402	658	161	53	1102	444
ABL1_chr9_133589790__IGF1R_chr15_99434664	937	633	787	224	1594	1124	639	144
ABL1_chr9_133589790__KIT_chr4_55524164	716	353	422	579	662	812	802	246
ABL1_chr9_133589790__MAP2K1_chr15_66679756	118	193	225	233	68	219	513	121
ABL1_chr9_133589790__MET_chr7_116340207	822	1199	1397	1914	853	1024	1704	1134
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	992	644	732	1357	992	1321	1231	2266
ABL1_chr9_133589790__PARP1_chr1_226578249	34	664	781	272	22	51	343	348
ABL1_chr9_133589790__PARP1_chr1_226578301	121	242	235	111	121	197	326	0
ABL1_chr9_133589790__PARP1_chr1_226595581	405	1075	1279	873	295	691	555	297
ABL1_chr9_133589790__PDGFRA_chr4_55124932	1051	227	320	683	854	761	726	639
ABL1_chr9_133589790__PDGFRA_chr4_55124963	584	295	315	271	75	403	621	67
ABL1_chr9_133589790__PIK3CA_chr3_178919070	95	188	227	239	30	335	275	117
ABL1_chr9_133589790__PIK3CA_chr3_178919167	566	204	219	474	377	619	287	257
ABL1_chr9_133589790__PRKDC_chr8_48686398	391	999	1095	1738	172	756	1332	1899
ABL1_chr9_133589790__PRKDC_chr8_48686781	487	225	280	498	866	738	709	351
ABL1_chr9_133589790__ROR1_chr1_64240072	905	246	279	181	1337	864	527	282
ABL1_chr9_133589790__ROR1_chr1_64240143	313	652	737	747	213	658	985	393
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	454	145	126	147	244	370	76	47
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	265	148	184	298	183	283	297	266
ABL1_chr9_133589790__RRM2_chr2_10262728	654	484	504	1171	501	1285	1396	704
ABL1_chr9_133589790__RRM2_chr2_10262940	358	832	931	601	282	759	818	171
ABL1_chr9_133589790__SMO_chr7_128845117	179	1087	1261	238	73	404	442	72
ABL1_chr9_133589790__SRC_chr20_36014563	783	1259	1439	926	507	1127	947	1190
ABL1_chr9_133589790__SRC_chr20_36022600	270	845	928	632	247	406	722	364
ABL1_chr9_133589790__TOP1_chr20_39657693	579	294	334	69	454	278	47	1
ABL1_chr9_133589790__TOP1_chr20_39690109	924	768	857	306	677	1060	504	580
ABL1_chr9_133589790__TYMS_chr18_659665	687	143	181	529	314	942	622	221
ABL1_chr9_133589790__VEGFA_chr6_43742077	0	78	86	5	0	33	100	1
ABL1_chr9_133589790__WEE1_chr11_9595462	0	0	0	0	0	0	0	0
ABL1_chr9_133738283__AKT1_chr14_105258968	547	538	617	401	133	590	514	187
ABL1_chr9_133738283__ALK_chr2_29541171	207	357	422	526	326	352	500	160
ABL1_chr9_133738283__ALK_chr2_29541172	698	458	516	844	316	506	777	305
ABL1_chr9_133738283__ALK_chr2_30143522	45	342	385	122	174	72	265	239
ABL1_chr9_133738283__ATM_chr11_108098350	134	439	522	22	0	114	138	27
ABL1_chr9_133738283__ATM_chr11_108098390	944	249	323	293	813	857	246	230
ABL1_chr9_133738283__BCL2_chr18_60795945	271	368	378	303	159	276	115	34
ABL1_chr9_133738283__BCL2_chr18_60795960	205	349	422	256	96	359	227	232
ABL1_chr9_133738283__BRAF_chr7_140508787	327	375	396	821	125	341	656	870
ABL1_chr9_133738283__BRAF_chr7_140534469	848	606	722	69	559	553	109	109
ABL1_chr9_133738283__BRD4_chr19_15383894	507	272	254	281	288	477	107	245
ABL1_chr9_133738283__BTK_chrX_100626613	442	454	474	637	478	758	691	248
ABL1_chr9_133738283__BTK_chrX_100645534	1341	827	1012	1017	1283	1251	1316	469
ABL1_chr9_133738283__CDK4_chr12_58143253	465	371	462	687	266	586	953	489
ABL1_chr9_133738283__CDK6_chr7_92244474	100	317	362	660	12	178	590	540
ABL1_chr9_133738283__CDK6_chr7_92252365	37	800	876	158	1	78	307	156
ABL1_chr9_133738283__CDK6_chr7_92462628	1	256	235	65	1	204	251	10
ABL1_chr9_133738283__CDK9_chr9_130548409	254	182	211	191	66	401	296	123
ABL1_chr9_133738283__CHEK1_chr11_125496687	160	591	670	53	40	125	79	61
ABL1_chr9_133738283__CHEK2_chr22_29085137	302	462	602	168	115	328	141	32
ABL1_chr9_133738283__DHFR_chr5_79950216	174	736	929	52	249	305	178	72
ABL1_chr9_133738283__DHFR_chr5_79950217	596	566	649	189	293	602	225	47
ABL1_chr9_133738283__EGFR_chr7_55086962	380	353	461	356	246	453	202	298
ABL1_chr9_133738283__EGFR_chr7_55209992	517	261	271	154	466	359	166	62
ABL1_chr9_133738283__ERBB2_chr17_37868292	167	88	117	223	29	174	313	136
ABL1_chr9_133738283__FGFR2_chr10_123298118	621	254	263	75	490	653	199	0
ABL1_chr9_133738283__FGFR3_chr4_1795736	540	451	581	798	418	563	479	437
ABL1_chr9_133738283__FLT3_chr13_28636172	508	255	279	425	398	590	628	732
ABL1_chr9_133738283__FLT3_chr13_28674643	303	776	905	544	104	326	233	250
ABL1_chr9_133738283__FNTA_chr8_42911471	475	381	394	502	619	542	508	255
ABL1_chr9_133738283__FNTA_chr8_42924781	55	481	528	45	91	85	295	32
ABL1_chr9_133738283__HDAC1_chr1_32792601	482	595	661	404	511	248	265	194
ABL1_chr9_133738283__HDAC2_chr6_114266539	807	184	221	166	1148	629	394	190
ABL1_chr9_133738283__HDAC6_chrX_48661089	12	140	161	83	0	65	220	2
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	153	46	51	255	134	399	255	140
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	475	108	125	71	211	722	49	14
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	186	414	459	127	0	110	84	31
ABL1_chr9_133738283__IGF1R_chr15_99192824	278	0	0	0	56	91	28	1
ABL1_chr9_133738283__IGF1R_chr15_99434807	439	411	442	551	527	325	682	414
ABL1_chr9_133738283__KIT_chr4_55524176	879	502	578	146	877	966	368	198
ABL1_chr9_133738283__MAP2K1_chr15_66679721	103	1	3	174	38	406	171	180
ABL1_chr9_133738283__MAP2K1_chr15_66679756	334	88	70	112	126	371	185	63
ABL1_chr9_133738283__MET_chr7_116339123	414	396	524	125	218	202	294	48
ABL1_chr9_133738283__MET_chr7_116340188	37	1	1	117	75	329	65	76
ABL1_chr9_133738283__MTOR_chr1_11317010	332	348	358	84	165	342	101	2
ABL1_chr9_133738283__MTOR_chr1_11317149	217	117	108	153	142	217	228	160
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	266	801	824	430	193	256	354	269
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	442	708	894	486	523	173	500	533
ABL1_chr9_133738283__PARP1_chr1_226595581	172	232	286	179	66	362	285	191
ABL1_chr9_133738283__PDGFRA_chr4_55124963	715	87	86	656	430	524	404	397
ABL1_chr9_133738283__PIK3CA_chr3_178916614	512	117	144	2159	523	602	1281	2150
ABL1_chr9_133738283__PRKDC_chr8_48872683	328	310	331	57	112	391	62	0
ABL1_chr9_133738283__ROR1_chr1_64240072	159	66	79	393	148	95	329	314
ABL1_chr9_133738283__ROR1_chr1_64240089	23	213	259	65	0	73	91	1
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	49	211	269	311	91	126	347	158
ABL1_chr9_133738283__RRM2_chr2_10262728	605	593	681	525	410	592	559	282
ABL1_chr9_133738283__SMO_chr7_128845081	184	81	75	426	33	182	361	164
ABL1_chr9_133738283__SMO_chr7_128845117	44	114	123	221	86	233	158	158
ABL1_chr9_133738283__SRC_chr20_36012562	147	169	183	89	202	133	117	79
ABL1_chr9_133738283__SRC_chr20_36022600	665	477	551	311	679	636	765	533
ABL1_chr9_133738283__TOP1_chr20_39657693	52	164	202	161	36	163	130	214
ABL1_chr9_133738283__TOP1_chr20_39690055	1335	304	365	194	480	1093	255	173
ABL1_chr9_133738283__TYMS_chr18_657730	51	144	136	156	1	203	339	11
ABL1_chr9_133738283__TYMS_chr18_659665	284	371	420	89	268	197	71	49
ABL1_chr9_133738283__VEGFA_chr6_43738425	289	233	277	0	233	281	1	1
ABL1_chr9_133738283__VEGFA_chr6_43742077	468	0	1	179	508	257	157	79
ABL1_chr9_133738283__WEE1_chr11_9595462	0	0	0	0	0	0	0	0
ABL1_chr9_133738283__WEE1_chr11_9595542	532	408	463	98	426	503	305	73
ABL1_chr9_133738283__WEE1_chr11_9595845	145	341	395	325	48	463	197	174
ABL1_chr9_133738356__ADA_chr20_43280245	272	196	245	158	346	355	393	126
ABL1_chr9_133738356__AKT1_chr14_105239609	589	719	840	358	807	632	354	290
ABL1_chr9_133738356__AKT1_chr14_105239686	314	834	913	532	154	437	320	213
ABL1_chr9_133738356__AKT1_chr14_105258968	351	4	1	65	216	428	350	14
ABL1_chr9_133738356__ATM_chr11_108098350	1313	91	108	2373	1371	1065	1077	2410
ABL1_chr9_133738356__ATM_chr11_108098390	161	285	385	625	199	205	389	322
ABL1_chr9_133738356__ATM_chr11_108098402	1364	327	401	1118	3017	858	530	2965
ABL1_chr9_133738356__BRAF_chr7_140508787	1613	821	959	137	2857	728	525	83
ABL1_chr9_133738356__BRAF_chr7_140624501	2734	920	1074	515	5436	1359	448	586
ABL1_chr9_133738356__BRD4_chr19_15376361	759	452	478	437	407	724	345	465
ABL1_chr9_133738356__BTK_chrX_100629565	1231	1717	1988	974	968	1407	773	693
ABL1_chr9_133738356__CDK4_chr12_58144705	478	764	920	505	312	662	741	322
ABL1_chr9_133738356__CDK4_chr12_58145497	1535	289	329	732	1172	1223	862	820
ABL1_chr9_133738356__CDK6_chr7_92244474	76	220	243	416	138	298	440	290
ABL1_chr9_133738356__CDK6_chr7_92252365	761	1117	1266	523	433	1456	955	201
ABL1_chr9_133738356__CDK9_chr9_130548409	599	528	562	1050	652	446	1313	921
ABL1_chr9_133738356__CDK9_chr9_130548998	661	1105	1202	260	241	608	313	258
ABL1_chr9_133738356__CHEK1_chr11_125499147	730	476	515	1240	766	791	795	1109
ABL1_chr9_133738356__DHFR_chr5_79949819	46	616	707	547	2	227	706	563
ABL1_chr9_133738356__DHFR_chr5_79950216	86	54	68	166	48	283	369	50
ABL1_chr9_133738356__ERBB2_chr17_37868221	1063	246	289	823	1201	605	873	597
ABL1_chr9_133738356__FGFR2_chr10_123298215	120	222	264	37	73	117	137	57
ABL1_chr9_133738356__FGFR2_chr10_123353328	1274	205	224	546	1269	1199	526	720
ABL1_chr9_133738356__FGFR3_chr4_1795655	11	101	107	1	36	170	118	0
ABL1_chr9_133738356__FGFR3_chr4_1795735	1500	300	347	448	1412	812	561	381
ABL1_chr9_133738356__FGFR3_chr4_1795736	1408	404	455	463	1031	1360	473	349
ABL1_chr9_133738356__FLT3_chr13_28636131	574	319	388	970	557	990	752	355
ABL1_chr9_133738356__FNTA_chr8_42914260	254	361	479	482	203	349	536	139
ABL1_chr9_133738356__FNTA_chr8_42924781	565	564	627	966	393	757	984	1550
ABL1_chr9_133738356__HDAC1_chr1_32757816	404	414	468	166	59	156	502	129
ABL1_chr9_133738356__HDAC1_chr1_32792637	338	329	338	214	183	475	658	196
ABL1_chr9_133738356__HDAC2_chr6_114267214	920	864	962	557	586	745	1233	480
ABL1_chr9_133738356__HDAC2_chr6_114292056	531	68	79	41	318	887	88	68
ABL1_chr9_133738356__HDAC6_chrX_48661089	364	2	3	314	123	476	352	464
ABL1_chr9_133738356__HDAC6_chrX_48661385	242	311	377	181	136	346	422	57
ABL1_chr9_133738356__JAK2_chr9_5021970	3324	870	974	408	4411	1236	328	157
ABL1_chr9_133738356__JAK2_chr9_5050816	343	397	405	461	197	330	254	443
ABL1_chr9_133738356__KIT_chr4_55524164	173	233	274	1248	307	732	1100	909
ABL1_chr9_133738356__KIT_chr4_55524229	700	467	585	410	449	890	475	329
ABL1_chr9_133738356__MAP2K1_chr15_66679728	717	777	940	977	536	1064	899	1198
ABL1_chr9_133738356__MET_chr7_116340207	2493	1231	1415	1017	2382	1643	1333	852
ABL1_chr9_133738356__MTOR_chr1_11317010	703	999	1096	663	494	1206	690	584
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	403	642	609	545	248	615	722	222
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	707	161	172	621	371	537	320	220
ABL1_chr9_133738356__PARP1_chr1_226578249	755	59	91	414	522	450	487	349
ABL1_chr9_133738356__PARP1_chr1_226595581	236	686	811	256	302	292	312	189
ABL1_chr9_133738356__PDGFRA_chr4_55124932	287	470	715	503	297	274	615	565
ABL1_chr9_133738356__PDGFRA_chr4_55124963	140	609	785	496	120	529	407	386
ABL1_chr9_133738356__PIK3CA_chr3_178919167	1066	336	352	508	1430	712	727	400
ABL1_chr9_133738356__PRKDC_chr8_48686398	176	523	651	179	47	167	258	47
ABL1_chr9_133738356__PRKDC_chr8_48872683	722	85	90	224	457	475	169	165
ABL1_chr9_133738356__ROR1_chr1_64240072	720	870	937	1196	336	703	502	650
ABL1_chr9_133738356__ROR1_chr1_64240143	1148	1100	1353	503	833	1186	873	370
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	340	248	269	784	153	829	718	807
ABL1_chr9_133738356__RRM2_chr2_10262728	349	494	522	288	259	699	534	302
ABL1_chr9_133738356__RRM2_chr2_10262957	435	673	758	295	483	837	478	526
ABL1_chr9_133738356__SRC_chr20_36022600	946	818	975	572	475	952	844	474
ABL1_chr9_133738356__TOP1_chr20_39690055	928	707	803	364	380	758	584	130
ABL1_chr9_133738356__TOP1_chr20_39690109	1958	1337	1575	1288	2818	1557	1518	840
ABL1_chr9_133738356__TYMS_chr18_657730	581	1415	1583	1056	443	778	1357	926
ABL1_chr9_133738356__TYMS_chr18_659656	914	340	361	1039	330	474	926	922
ABL1_chr9_133738356__TYMS_chr18_659665	831	929	1065	1066	972	1068	1090	771
ABL1_chr9_133738356__VEGFA_chr6_43738425	970	215	281	385	890	767	985	250
ABL1_chr9_133738356__VEGFA_chr6_43742077	59	559	601	162	27	220	41	52
ABL1_chr9_133738356__VEGFA_chr6_43742108	203	94	98	237	210	400	137	60
ABL1_chr9_133738356__WEE1_chr11_9595462	0	0	0	0	0	0	0	0
ADA_chr20_43257696__ABL1_chr9_133738283	149	331	386	252	104	351	508	61
ADA_chr20_43257696__ABL1_chr9_133738356	540	137	165	238	202	370	649	168
ADA_chr20_43257696__AKT1_chr14_105239609	653	780	913	511	528	662	858	400
ADA_chr20_43257696__AKT1_chr14_105258968	238	618	690	66	111	300	281	35
ADA_chr20_43257696__ALK_chr2_29541171	1350	1135	1359	1030	577	1583	1267	411
ADA_chr20_43257696__ALK_chr2_29541172	1770	674	753	2202	806	1510	2131	2580
ADA_chr20_43257696__ALK_chr2_30143522	277	300	344	436	260	160	417	229
ADA_chr20_43257696__ATM_chr11_108098350	656	544	638	831	297	604	1199	509
ADA_chr20_43257696__ATM_chr11_108098402	1000	1255	1500	795	1174	1273	650	385
ADA_chr20_43257696__BRAF_chr7_140624501	252	345	418	73	86	257	597	55
ADA_chr20_43257696__BRD4_chr19_15376361	289	434	624	339	382	356	385	111
ADA_chr20_43257696__BRD4_chr19_15376403	304	322	382	160	87	462	342	158
ADA_chr20_43257696__BRD4_chr19_15383894	718	760	868	443	420	847	359	236
ADA_chr20_43257696__BTK_chrX_100626613	1793	730	845	589	1374	976	606	246
ADA_chr20_43257696__BTK_chrX_100629565	174	142	171	924	291	332	545	813
ADA_chr20_43257696__BTK_chrX_100645534	982	313	352	116	510	493	476	33
ADA_chr20_43257696__CDK4_chr12_58143253	673	947	1074	424	496	681	705	227
ADA_chr20_43257696__CDK4_chr12_58144705	790	555	633	821	636	459	1180	574
ADA_chr20_43257696__CDK6_chr7_92244474	298	380	401	186	148	236	342	93
ADA_chr20_43257696__CDK6_chr7_92252365	921	1105	1275	725	1113	943	361	467
ADA_chr20_43257696__CDK9_chr9_130548998	1756	584	660	681	1271	1440	1135	780
ADA_chr20_43257696__CDK9_chr9_130550235	2275	716	842	2196	2032	1695	850	3170
ADA_chr20_43257696__CHEK1_chr11_125496644	1004	689	690	983	777	1248	688	550
ADA_chr20_43257696__CHEK1_chr11_125499147	403	515	591	597	549	461	332	334
ADA_chr20_43257696__CHEK2_chr22_29090029	636	543	600	1207	285	993	980	541
ADA_chr20_43257696__CHEK2_chr22_29130694	911	286	358	1079	1130	765	1154	631
ADA_chr20_43257696__DHFR_chr5_79950216	1064	694	826	253	536	813	633	130
ADA_chr20_43257696__EGFR_chr7_55209986	529	829	973	583	212	729	1034	346
ADA_chr20_43257696__ERBB2_chr17_37855800	1690	240	271	624	2274	1455	747	582
ADA_chr20_43257696__FGFR2_chr10_123298118	619	979	1194	859	253	838	683	638
ADA_chr20_43257696__FGFR2_chr10_123298215	270	194	232	143	56	369	184	49
ADA_chr20_43257696__FGFR3_chr4_1795655	1271	695	867	979	1365	1493	1336	962
ADA_chr20_43257696__FGFR3_chr4_1795736	436	660	752	244	368	539	677	65
ADA_chr20_43257696__FLT3_chr13_28636172	669	466	519	308	929	451	582	519
ADA_chr20_43257696__FLT3_chr13_28674643	573	108	103	337	291	577	140	149
ADA_chr20_43257696__HDAC1_chr1_32792601	611	773	942	1926	713	796	1407	2294
ADA_chr20_43257696__HDAC2_chr6_114267214	164	378	419	48	51	293	242	20
ADA_chr20_43257696__HSP90AA1_chr14_102551760	995	563	677	991	361	925	932	839
ADA_chr20_43257696__HSP90AA1_chr14_102552141	376	456	548	178	283	451	83	118
ADA_chr20_43257696__JAK2_chr9_5050721	155	213	237	340	87	407	379	221
ADA_chr20_43257696__JAK2_chr9_5050816	492	504	543	624	202	203	290	267
ADA_chr20_43257696__KIT_chr4_55524164	592	614	686	265	258	529	443	63
ADA_chr20_43257696__MAP2K1_chr15_66679756	1352	283	352	2140	2437	1275	1592	3244
ADA_chr20_43257696__MET_chr7_116340188	663	386	472	2165	597	650	2508	1552
ADA_chr20_43257696__MTOR_chr1_11317010	1407	1002	1118	1250	818	1179	1364	1083
ADA_chr20_43257696__MTOR_chr1_11319459	1265	788	901	1032	705	1219	830	534
ADA_chr20_43257696__NonTargetingControlGuideForHuman0362	1263	1890	2093	616	801	1398	637	533
ADA_chr20_43257696__NonTargetingControlGuideForHuman0412	1946	1504	1805	2034	2307	1711	1360	1608
ADA_chr20_43257696__PARP1_chr1_226578249	443	348	397	197	240	311	648	177
ADA_chr20_43257696__PARP1_chr1_226578301	395	516	602	237	152	449	477	240
ADA_chr20_43257696__PIK3CA_chr3_178916614	1330	885	1046	1066	1079	889	1021	850
ADA_chr20_43257696__PRKDC_chr8_48686398	776	2621	3083	732	466	1006	1551	450
ADA_chr20_43257696__ROR1_chr1_64240072	1041	736	903	654	1169	745	786	322
ADA_chr20_43257696__ROR1_chr1_64240089	490	988	1162	375	558	762	573	130
ADA_chr20_43257696__ROR1_chr1_64240143	1275	1158	1396	350	868	890	674	357
ADA_chr20_43257696__RRM2_chr2_10262728	597	686	783	347	387	847	352	188
ADA_chr20_43257696__SMO_chr7_128828974	1082	650	742	595	890	1608	830	606
ADA_chr20_43257696__SRC_chr20_36014563	630	442	563	96	984	812	467	66
ADA_chr20_43257696__TOP1_chr20_39690055	872	433	503	1217	365	609	950	1041
ADA_chr20_43257696__TYMS_chr18_657730	543	1120	1383	359	326	699	555	323
ADA_chr20_43257696__TYMS_chr18_659665	1460	1274	1403	1562	1007	910	826	872
ADA_chr20_43257696__VEGFA_chr6_43738425	859	1057	1140	1044	661	909	562	783
ADA_chr20_43257696__VEGFA_chr6_43742077	586	370	487	739	252	801	945	577
ADA_chr20_43257696__VEGFA_chr6_43742108	1043	301	354	114	526	693	280	41
ADA_chr20_43257696__WEE1_chr11_9595462	0	164	212	15	0	0	35	17
ADA_chr20_43257696__WEE1_chr11_9595845	1168	192	232	1679	956	1193	993	1276
ADA_chr20_43257769__ABL1_chr9_133738283	435	159	154	537	157	452	610	166
ADA_chr20_43257769__ABL1_chr9_133738356	21	736	789	408	52	228	357	877
ADA_chr20_43257769__AKT1_chr14_105258968	2272	1047	1188	1129	1626	2116	1862	1029
ADA_chr20_43257769__ALK_chr2_30143522	755	1094	1164	609	765	1415	516	322
ADA_chr20_43257769__BCL2_chr18_60795945	623	429	513	305	306	564	506	169
ADA_chr20_43257769__BCL2_chr18_60795960	2289	1181	1335	3100	1590	2187	2102	4855
ADA_chr20_43257769__BRAF_chr7_140508787	915	889	1027	417	610	1149	677	804
ADA_chr20_43257769__BRAF_chr7_140534469	617	357	438	403	404	673	467	275
ADA_chr20_43257769__BTK_chrX_100626613	932	1211	1409	1106	371	803	1266	503
ADA_chr20_43257769__BTK_chrX_100629565	845	749	906	114	444	826	437	221
ADA_chr20_43257769__BTK_chrX_100645534	1138	768	980	567	1020	1134	896	333
ADA_chr20_43257769__CDK4_chr12_58144705	2170	1385	1649	267	1235	2093	738	168
ADA_chr20_43257769__CDK6_chr7_92252365	1718	436	526	1309	2090	1150	911	939
ADA_chr20_43257769__CHEK1_chr11_125496687	635	453	564	552	351	610	504	480
ADA_chr20_43257769__CHEK1_chr11_125499147	202	882	1005	605	132	510	528	366
ADA_chr20_43257769__CHEK2_chr22_29130694	494	526	661	93	612	717	369	30
ADA_chr20_43257769__DHFR_chr5_79950216	1679	1074	1293	980	1802	1771	859	916
ADA_chr20_43257769__DHFR_chr5_79950217	1442	714	898	1005	2763	928	567	1077
ADA_chr20_43257769__EGFR_chr7_55209986	844	1454	1628	911	573	815	1183	717
ADA_chr20_43257769__EGFR_chr7_55209992	751	733	814	1490	364	1084	991	1344
ADA_chr20_43257769__ERBB2_chr17_37868221	1646	2089	2508	1118	2160	1506	1614	788
ADA_chr20_43257769__FGFR2_chr10_123298118	426	861	1064	1424	437	827	1745	704
ADA_chr20_43257769__FGFR3_chr4_1795655	463	471	582	301	441	565	653	150
ADA_chr20_43257769__FGFR3_chr4_1795735	696	1328	1467	2134	516	1278	2232	3246
ADA_chr20_43257769__FGFR3_chr4_1795736	215	618	710	457	195	717	1057	224
ADA_chr20_43257769__FLT3_chr13_28636172	1234	1150	1331	573	1302	1145	538	348
ADA_chr20_43257769__FNTA_chr8_42911471	1937	1585	1793	2448	1730	1786	2236	2035
ADA_chr20_43257769__HDAC1_chr1_32792637	616	261	318	1646	600	444	1510	1175
ADA_chr20_43257769__HDAC2_chr6_114266539	153	437	527	364	72	285	411	305
ADA_chr20_43257769__HDAC2_chr6_114292056	2121	1344	1575	1516	1991	1827	1687	1552
ADA_chr20_43257769__HDAC6_chrX_48661385	1101	410	555	1010	569	1424	837	1117
ADA_chr20_43257769__HSP90AA1_chr14_102551760	839	542	682	830	1206	1185	741	466
ADA_chr20_43257769__HSP90AA1_chr14_102605736	761	431	471	650	528	631	655	577
ADA_chr20_43257769__IGF1R_chr15_99434664	1059	552	642	864	1354	868	558	539
ADA_chr20_43257769__JAK2_chr9_5050721	652	1718	1944	468	239	1217	1021	306
ADA_chr20_43257769__KIT_chr4_55524176	2732	1429	1603	1506	2074	1745	1255	1040
ADA_chr20_43257769__MAP2K1_chr15_66679721	959	755	882	996	1002	1136	932	995
ADA_chr20_43257769__MAP2K1_chr15_66679756	1060	440	513	995	764	1398	1046	1734
ADA_chr20_43257769__MET_chr7_116339123	2017	804	873	881	1689	1644	1643	530
ADA_chr20_43257769__MET_chr7_116340207	1177	340	377	163	559	991	582	65
ADA_chr20_43257769__MTOR_chr1_11317010	898	922	1035	511	575	1111	750	493
ADA_chr20_43257769__MTOR_chr1_11317149	599	378	460	442	516	824	846	397
ADA_chr20_43257769__NonTargetingControlGuideForHuman0362	1782	1622	2005	1845	1493	1804	2091	1874
ADA_chr20_43257769__NonTargetingControlGuideForHuman0412	1513	772	919	2620	1191	2481	2358	2473
ADA_chr20_43257769__PARP1_chr1_226595581	925	763	910	704	1021	654	486	731
