construct_id	CRV4_plasmid_S8_trimmed53_len_filtered_counts
ABL1_chr9_133589790__PRKDC_chr8_48686781	246
ABL1_chr9_133589790__ROR1_chr1_64240072	429
ABL1_chr9_133589790__ROR1_chr1_64240143	580
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	195
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	259
ABL1_chr9_133589790__RRM2_chr2_10262728	352
ABL1_chr9_133589790__RRM2_chr2_10262940	608
ABL1_chr9_133589790__SMO_chr7_128845117	423
ABL1_chr9_133589790__SRC_chr20_36014563	913
ABL1_chr9_133589790__SRC_chr20_36022600	520
ABL1_chr9_133589790__TOP1_chr20_39657693	253
ABL1_chr9_133589790__TOP1_chr20_39690109	753
ABL1_chr9_133589790__TYMS_chr18_659665	494
ABL1_chr9_133589790__VEGFA_chr6_43742077	71
ABL1_chr9_133589790__WEE1_chr11_9595462	6
ABL1_chr9_133738283__AKT1_chr14_105258968	772
ABL1_chr9_133738283__ALK_chr2_29541171	287
ABL1_chr9_133738283__ALK_chr2_29541172	459
ABL1_chr9_133738283__ALK_chr2_30143522	308
ABL1_chr9_133738283__ATM_chr11_108098350	502
ABL1_chr9_133738283__ATM_chr11_108098390	361
ABL1_chr9_133738283__BCL2_chr18_60795945	224
ABL1_chr9_133738283__BCL2_chr18_60795960	210
ABL1_chr9_133738283__BRAF_chr7_140508787	385
ABL1_chr9_133738283__BRAF_chr7_140534469	358
ABL1_chr9_133738283__BRD4_chr19_15383894	278
ABL1_chr9_133738283__BTK_chrX_100626613	493
ABL1_chr9_133738283__BTK_chrX_100645534	913
ABL1_chr9_133738283__CDK4_chr12_58143253	1006
ABL1_chr9_133738283__CDK6_chr7_92244474	193
ABL1_chr9_133738283__CDK6_chr7_92252365	173
ABL1_chr9_133738283__CDK6_chr7_92462628	171
ABL1_chr9_133738283__CDK9_chr9_130548409	336
ABL1_chr9_133738283__CHEK1_chr11_125496687	257
ABL1_chr9_133738283__CHEK2_chr22_29085137	455
ABL1_chr9_133738283__DHFR_chr5_79950216	273
ABL1_chr9_133738283__DHFR_chr5_79950217	562
ABL1_chr9_133738283__EGFR_chr7_55086962	467
ABL1_chr9_133738283__EGFR_chr7_55209992	241
ABL1_chr9_133738283__ERBB2_chr17_37868292	319
ABL1_chr9_133738283__FGFR2_chr10_123298118	338
ABL1_chr9_133738283__FGFR3_chr4_1795736	392
ABL1_chr9_133738283__FLT3_chr13_28636172	476
ABL1_chr9_133738283__FLT3_chr13_28674643	283
ABL1_chr9_133738283__FNTA_chr8_42911471	466
ABL1_chr9_133738283__FNTA_chr8_42924781	224
ABL1_chr9_133738283__HDAC1_chr1_32792601	416
ABL1_chr9_133738283__HDAC2_chr6_114266539	531
ABL1_chr9_133738283__HDAC6_chrX_48661089	88
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	409
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	476
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	244
ABL1_chr9_133738283__IGF1R_chr15_99192824	152
ABL1_chr9_133738283__IGF1R_chr15_99434807	650
ABL1_chr9_133738283__KIT_chr4_55524176	547
ABL1_chr9_133738283__MAP2K1_chr15_66679721	227
ABL1_chr9_133738283__MAP2K1_chr15_66679756	231
ABL1_chr9_133738283__MET_chr7_116339123	384
ABL1_chr9_133738283__MET_chr7_116340188	185
ABL1_chr9_133738283__MTOR_chr1_11317010	504
ABL1_chr9_133738283__MTOR_chr1_11317149	189
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	748
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	342
ABL1_chr9_133738283__PARP1_chr1_226595581	260
ABL1_chr9_133738283__PDGFRA_chr4_55124963	302
ABL1_chr9_133738283__PIK3CA_chr3_178916614	655
ABL1_chr9_133738283__PRKDC_chr8_48872683	253
ABL1_chr9_133738283__ROR1_chr1_64240072	301
ABL1_chr9_133738283__ROR1_chr1_64240089	177
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	284
ABL1_chr9_133738283__RRM2_chr2_10262728	273
ABL1_chr9_133738283__SMO_chr7_128845081	264
ABL1_chr9_133738283__SMO_chr7_128845117	178
ABL1_chr9_133738283__SRC_chr20_36012562	240
ABL1_chr9_133738283__SRC_chr20_36022600	499
ABL1_chr9_133738283__TOP1_chr20_39657693	292
ABL1_chr9_133738283__TOP1_chr20_39690055	490
ABL1_chr9_133738283__TYMS_chr18_657730	276
ABL1_chr9_133738283__TYMS_chr18_659665	259
ABL1_chr9_133738283__VEGFA_chr6_43738425	93
ABL1_chr9_133738283__VEGFA_chr6_43742077	111
ABL1_chr9_133738283__WEE1_chr11_9595462	43
ABL1_chr9_133738283__WEE1_chr11_9595542	496
ABL1_chr9_133738283__WEE1_chr11_9595845	305
ABL1_chr9_133738356__ADA_chr20_43280245	255
ABL1_chr9_133738356__AKT1_chr14_105239609	402
ABL1_chr9_133738356__AKT1_chr14_105239686	529
ABL1_chr9_133738356__AKT1_chr14_105258968	480
ABL1_chr9_133738356__ATM_chr11_108098350	614
ABL1_chr9_133738356__ATM_chr11_108098390	335
ABL1_chr9_133738356__ATM_chr11_108098402	424
ABL1_chr9_133738356__BRAF_chr7_140508787	537
ABL1_chr9_133738356__BRAF_chr7_140624501	329
ABL1_chr9_133738356__BRD4_chr19_15376361	419
ABL1_chr9_133738356__BTK_chrX_100629565	940
ABL1_chr9_133738356__CDK4_chr12_58144705	556
ABL1_chr9_133738356__CDK4_chr12_58145497	389
ABL1_chr9_133738356__CDK6_chr7_92244474	177
ABL1_chr9_133738356__CDK6_chr7_92252365	875
ABL1_chr9_133738356__CDK9_chr9_130548409	395
ABL1_chr9_133738356__CDK9_chr9_130548998	366
ABL1_chr9_133738356__CHEK1_chr11_125499147	294
ABL1_chr9_133738356__DHFR_chr5_79949819	283
ABL1_chr9_133738356__DHFR_chr5_79950216	327
ABL1_chr9_133738356__ERBB2_chr17_37868221	267
ABL1_chr9_133738356__FGFR2_chr10_123298215	173
ABL1_chr9_133738356__FGFR2_chr10_123353328	423
ABL1_chr9_133738356__FGFR3_chr4_1795655	174
ABL1_chr9_133738356__FGFR3_chr4_1795735	381
ABL1_chr9_133738356__FGFR3_chr4_1795736	562
ABL1_chr9_133738356__FLT3_chr13_28636131	395
ABL1_chr9_133738356__FNTA_chr8_42914260	166
ABL1_chr9_133738356__FNTA_chr8_42924781	328
ABL1_chr9_133738356__HDAC1_chr1_32757816	233
ABL1_chr9_133738356__HDAC1_chr1_32792637	287
ABL1_chr9_133738356__HDAC2_chr6_114267214	391
ABL1_chr9_133738356__HDAC2_chr6_114292056	244
ABL1_chr9_133738356__HDAC6_chrX_48661089	312
ABL1_chr9_133738356__HDAC6_chrX_48661385	231
ABL1_chr9_133738356__JAK2_chr9_5021970	458
ABL1_chr9_133738356__JAK2_chr9_5050816	195
ABL1_chr9_133738356__KIT_chr4_55524164	459
ABL1_chr9_133738356__KIT_chr4_55524229	486
ABL1_chr9_133738356__MAP2K1_chr15_66679728	593
ABL1_chr9_133738356__MET_chr7_116340207	838
ABL1_chr9_133738356__MTOR_chr1_11317010	386
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	371
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	457
ABL1_chr9_133738356__PARP1_chr1_226578249	213
ABL1_chr9_133738356__PARP1_chr1_226595581	415
ABL1_chr9_133738356__PDGFRA_chr4_55124932	382
ABL1_chr9_133738356__PDGFRA_chr4_55124963	497
ABL1_chr9_133738356__PIK3CA_chr3_178919167	332
ABL1_chr9_133738356__PRKDC_chr8_48686398	434
ABL1_chr9_133738356__PRKDC_chr8_48872683	196
ABL1_chr9_133738356__ROR1_chr1_64240072	433
ABL1_chr9_133738356__ROR1_chr1_64240143	740
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	470
ABL1_chr9_133738356__RRM2_chr2_10262728	304
ABL1_chr9_133738356__RRM2_chr2_10262957	355
ABL1_chr9_133738356__SRC_chr20_36022600	368
ABL1_chr9_133738356__TOP1_chr20_39690055	357
ABL1_chr9_133738356__TOP1_chr20_39690109	1229
ABL1_chr9_133738356__TYMS_chr18_657730	626
ABL1_chr9_133738356__TYMS_chr18_659656	340
ABL1_chr9_133738356__TYMS_chr18_659665	889
ABL1_chr9_133738356__VEGFA_chr6_43738425	453
ABL1_chr9_133738356__VEGFA_chr6_43742077	259
ABL1_chr9_133738356__VEGFA_chr6_43742108	324
ABL1_chr9_133738356__WEE1_chr11_9595462	0
ADA_chr20_43257696__ABL1_chr9_133738283	283
ADA_chr20_43257696__ABL1_chr9_133738356	351
ADA_chr20_43257696__AKT1_chr14_105239609	829
ADA_chr20_43257696__AKT1_chr14_105258968	509
ADA_chr20_43257696__ALK_chr2_29541171	609
ADA_chr20_43257696__ALK_chr2_29541172	821
ADA_chr20_43257696__ALK_chr2_30143522	179
ADA_chr20_43257696__ATM_chr11_108098350	710
ADA_chr20_43257696__ATM_chr11_108098402	1060
ADA_chr20_43257696__BRAF_chr7_140624501	398
ADA_chr20_43257696__BRD4_chr19_15376361	262
ADA_chr20_43257696__BRD4_chr19_15376403	224
ADA_chr20_43257696__BRD4_chr19_15383894	630
ADA_chr20_43257696__BTK_chrX_100626613	880
ADA_chr20_43257696__BTK_chrX_100629565	200
ADA_chr20_43257696__BTK_chrX_100645534	266
ADA_chr20_43257696__CDK4_chr12_58143253	534
ADA_chr20_43257696__CDK4_chr12_58144705	436
ADA_chr20_43257696__CDK6_chr7_92244474	319
ADA_chr20_43257696__CDK6_chr7_92252365	812
ADA_chr20_43257696__CDK9_chr9_130548998	576
ADA_chr20_43257696__CDK9_chr9_130550235	763
ADA_chr20_43257696__CHEK1_chr11_125496644	995
ADA_chr20_43257696__CHEK1_chr11_125499147	423
ADA_chr20_43257696__CHEK2_chr22_29090029	700
ADA_chr20_43257696__CHEK2_chr22_29130694	492
ADA_chr20_43257696__DHFR_chr5_79950216	498
ADA_chr20_43257696__EGFR_chr7_55209986	498
ADA_chr20_43257696__ERBB2_chr17_37855800	283
ADA_chr20_43257696__FGFR2_chr10_123298118	597
ADA_chr20_43257696__FGFR2_chr10_123298215	334
ADA_chr20_43257696__FGFR3_chr4_1795655	552
ADA_chr20_43257696__FGFR3_chr4_1795736	392
ADA_chr20_43257696__FLT3_chr13_28636172	507
ADA_chr20_43257696__FLT3_chr13_28674643	449
ADA_chr20_43257696__HDAC1_chr1_32792601	660
ADA_chr20_43257696__HDAC2_chr6_114267214	176
ADA_chr20_43257696__HSP90AA1_chr14_102551760	854
ADA_chr20_43257696__HSP90AA1_chr14_102552141	199
ADA_chr20_43257696__JAK2_chr9_5050721	269
ADA_chr20_43257696__JAK2_chr9_5050816	315
ADA_chr20_43257696__KIT_chr4_55524164	656
ADA_chr20_43257696__MAP2K1_chr15_66679756	426
ADA_chr20_43257696__MET_chr7_116340188	462
ADA_chr20_43257696__MTOR_chr1_11317010	994
ADA_chr20_43257696__MTOR_chr1_11319459	610
ADA_chr20_43257696__NonTargetingControlGuideForHuman0362	645
ADA_chr20_43257696__NonTargetingControlGuideForHuman0412	746
ADA_chr20_43257696__PARP1_chr1_226578249	243
ADA_chr20_43257696__PARP1_chr1_226578301	326
ADA_chr20_43257696__PIK3CA_chr3_178916614	578
ADA_chr20_43257696__PRKDC_chr8_48686398	1612
ADA_chr20_43257696__ROR1_chr1_64240072	534
ADA_chr20_43257696__ROR1_chr1_64240089	549
ADA_chr20_43257696__ROR1_chr1_64240143	754
ADA_chr20_43257696__RRM2_chr2_10262728	524
ADA_chr20_43257696__SMO_chr7_128828974	673
ADA_chr20_43257696__SRC_chr20_36014563	454
ADA_chr20_43257696__TOP1_chr20_39690055	677
ADA_chr20_43257696__TYMS_chr18_657730	563
ADA_chr20_43257696__TYMS_chr18_659665	848
ADA_chr20_43257696__VEGFA_chr6_43738425	706
ADA_chr20_43257696__VEGFA_chr6_43742077	357
ADA_chr20_43257696__VEGFA_chr6_43742108	358
ADA_chr20_43257696__WEE1_chr11_9595462	4
ADA_chr20_43257696__WEE1_chr11_9595845	598
ADA_chr20_43257769__ABL1_chr9_133738283	356
ADA_chr20_43257769__ABL1_chr9_133738356	379
ADA_chr20_43257769__AKT1_chr14_105258968	1100
ADA_chr20_43257769__ALK_chr2_30143522	405
ADA_chr20_43257769__BCL2_chr18_60795945	207
ADA_chr20_43257769__BCL2_chr18_60795960	1066
ADA_chr20_43257769__BRAF_chr7_140508787	557
ADA_chr20_43257769__BRAF_chr7_140534469	476
ADA_chr20_43257769__BTK_chrX_100626613	742
ADA_chr20_43257769__BTK_chrX_100629565	473
ADA_chr20_43257769__BTK_chrX_100645534	547
ADA_chr20_43257769__CDK4_chr12_58144705	1052
ADA_chr20_43257769__CDK6_chr7_92252365	405
ADA_chr20_43257769__CHEK1_chr11_125496687	446
ADA_chr20_43257769__CHEK1_chr11_125499147	580
ADA_chr20_43257769__CHEK2_chr22_29130694	276
ADA_chr20_43257769__DHFR_chr5_79950216	711
ADA_chr20_43257769__DHFR_chr5_79950217	581
ADA_chr20_43257769__EGFR_chr7_55209986	1088
ADA_chr20_43257769__EGFR_chr7_55209992	619
ADA_chr20_43257769__ERBB2_chr17_37868221	1195
ADA_chr20_43257769__FGFR2_chr10_123298118	677
ADA_chr20_43257769__FGFR3_chr4_1795655	498
ADA_chr20_43257769__FGFR3_chr4_1795735	972
ADA_chr20_43257769__FGFR3_chr4_1795736	1086
ADA_chr20_43257769__FLT3_chr13_28636172	529
ADA_chr20_43257769__FNTA_chr8_42911471	1242
ADA_chr20_43257769__HDAC1_chr1_32792637	349
ADA_chr20_43257769__HDAC2_chr6_114266539	284
ADA_chr20_43257769__HDAC2_chr6_114292056	882
ADA_chr20_43257769__HDAC6_chrX_48661385	600
ADA_chr20_43257769__HSP90AA1_chr14_102551760	441
ADA_chr20_43257769__HSP90AA1_chr14_102605736	511
ADA_chr20_43257769__IGF1R_chr15_99434664	593
ADA_chr20_43257769__JAK2_chr9_5050721	1037
ADA_chr20_43257769__KIT_chr4_55524176	950
ADA_chr20_43257769__MAP2K1_chr15_66679721	584
ADA_chr20_43257769__MAP2K1_chr15_66679756	617
ADA_chr20_43257769__MET_chr7_116339123	779
ADA_chr20_43257769__MET_chr7_116340207	262
ADA_chr20_43257769__MTOR_chr1_11317010	659
ADA_chr20_43257769__MTOR_chr1_11317149	432
ADA_chr20_43257769__NonTargetingControlGuideForHuman0362	914
ADA_chr20_43257769__NonTargetingControlGuideForHuman0412	910
ADA_chr20_43257769__PARP1_chr1_226595581	417
ADA_chr20_43257769__PDGFRA_chr4_55129914	462
ADA_chr20_43257769__PIK3CA_chr3_178916614	210
ADA_chr20_43257769__PRKDC_chr8_48686398	497
ADA_chr20_43257769__PRKDC_chr8_48686781	684
ADA_chr20_43257769__ROR1_chr1_64240072	766
ADA_chr20_43257769__ROR1_chr1_64240143	464
ADA_chr20_43257769__RRM2_chr2_10262940	227
ADA_chr20_43257769__RRM2_chr2_10262957	932
ADA_chr20_43257769__SMO_chr7_128828974	770
ADA_chr20_43257769__SRC_chr20_36014563	460
ADA_chr20_43257769__TOP1_chr20_39657693	909
ADA_chr20_43257769__TOP1_chr20_39690055	624
ADA_chr20_43257769__TYMS_chr18_657730	440
ADA_chr20_43257769__TYMS_chr18_659656	541
ADA_chr20_43257769__VEGFA_chr6_43738425	518
ADA_chr20_43257769__VEGFA_chr6_43742077	403
ADA_chr20_43257769__WEE1_chr11_9595845	561
ADA_chr20_43280245__ABL1_chr9_133589790	421
ADA_chr20_43280245__ABL1_chr9_133738283	478
ADA_chr20_43280245__AKT1_chr14_105239609	712
ADA_chr20_43280245__ALK_chr2_29541172	965
ADA_chr20_43280245__BCL2_chr18_60985877	429
ADA_chr20_43280245__BRAF_chr7_140508787	686
ADA_chr20_43280245__BRAF_chr7_140534469	716
ADA_chr20_43280245__BRAF_chr7_140624501	177
ADA_chr20_43280245__BRD4_chr19_15376361	618
ADA_chr20_43280245__BRD4_chr19_15376403	1401
ADA_chr20_43280245__BTK_chrX_100629565	387
ADA_chr20_43280245__CDK9_chr9_130548409	478
ADA_chr20_43280245__CDK9_chr9_130550235	550
ADA_chr20_43280245__CHEK1_chr11_125499147	544
ADA_chr20_43280245__CHEK2_chr22_29090029	1255
ADA_chr20_43280245__CHEK2_chr22_29130694	451
ADA_chr20_43280245__DHFR_chr5_79949819	635
ADA_chr20_43280245__DHFR_chr5_79950216	324
ADA_chr20_43280245__DHFR_chr5_79950217	406
ADA_chr20_43280245__EGFR_chr7_55209986	460
ADA_chr20_43280245__FGFR3_chr4_1795655	285
ADA_chr20_43280245__FGFR3_chr4_1795736	466
ADA_chr20_43280245__FLT3_chr13_28636131	661
ADA_chr20_43280245__FLT3_chr13_28636172	964
ADA_chr20_43280245__FNTA_chr8_42911471	539
ADA_chr20_43280245__FNTA_chr8_42924781	293
ADA_chr20_43280245__HDAC1_chr1_32757816	208
ADA_chr20_43280245__HDAC1_chr1_32792637	291
ADA_chr20_43280245__HDAC2_chr6_114266539	609
ADA_chr20_43280245__HDAC2_chr6_114267214	986
ADA_chr20_43280245__HDAC2_chr6_114292056	365
ADA_chr20_43280245__HDAC6_chrX_48661385	845
ADA_chr20_43280245__HSP90AA1_chr14_102605736	272
ADA_chr20_43280245__IGF1R_chr15_99434664	523
ADA_chr20_43280245__IGF1R_chr15_99434807	1171
ADA_chr20_43280245__JAK2_chr9_5050721	770
ADA_chr20_43280245__JAK2_chr9_5050816	544
ADA_chr20_43280245__KIT_chr4_55524164	500
ADA_chr20_43280245__KIT_chr4_55524229	825
ADA_chr20_43280245__MAP2K1_chr15_66679728	290
ADA_chr20_43280245__MAP2K1_chr15_66679756	1080
ADA_chr20_43280245__MET_chr7_116340207	332
ADA_chr20_43280245__MTOR_chr1_11317010	893
ADA_chr20_43280245__MTOR_chr1_11319459	709
ADA_chr20_43280245__NonTargetingControlGuideForHuman0362	960
ADA_chr20_43280245__NonTargetingControlGuideForHuman0412	646
ADA_chr20_43280245__PARP1_chr1_226578249	373
ADA_chr20_43280245__PARP1_chr1_226578301	227
ADA_chr20_43280245__PDGFRA_chr4_55124963	534
ADA_chr20_43280245__PIK3CA_chr3_178916614	488
ADA_chr20_43280245__PIK3CA_chr3_178919167	461
ADA_chr20_43280245__PRKDC_chr8_48686398	230
ADA_chr20_43280245__ROR1_chr1_64240072	477
ADA_chr20_43280245__RPS6KB1_chr17_57987949	943
ADA_chr20_43280245__RRM2_chr2_10262940	598
ADA_chr20_43280245__SMO_chr7_128828974	718
ADA_chr20_43280245__SMO_chr7_128845081	272
ADA_chr20_43280245__TOP1_chr20_39657693	710
ADA_chr20_43280245__TOP1_chr20_39690055	1129
ADA_chr20_43280245__TOP1_chr20_39690109	555
ADA_chr20_43280245__TYMS_chr18_659656	734
AKT1_chr14_105239609__ABL1_chr9_133589790	710
AKT1_chr14_105239609__ABL1_chr9_133738283	377
AKT1_chr14_105239609__ADA_chr20_43257769	741
AKT1_chr14_105239609__ALK_chr2_29541171	283
AKT1_chr14_105239609__ALK_chr2_30143522	608
AKT1_chr14_105239609__ATM_chr11_108098402	365
AKT1_chr14_105239609__BCL2_chr18_60795960	287
AKT1_chr14_105239609__BRAF_chr7_140534469	518
AKT1_chr14_105239609__BRAF_chr7_140624501	302
AKT1_chr14_105239609__BRD4_chr19_15383894	179
AKT1_chr14_105239609__BTK_chrX_100626613	875
AKT1_chr14_105239609__BTK_chrX_100645534	374
AKT1_chr14_105239609__CDK4_chr12_58143253	750
AKT1_chr14_105239609__CDK4_chr12_58144705	567
AKT1_chr14_105239609__CDK4_chr12_58145497	694
AKT1_chr14_105239609__CDK6_chr7_92252365	212
AKT1_chr14_105239609__CDK6_chr7_92462628	688
AKT1_chr14_105239609__CDK9_chr9_130548998	758
AKT1_chr14_105239609__CHEK1_chr11_125499147	546
AKT1_chr14_105239609__CHEK2_chr22_29085137	731
AKT1_chr14_105239609__DHFR_chr5_79950216	373
AKT1_chr14_105239609__EGFR_chr7_55086962	446
AKT1_chr14_105239609__ERBB2_chr17_37855800	498
AKT1_chr14_105239609__FGFR2_chr10_123298215	232
AKT1_chr14_105239609__FGFR3_chr4_1795655	647
AKT1_chr14_105239609__FGFR3_chr4_1795735	631
AKT1_chr14_105239609__FLT3_chr13_28636131	682
AKT1_chr14_105239609__FLT3_chr13_28636172	398
AKT1_chr14_105239609__FNTA_chr8_42911471	278
AKT1_chr14_105239609__FNTA_chr8_42914260	393
AKT1_chr14_105239609__FNTA_chr8_42924781	574
AKT1_chr14_105239609__HDAC1_chr1_32757816	511
AKT1_chr14_105239609__HDAC1_chr1_32792601	596
AKT1_chr14_105239609__HDAC1_chr1_32792637	399
AKT1_chr14_105239609__HDAC2_chr6_114267214	819
AKT1_chr14_105239609__HDAC2_chr6_114292056	214
AKT1_chr14_105239609__HDAC6_chrX_48661089	379
AKT1_chr14_105239609__HSP90AA1_chr14_102605736	626
AKT1_chr14_105239609__IGF1R_chr15_99434664	672
AKT1_chr14_105239609__JAK2_chr9_5021970	615
AKT1_chr14_105239609__JAK2_chr9_5050721	672
AKT1_chr14_105239609__JAK2_chr9_5050816	289
AKT1_chr14_105239609__MAP2K1_chr15_66679721	414
AKT1_chr14_105239609__MAP2K1_chr15_66679728	365
AKT1_chr14_105239609__MAP2K1_chr15_66679756	677
AKT1_chr14_105239609__MET_chr7_116339123	293
AKT1_chr14_105239609__MTOR_chr1_11319459	438
AKT1_chr14_105239609__NonTargetingControlGuideForHuman0352	1122
AKT1_chr14_105239609__PARP1_chr1_226578301	196
AKT1_chr14_105239609__PDGFRA_chr4_55124932	557
AKT1_chr14_105239609__PIK3CA_chr3_178916614	350
AKT1_chr14_105239609__PIK3CA_chr3_178919070	252
AKT1_chr14_105239609__PIK3CA_chr3_178919167	290
AKT1_chr14_105239609__PRKDC_chr8_48686398	654
AKT1_chr14_105239609__PRKDC_chr8_48872683	879
AKT1_chr14_105239609__ROR1_chr1_64240072	838
AKT1_chr14_105239609__ROR1_chr1_64240089	241
AKT1_chr14_105239609__RPS6KB1_chr17_57970538	63
AKT1_chr14_105239609__RPS6KB1_chr17_57987949	125
AKT1_chr14_105239609__RRM2_chr2_10262940	227
AKT1_chr14_105239609__SMO_chr7_128845117	876
AKT1_chr14_105239609__SRC_chr20_36012562	398
AKT1_chr14_105239609__SRC_chr20_36014563	282
AKT1_chr14_105239609__TOP1_chr20_39690055	716
AKT1_chr14_105239609__TYMS_chr18_657730	889
AKT1_chr14_105239609__TYMS_chr18_659656	629
AKT1_chr14_105239609__WEE1_chr11_9595845	524
AKT1_chr14_105239686__ABL1_chr9_133589790	277
AKT1_chr14_105239686__ABL1_chr9_133738283	523
AKT1_chr14_105239686__ADA_chr20_43257696	1062
AKT1_chr14_105239686__ADA_chr20_43257769	553
AKT1_chr14_105239686__ADA_chr20_43280245	267
AKT1_chr14_105239686__ALK_chr2_30143522	288
AKT1_chr14_105239686__ATM_chr11_108098350	1169
AKT1_chr14_105239686__ATM_chr11_108098390	721
AKT1_chr14_105239686__ATM_chr11_108098402	294
AKT1_chr14_105239686__BCL2_chr18_60795945	647
AKT1_chr14_105239686__BRAF_chr7_140508787	522
AKT1_chr14_105239686__BRAF_chr7_140534469	281
AKT1_chr14_105239686__BRD4_chr19_15376361	466
AKT1_chr14_105239686__BRD4_chr19_15376403	778
AKT1_chr14_105239686__BRD4_chr19_15383894	651
AKT1_chr14_105239686__BTK_chrX_100626613	693
AKT1_chr14_105239686__BTK_chrX_100629565	582
AKT1_chr14_105239686__BTK_chrX_100645534	238
AKT1_chr14_105239686__CDK4_chr12_58144705	1093
AKT1_chr14_105239686__CDK4_chr12_58145497	457
AKT1_chr14_105239686__CDK6_chr7_92252365	786
AKT1_chr14_105239686__CDK6_chr7_92462628	276
AKT1_chr14_105239686__CDK9_chr9_130548998	1066
AKT1_chr14_105239686__CDK9_chr9_130550235	585
AKT1_chr14_105239686__CHEK1_chr11_125496687	755
AKT1_chr14_105239686__CHEK1_chr11_125499147	679
AKT1_chr14_105239686__DHFR_chr5_79950216	700
AKT1_chr14_105239686__EGFR_chr7_55086962	719
AKT1_chr14_105239686__EGFR_chr7_55209986	555
AKT1_chr14_105239686__EGFR_chr7_55209992	575
AKT1_chr14_105239686__ERBB2_chr17_37868221	499
AKT1_chr14_105239686__ERBB2_chr17_37868292	978
AKT1_chr14_105239686__FGFR2_chr10_123298118	457
AKT1_chr14_105239686__FGFR2_chr10_123298215	216
AKT1_chr14_105239686__FGFR3_chr4_1795735	1015
AKT1_chr14_105239686__FGFR3_chr4_1795736	596
AKT1_chr14_105239686__FLT3_chr13_28636172	747
AKT1_chr14_105239686__FLT3_chr13_28674643	246
AKT1_chr14_105239686__HDAC1_chr1_32792601	705
AKT1_chr14_105239686__HDAC2_chr6_114266539	394
AKT1_chr14_105239686__HDAC2_chr6_114267214	334
AKT1_chr14_105239686__HDAC2_chr6_114292056	869
