construct_id	Hela_KRAB_CRV4_d14_2_S4_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d21_2_S6_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d21_1_S5_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d28_1_S7_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d3_1_S1_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d28_2_S8_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d3_2_S2_trimmed53_len_filtered_counts	Hela_KRAB_CRV4_d14_1_S3_trimmed53_len_filtered_counts
ABL1_chr9_133738283__ALK_chr2_29541171	625	921	150	76	739	1115	167	154
ABL1_chr9_133738283__ALK_chr2_29541172	209	209	59	37	405	69	470	593
ABL1_chr9_133738283__ALK_chr2_30143522	954	789	382	269	468	666	326	267
ABL1_chr9_133738283__ATM_chr11_108098350	939	1030	1031	1190	413	810	479	898
ABL1_chr9_133738283__ATM_chr11_108098390	744	624	1030	2080	697	473	1042	695
ABL1_chr9_133738283__BCL2_chr18_60795945	199	91	119	2	0	38	157	219
ABL1_chr9_133738283__BCL2_chr18_60795960	282	98	481	518	472	76	0	393
ABL1_chr9_133738283__BRAF_chr7_140508787	1045	1134	186	137	360	884	471	388
ABL1_chr9_133738283__BRAF_chr7_140534469	58	308	248	1046	543	113	358	174
ABL1_chr9_133738283__BRD4_chr19_15383894	126	300	183	46	309	376	764	234
ABL1_chr9_133738283__BTK_chrX_100626613	980	1014	202	64	304	1116	858	364
ABL1_chr9_133738283__BTK_chrX_100645534	1032	2339	822	665	770	904	1603	604
ABL1_chr9_133738283__CDK4_chr12_58143253	1064	1858	1677	2829	983	759	2257	1032
ABL1_chr9_133738283__CDK6_chr7_92244474	288	591	345	290	247	482	3	396
ABL1_chr9_133738283__CDK6_chr7_92252365	386	458	260	395	111	100	0	145
ABL1_chr9_133738283__CDK6_chr7_92462628	261	294	353	325	665	418	309	214
ABL1_chr9_133738283__CDK9_chr9_130548409	303	211	252	328	167	170	316	373
ABL1_chr9_133738283__CHEK1_chr11_125496687	128	0	421	176	112	0	566	269
ABL1_chr9_133738283__CHEK2_chr22_29085137	913	1006	427	340	902	738	956	501
ABL1_chr9_133738283__DHFR_chr5_79950216	896	954	134	43	529	1082	514	211
ABL1_chr9_133738283__DHFR_chr5_79950217	325	978	451	562	872	623	1274	665
ABL1_chr9_133738283__EGFR_chr7_55086962	374	1107	321	414	606	333	363	242
ABL1_chr9_133738283__EGFR_chr7_55209992	396	1120	398	500	6	596	280	141
ABL1_chr9_133738283__ERBB2_chr17_37868292	374	546	0	65	334	302	1083	178
ABL1_chr9_133738283__FGFR2_chr10_123298118	544	393	365	227	435	597	112	204
ABL1_chr9_133738283__FGFR3_chr4_1795736	556	179	499	307	97	37	839	675
ABL1_chr9_133738283__FLT3_chr13_28636172	1025	1820	561	561	646	1474	645	752
ABL1_chr9_133738283__FLT3_chr13_28674643	467	238	443	193	416	121	200	182
ABL1_chr9_133738283__FNTA_chr8_42911471	915	1239	611	431	297	440	803	314
ABL1_chr9_133738283__FNTA_chr8_42924781	436	549	566	1104	105	498	360	331
ABL1_chr9_133738283__HDAC1_chr1_32792601	778	824	718	748	241	488	1139	535
ABL1_chr9_133738283__HDAC2_chr6_114266539	707	496	1208	950	284	462	830	415
ABL1_chr9_133738283__HDAC6_chrX_48661089	320	265	160	173	1	48	206	248
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	672	1198	1020	1002	400	912	671	633
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	769	553	169	194	341	822	386	400
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	179	78	22	1	136	100	179	128
ABL1_chr9_133738283__IGF1R_chr15_99192824	146	257	28	1	214	38	375	28
ABL1_chr9_133738283__IGF1R_chr15_99434807	726	394	1102	906	858	79	439	452
ABL1_chr9_133738283__KIT_chr4_55524176	1313	1022	872	1482	726	739	408	472
ABL1_chr9_133738283__MAP2K1_chr15_66679721	378	621	61	32	253	379	222	110
ABL1_chr9_133738283__MAP2K1_chr15_66679756	215	22	911	942	163	1	224	357
ABL1_chr9_133738283__MET_chr7_116339123	266	453	565	469	596	424	876	224
ABL1_chr9_133738283__MET_chr7_116340188	199	352	187	119	417	984	0	232
ABL1_chr9_133738283__MTOR_chr1_11317010	787	670	575	311	564	1049	298	533
ABL1_chr9_133738283__MTOR_chr1_11317149	279	79	179	0	389	88	217	27
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	1096	1517	1784	1992	604	1313	1150	1200
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	319	1020	500	426	647	1389	547	456
ABL1_chr9_133738283__PARP1_chr1_226595581	842	401	460	179	296	127	510	571
ABL1_chr9_133738283__PDGFRA_chr4_55124963	717	1003	88	224	176	489	1207	215
ABL1_chr9_133738283__PIK3CA_chr3_178916614	1007	1839	579	366	758	1385	204	517
ABL1_chr9_133738283__PRKDC_chr8_48872683	22	2	330	707	376	1	711	159
ABL1_chr9_133738283__ROR1_chr1_64240072	350	233	134	127	395	196	404	147
ABL1_chr9_133738283__ROR1_chr1_64240089	795	362	221	192	145	545	695	467
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	271	695	431	575	460	1319	630	374
ABL1_chr9_133738283__RRM2_chr2_10262728	384	349	751	326	475	251	790	536
ABL1_chr9_133738283__SMO_chr7_128845081	592	492	352	501	293	591	481	346
ABL1_chr9_133738283__SMO_chr7_128845117	596	652	1030	1064	392	452	160	454
ABL1_chr9_133738283__SRC_chr20_36012562	433	402	170	153	159	266	0	145
ABL1_chr9_133738283__SRC_chr20_36022600	863	1061	748	659	483	845	2356	630
ABL1_chr9_133738283__TOP1_chr20_39657693	362	175	338	573	118	142	0	200
ABL1_chr9_133738283__TOP1_chr20_39690055	625	873	686	863	930	1111	493	424
ABL1_chr9_133738283__TYMS_chr18_657730	1166	1747	192	17	133	1142	112	147
ABL1_chr9_133738283__TYMS_chr18_659665	103	44	281	453	212	1	389	164
ABL1_chr9_133738283__VEGFA_chr6_43738425	38	0	55	75	223	72	0	116
ABL1_chr9_133738283__VEGFA_chr6_43742077	107	263	504	750	145	210	0	199
ABL1_chr9_133738283__WEE1_chr11_9595462	30	0	75	94	82	0	139	104
ABL1_chr9_133738283__WEE1_chr11_9595542	673	1014	449	252	746	897	918	317
ABL1_chr9_133738283__WEE1_chr11_9595845	167	0	89	0	0	1	301	63
ABL1_chr9_133738356__ADA_chr20_43280245	246	331	668	595	140	214	382	484
ABL1_chr9_133738356__AKT1_chr14_105239609	746	1134	843	1012	794	1313	365	646
ABL1_chr9_133738356__AKT1_chr14_105239686	876	725	512	373	960	397	886	463
ABL1_chr9_133738356__AKT1_chr14_105258968	1177	1349	649	739	122	1238	845	1039
ABL1_chr9_133738356__ATM_chr11_108098350	1130	919	718	529	696	1384	572	610
ABL1_chr9_133738356__ATM_chr11_108098390	1208	919	619	450	390	753	1264	571
ABL1_chr9_133738356__ATM_chr11_108098402	257	601	1530	1598	670	216	560	953
ABL1_chr9_133738356__BRAF_chr7_140508787	955	695	920	1271	1018	810	603	1107
ABL1_chr9_133738356__BRAF_chr7_140624501	851	860	923	858	484	1076	900	800
ABL1_chr9_133738356__BRD4_chr19_15376361	737	445	2759	579	703	280	1423	1867
ABL1_chr9_133738356__BTK_chrX_100629565	1459	1517	1164	793	1072	1045	1175	1249
ABL1_chr9_133738356__CDK4_chr12_58144705	1190	1338	1581	1065	975	2138	1308	620
ABL1_chr9_133738356__CDK4_chr12_58145497	824	1051	1190	1158	729	1066	940	896
ABL1_chr9_133738356__CDK6_chr7_92244474	357	294	475	558	591	285	855	486
ABL1_chr9_133738356__CDK6_chr7_92252365	2279	2901	1117	788	1127	2813	1786	1485
ABL1_chr9_133738356__CDK9_chr9_130548409	572	368	657	1103	720	200	499	313
ABL1_chr9_133738356__CDK9_chr9_130548998	1047	442	842	1145	179	586	1390	1052
ABL1_chr9_133738356__CHEK1_chr11_125499147	1130	1283	532	511	301	683	588	452
ABL1_chr9_133738356__DHFR_chr5_79949819	1717	1616	374	450	682	1220	466	432
ABL1_chr9_133738356__DHFR_chr5_79950216	1128	945	438	607	730	662	965	435
ABL1_chr9_133738356__ERBB2_chr17_37868221	479	186	260	130	120	106	178	593
ABL1_chr9_133738356__FGFR2_chr10_123298215	190	407	123	8	632	360	286	139
ABL1_chr9_133738356__FGFR2_chr10_123353328	806	883	569	798	1008	236	398	465
ABL1_chr9_133738356__FGFR3_chr4_1795655	151	77	10	33	190	1	552	163
ABL1_chr9_133738356__FGFR3_chr4_1795735	1531	1631	1027	1443	638	1166	1081	685
ABL1_chr9_133738356__FGFR3_chr4_1795736	908	294	395	117	872	172	1408	789
ABL1_chr9_133738356__FLT3_chr13_28636131	443	198	606	674	346	220	339	588
ABL1_chr9_133738356__FNTA_chr8_42914260	1102	125	836	390	232	421	683	193
ABL1_chr9_133738356__FNTA_chr8_42924781	990	510	1004	741	624	695	578	943
ABL1_chr9_133738356__HDAC1_chr1_32757816	399	163	279	236	588	255	601	248
ABL1_chr9_133738356__HDAC1_chr1_32792637	540	1111	773	475	557	683	432	532
ABL1_chr9_133738356__HDAC2_chr6_114267214	701	1077	1246	1689	512	980	426	804
ABL1_chr9_133738356__HDAC2_chr6_114292056	616	268	407	288	170	381	2	502
ABL1_chr9_133738356__HDAC6_chrX_48661089	1045	677	800	255	181	698	684	465
ABL1_chr9_133738356__HDAC6_chrX_48661385	1226	1065	390	173	418	1110	781	589
ABL1_chr9_133738356__JAK2_chr9_5021970	802	379	891	1409	129	881	882	615
ABL1_chr9_133738356__JAK2_chr9_5050816	184	165	297	300	274	422	300	413
ABL1_chr9_133738356__KIT_chr4_55524164	792	1234	1804	2029	607	1882	909	1398
ABL1_chr9_133738356__KIT_chr4_55524229	715	823	1180	803	637	639	366	596
ABL1_chr9_133738356__MAP2K1_chr15_66679728	807	855	1045	1048	597	1251	764	591
ABL1_chr9_133738356__MET_chr7_116340207	1637	2295	1200	1423	993	1363	526	964
ABL1_chr9_133738356__MTOR_chr1_11317010	655	1265	833	1334	399	384	507	470
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	2672	2631	1096	700	497	2856	959	862
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	1980	2863	2854	2977	750	2625	1862	1134
ABL1_chr9_133738356__PARP1_chr1_226578249	335	315	316	157	450	716	699	452
ABL1_chr9_133738356__PARP1_chr1_226595581	696	1246	753	694	682	589	829	383
ABL1_chr9_133738356__PDGFRA_chr4_55124932	564	201	558	618	409	221	696	679
ABL1_chr9_133738356__PDGFRA_chr4_55124963	588	966	1887	1829	541	1351	116	1062
ABL1_chr9_133738356__PIK3CA_chr3_178919167	1057	1380	117	194	340	1137	724	256
ABL1_chr9_133738356__PRKDC_chr8_48686398	788	637	614	302	447	227	771	315
ABL1_chr9_133738356__PRKDC_chr8_48872683	349	276	982	1039	124	356	1166	263
ABL1_chr9_133738356__ROR1_chr1_64240072	550	321	999	597	489	420	1392	615
ABL1_chr9_133738356__ROR1_chr1_64240143	1468	1700	3099	2950	1233	1866	1022	1774
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	568	440	806	677	899	524	741	1008
ABL1_chr9_133738356__RRM2_chr2_10262728	493	319	129	351	581	702	499	343
ABL1_chr9_133738356__RRM2_chr2_10262957	551	1033	692	476	445	737	397	369
ABL1_chr9_133738356__SRC_chr20_36022600	793	1411	549	346	1333	1278	462	331
ABL1_chr9_133738356__TOP1_chr20_39690055	850	1185	772	604	464	1146	731	677
ABL1_chr9_133738356__TOP1_chr20_39690109	2449	3479	2396	2259	1826	3105	1695	726
ABL1_chr9_133738356__TYMS_chr18_657730	1322	1474	1060	765	715	1566	1759	1512
ABL1_chr9_133738356__TYMS_chr18_659656	656	766	286	212	376	529	293	412
ABL1_chr9_133738356__TYMS_chr18_659665	2845	4118	1238	677	1324	2914	1945	1525
ABL1_chr9_133738356__VEGFA_chr6_43738425	1015	1242	786	861	138	805	1614	678
ABL1_chr9_133738356__VEGFA_chr6_43742077	157	145	113	137	1083	84	1003	133
ABL1_chr9_133738356__VEGFA_chr6_43742108	714	968	325	198	367	608	860	260
ABL1_chr9_133738356__WEE1_chr11_9595462	0	0	0	48	0	0	0	0
ADA_chr20_43257696__ABL1_chr9_133738283	1386	1352	348	270	110	1352	240	427
ADA_chr20_43257696__ABL1_chr9_133738356	344	359	544	825	333	490	153	584
ADA_chr20_43257696__AKT1_chr14_105239609	1612	1270	2082	3119	1505	823	936	1562
ADA_chr20_43257696__AKT1_chr14_105258968	588	178	1012	1668	502	416	1178	552
ADA_chr20_43257696__ALK_chr2_29541171	1844	833	1797	1360	713	1312	2136	731
ADA_chr20_43257696__ALK_chr2_29541172	1726	1274	514	975	641	1029	2038	756
ADA_chr20_43257696__ALK_chr2_30143522	442	997	1382	1190	75	594	831	698
ADA_chr20_43257696__ATM_chr11_108098350	1384	1188	1319	1303	839	1453	1249	769
ADA_chr20_43257696__ATM_chr11_108098402	1200	1560	1436	967	1609	1515	1333	1149
ADA_chr20_43257696__BRAF_chr7_140624501	501	555	770	580	436	282	425	576
ADA_chr20_43257696__BRD4_chr19_15376361	889	1274	443	281	374	1021	286	619
ADA_chr20_43257696__BRD4_chr19_15376403	878	626	539	399	106	804	223	376
ADA_chr20_43257696__BRD4_chr19_15383894	1396	1958	912	592	660	1985	1531	967
ADA_chr20_43257696__BTK_chrX_100626613	2817	3578	1432	572	1120	2964	1021	1408
ADA_chr20_43257696__BTK_chrX_100629565	525	650	172	236	716	454	631	518
ADA_chr20_43257696__BTK_chrX_100645534	574	222	173	228	515	570	448	632
ADA_chr20_43257696__CDK4_chr12_58143253	515	436	704	408	872	65	2027	903
ADA_chr20_43257696__CDK4_chr12_58144705	914	376	1029	1767	1231	579	2070	412
ADA_chr20_43257696__CDK6_chr7_92244474	664	594	693	1197	113	645	722	536
ADA_chr20_43257696__CDK6_chr7_92252365	936	831	735	911	1158	961	955	762
ADA_chr20_43257696__CDK9_chr9_130548998	1445	1734	981	492	1304	1034	1149	511
ADA_chr20_43257696__CDK9_chr9_130550235	635	727	785	619	1928	79	912	799
ADA_chr20_43257696__CHEK1_chr11_125496644	1704	1300	1355	1909	1312	1511	3353	1131
ADA_chr20_43257696__CHEK1_chr11_125499147	354	181	564	451	1234	444	1212	752
ADA_chr20_43257696__CHEK2_chr22_29090029	1095	1108	941	1417	312	755	2463	629
ADA_chr20_43257696__CHEK2_chr22_29130694	1070	2257	1002	946	518	1215	779	1105
ADA_chr20_43257696__DHFR_chr5_79950216	1162	1166	899	430	951	1020	586	356
ADA_chr20_43257696__EGFR_chr7_55209986	1050	1818	692	206	349	1092	909	828
ADA_chr20_43257696__ERBB2_chr17_37855800	569	231	840	564	239	494	511	1029
ADA_chr20_43257696__FGFR2_chr10_123298118	1451	1612	1286	1205	687	1575	523	538
ADA_chr20_43257696__FGFR2_chr10_123298215	763	524	341	478	676	565	1095	404
ADA_chr20_43257696__FGFR3_chr4_1795655	312	103	44	0	1221	84	2313	4
ADA_chr20_43257696__FGFR3_chr4_1795736	899	510	1208	1530	820	416	913	853
ADA_chr20_43257696__FLT3_chr13_28636172	1019	916	1081	678	529	925	1495	627
ADA_chr20_43257696__FLT3_chr13_28674643	316	506	1046	943	881	204	763	442
ADA_chr20_43257696__HDAC1_chr1_32792601	1443	2247	1745	1890	1270	2554	1011	972
ADA_chr20_43257696__HDAC2_chr6_114267214	144	270	95	141	84	49	605	450
ADA_chr20_43257696__HSP90AA1_chr14_102551760	1411	1670	1815	3037	940	824	2140	1273
ADA_chr20_43257696__HSP90AA1_chr14_102552141	370	374	106	1	108	389	50	307
ADA_chr20_43257696__JAK2_chr9_5050721	569	679	929	1699	742	340	1002	882
ADA_chr20_43257696__JAK2_chr9_5050816	926	907	790	984	194	716	720	738
ADA_chr20_43257696__KIT_chr4_55524164	1491	1428	897	871	1889	1435	2285	1134
ADA_chr20_43257696__MAP2K1_chr15_66679756	1178	1465	576	1071	865	667	483	623
ADA_chr20_43257696__MET_chr7_116340188	672	566	632	841	848	373	959	706
ADA_chr20_43257696__MTOR_chr1_11317010	2414	1397	1485	1916	1375	1203	2323	746
ADA_chr20_43257696__MTOR_chr1_11319459	1529	2289	1174	1352	910	1536	998	1144
ADA_chr20_43257696__NonTargetingControlGuideForHuman0362	1175	1032	978	783	1231	743	1715	935
ADA_chr20_43257696__NonTargetingControlGuideForHuman0412	2258	3711	923	1150	1416	3070	2038	581
ADA_chr20_43257696__PARP1_chr1_226578249	568	347	1089	3393	253	291	892	421
ADA_chr20_43257696__PARP1_chr1_226578301	589	141	108	184	322	98	157	210
ADA_chr20_43257696__PIK3CA_chr3_178916614	1798	2164	903	1099	2016	2090	2054	890
ADA_chr20_43257696__PRKDC_chr8_48686398	2069	2211	844	349	1743	1429	2298	1223
ADA_chr20_43257696__ROR1_chr1_64240072	988	752	928	1209	728	1008	589	561
ADA_chr20_43257696__ROR1_chr1_64240089	478	857	1456	1609	926	868	944	764
ADA_chr20_43257696__ROR1_chr1_64240143	1255	1072	1017	953	1401	833	2394	442
ADA_chr20_43257696__RRM2_chr2_10262728	981	652	214	118	484	410	783	493
ADA_chr20_43257696__SMO_chr7_128828974	1106	1745	2148	2438	509	1656	303	948
ADA_chr20_43257696__SRC_chr20_36014563	1206	812	1159	1044	1338	1754	652	1048
ADA_chr20_43257696__TOP1_chr20_39690055	1452	1804	749	368	2516	2235	578	783
ADA_chr20_43257696__TYMS_chr18_657730	712	1710	1222	1300	613	1625	541	1144
ADA_chr20_43257696__TYMS_chr18_659665	1951	2575	1153	1051	1780	2679	1219	1465
ADA_chr20_43257696__VEGFA_chr6_43738425	1450	1527	794	534	1035	1910	1435	791
ADA_chr20_43257696__VEGFA_chr6_43742077	489	353	621	503	435	324	523	785
ADA_chr20_43257696__VEGFA_chr6_43742108	452	566	91	58	199	263	784	109
ADA_chr20_43257696__WEE1_chr11_9595462	0	0	0	0	0	0	0	0
ADA_chr20_43257696__WEE1_chr11_9595845	1394	1277	138	58	1162	905	1051	368
ADA_chr20_43257769__ABL1_chr9_133738283	920	178	2558	2328	672	34	584	1355
ADA_chr20_43257769__ABL1_chr9_133738356	503	566	1248	1667	878	245	1093	307
ADA_chr20_43257769__AKT1_chr14_105258968	1945	1624	1325	909	2361	1176	3182	1383
ADA_chr20_43257769__ALK_chr2_30143522	1220	1342	1004	915	455	1177	955	428
ADA_chr20_43257769__BCL2_chr18_60795945	604	441	324	394	185	445	1	414
ADA_chr20_43257769__BCL2_chr18_60795960	2924	3015	2289	2014	1595	1606	2413	1000
ADA_chr20_43257769__BRAF_chr7_140508787	1105	1450	880	742	1337	1329	399	828
ADA_chr20_43257769__BRAF_chr7_140534469	600	924	706	679	232	644	1144	595
ADA_chr20_43257769__BTK_chrX_100626613	2289	1506	2782	3540	1896	1466	1886	1919
ADA_chr20_43257769__BTK_chrX_100629565	840	2202	439	861	687	1465	1229	544
ADA_chr20_43257769__BTK_chrX_100645534	745	338	2966	3445	725	125	765	922
ADA_chr20_43257769__CDK4_chr12_58144705	1523	1517	2107	1217	2187	1428	1104	1195
ADA_chr20_43257769__CDK6_chr7_92252365	1398	1100	1186	884	839	635	1058	786
ADA_chr20_43257769__CHEK1_chr11_125496687	603	987	953	1382	2	630	841	897
ADA_chr20_43257769__CHEK1_chr11_125499147	1313	1165	1608	1798	1448	676	845	962
ADA_chr20_43257769__CHEK2_chr22_29130694	700	1460	689	689	906	825	321	524
ADA_chr20_43257769__DHFR_chr5_79950216	1813	2545	1329	1455	904	2411	1499	1189
ADA_chr20_43257769__DHFR_chr5_79950217	841	600	937	716	1074	340	409	549
ADA_chr20_43257769__EGFR_chr7_55209986	1509	1531	2121	2165	954	1859	2151	1523
ADA_chr20_43257769__EGFR_chr7_55209992	1499	1016	643	1006	945	579	1012	719
ADA_chr20_43257769__ERBB2_chr17_37868221	1820	1697	1904	2623	1510	1973	2342	1683
ADA_chr20_43257769__FGFR2_chr10_123298118	1781	2448	913	1001	531	3698	968	983
ADA_chr20_43257769__FGFR3_chr4_1795655	432	705	419	225	537	530	710	307
ADA_chr20_43257769__FGFR3_chr4_1795735	2641	2706	3238	2431	2388	2888	2295	1843
ADA_chr20_43257769__FGFR3_chr4_1795736	2103	823	596	493	2176	200	1618	1351
ADA_chr20_43257769__FLT3_chr13_28636172	683	690	1345	1336	1035	413	1580	1160
ADA_chr20_43257769__FNTA_chr8_42911471	2402	2000	3563	4811	2279	2764	2734	1779
ADA_chr20_43257769__HDAC1_chr1_32792637	727	879	848	912	459	958	681	654
ADA_chr20_43257769__HDAC2_chr6_114266539	490	347	188	121	520	339	412	266
ADA_chr20_43257769__HDAC2_chr6_114292056	578	524	1720	1785	1434	388	1337	1319
ADA_chr20_43257769__HDAC6_chrX_48661385	1484	2492	1292	1684	589	3172	2226	890
ADA_chr20_43257769__HSP90AA1_chr14_102551760	792	840	420	730	1478	513	1287	461
ADA_chr20_43257769__HSP90AA1_chr14_102605736	1295	1378	1504	997	592	1690	1675	717
ADA_chr20_43257769__IGF1R_chr15_99434664	1562	2258	1241	1101	716	3431	655	610
ADA_chr20_43257769__JAK2_chr9_5050721	2211	2456	3435	2821	746	2596	2798	1376
ADA_chr20_43257769__KIT_chr4_55524176	2168	1212	1037	1012	2206	1102	1939	664
