construct_id	LCTBt23_S5_trimmed53_len_filtered_counts	LCTAt23_S4_trimmed53_len_filtered_counts	LPt23_S1_trimmed53_len_filtered_counts	LCAt23_S2_trimmed53_len_filtered_counts	LCBt23_S3_trimmed53_len_filtered_counts
ABL1_chr9_133738356__FNTA_chr8_42914260	3864	7	1477	633	871
ABL1_chr9_133738356__FNTA_chr8_42924781	6	4	228	4	2174
ABL1_chr9_133738356__GATA3_chr10_8097722	8	1	1321	4	842
ABL1_chr9_133738356__GATA3_chr10_8097790	6	1	213	2	296
ABL1_chr9_133738356__HDAC1_chr1_32757816	5	1923	561	3	1565
ABL1_chr9_133738356__HDAC1_chr1_32792637	24	5	1255	26	305
ABL1_chr9_133738356__HDAC2_chr6_114267214	7	1	625	3	537
ABL1_chr9_133738356__HDAC2_chr6_114292056	11	480	727	6	233
ABL1_chr9_133738356__HDAC6_chrX_48661089	14	4	7	2926	462
ABL1_chr9_133738356__HDAC6_chrX_48661385	24	6	582	7	518
ABL1_chr9_133738356__JAK2_chr9_5021970	2668	5	924	1490	3
ABL1_chr9_133738356__JAK2_chr9_5050816	2	0	673	5	274
ABL1_chr9_133738356__KDM5C_chrX_53241022	22	4	6	904	47
ABL1_chr9_133738356__KDM5C_chrX_53254068	8	81	687	4	2553
ABL1_chr9_133738356__KDM6A_chrX_44820616	15	2	0	3	6
ABL1_chr9_133738356__KIT_chr4_55524164	3844	127	1276	6	2498
ABL1_chr9_133738356__KIT_chr4_55524229	4562	1000	2	5	925
ABL1_chr9_133738356__KMT2D_chr12_49448161	11	2137	779	109	935
ABL1_chr9_133738356__KMT2D_chr12_49448168	3561	1595	1086	5676	2204
ABL1_chr9_133738356__KMT2D_chr12_49448468	431	425	1133	10	548
ABL1_chr9_133738356__MAP2K1_chr15_66679728	9	500	3	5	1516
ABL1_chr9_133738356__MAP3K1_chr5_56111382	7	1	1	1376	2
ABL1_chr9_133738356__MAP3K1_chr5_56152466	4	6	1	2319	9
ABL1_chr9_133738356__MET_chr7_116340207	7	1273	187	2	1
ABL1_chr9_133738356__MLH1_chr3_37035029	8	2244	3	9	6
ABL1_chr9_133738356__MLH1_chr3_37038179	2444	6	605	5	1390
ABL1_chr9_133738356__MSH6_chr2_48018111	7	921	785	880	1479
ABL1_chr9_133738356__MSH6_chr2_48018154	3	4	182	655	692
ABL1_chr9_133738356__MTOR_chr1_11317010	9	1404	1231	3	521
ABL1_chr9_133738356__NF1_chr17_29422308	14	881	1306	11	1844
ABL1_chr9_133738356__NF1_chr17_29483039	6	2	4	2	1276
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	17	0	5	9	2726
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	6	1	4	1282	3
ABL1_chr9_133738356__PARP1_chr1_226578249	15	1194	346	1236	10
ABL1_chr9_133738356__PARP1_chr1_226595581	2	1	134	1	254
ABL1_chr9_133738356__PBRM1_chr3_52702516	9	4	1173	2279	489
ABL1_chr9_133738356__PDGFRA_chr4_55124932	10	8	1232	7290	597
ABL1_chr9_133738356__PDGFRA_chr4_55124963	1570	6	1097	8	374
ABL1_chr9_133738356__PIK3CA_chr3_178919167	2682	4958	524	967	446
ABL1_chr9_133738356__PIK3R1_chr5_67576410	10	1415	282	6	2
ABL1_chr9_133738356__PRKDC_chr8_48686398	5	5	918	24	1096
ABL1_chr9_133738356__PRKDC_chr8_48872683	4604	1216	1159	10	1071
ABL1_chr9_133738356__PTEN_chr10_89711868	13	3237	3	11	2330
ABL1_chr9_133738356__RB1_chr13_48936969	12	1	1268	4	5
ABL1_chr9_133738356__ROR1_chr1_64240072	15	2	1091	12	1279
ABL1_chr9_133738356__ROR1_chr1_64240143	22	807	1150	1470	1827
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	8	0	2	2081	888
ABL1_chr9_133738356__RRM2_chr2_10262728	8	3	0	1	0
ABL1_chr9_133738356__RRM2_chr2_10262957	1164	2543	761	6	1685
ABL1_chr9_133738356__SETD2_chr3_47205411	14	3	1919	1514	2352
ABL1_chr9_133738356__SMAD4_chr18_48575673	7	1685	984	0	7
ABL1_chr9_133738356__SMAD4_chr18_48586241	6	2	3	3503	3
ABL1_chr9_133738356__SMARCA4_chr19_11094851	12	4	1794	8	537
ABL1_chr9_133738356__SMARCA4_chr19_11095011	3620	12	107	349	632
ABL1_chr9_133738356__SMARCB1_chr22_24129339	6	4	149	2907	944
ABL1_chr9_133738356__SMARCB1_chr22_24133993	14	6	389	2539	2899
ABL1_chr9_133738356__SRC_chr20_36022600	10	538	4	11	629
ABL1_chr9_133738356__TOP1_chr20_39690055	3	3513	429	3	970
ABL1_chr9_133738356__TOP1_chr20_39690109	8	2	132	0	227
ABL1_chr9_133738356__TP53_chr17_7577537	22	2672	1512	671	812
ABL1_chr9_133738356__TSC1_chr9_135796748	9	7863	1594	9	1807
ABL1_chr9_133738356__TSC1_chr9_135796796	12	2	934	4	972
ABL1_chr9_133738356__TYMS_chr18_657730	4892	3228	1573	2248	5903
ABL1_chr9_133738356__TYMS_chr18_659656	2	900	0	5	817
ABL1_chr9_133738356__TYMS_chr18_659665	7	2	4	6	396
ABL1_chr9_133738356__VEGFA_chr6_43738425	14	888	562	3505	2650
ABL1_chr9_133738356__VEGFA_chr6_43742077	1873	2311	599	405	919
ABL1_chr9_133738356__VEGFA_chr6_43742108	4	1	413	4	4
ABL1_chr9_133738356__VHL_chr3_10183518	8	2075	500	11	1620
ABL1_chr9_133738356__VHL_chr3_10183773	11	1757	1634	2	2104
ABL1_chr9_133738356__WEE1_chr11_9595462	10	11	834	1247	422
ADA_chr20_43257696__ABL1_chr9_133738283	2	18	311	4	1
ADA_chr20_43257696__ABL1_chr9_133738356	6	2	113	2	4
ADA_chr20_43257696__AKT1_chr14_105239609	3	1099	361	0	3
ADA_chr20_43257696__AKT1_chr14_105258968	7	1797	290	6	0
ADA_chr20_43257696__ALK_chr2_29541171	1	1	0	0	1
ADA_chr20_43257696__ALK_chr2_29541172	8	2	551	5	1132
ADA_chr20_43257696__ALK_chr2_30143522	8	1195	225	5	603
ADA_chr20_43257696__ARID1A_chr1_27056288	4	3512	5	0	157
ADA_chr20_43257696__ATM_chr11_108098350	7	1	0	5	2
ADA_chr20_43257696__ATM_chr11_108098402	4344	3	0	6	1
ADA_chr20_43257696__BRAF_chr7_140624501	3	1	264	3	5
ADA_chr20_43257696__BRCA1_chr17_41256141	2	599	450	2	2
ADA_chr20_43257696__BRCA1_chr17_41276018	8	2	31	2	636
ADA_chr20_43257696__BRCA2_chr13_32890586	9	2218	0	1	1
ADA_chr20_43257696__BRCA2_chr13_32914228	1	712	2	1934	508
ADA_chr20_43257696__BRD4_chr19_15376361	4	1	806	0	4
ADA_chr20_43257696__BRD4_chr19_15376403	12	4	175	5	1
ADA_chr20_43257696__BRD4_chr19_15383894	1	2	0	0	0
ADA_chr20_43257696__BTK_chrX_100626613	4	1	2	4	2
ADA_chr20_43257696__BTK_chrX_100629565	14	6	224	10193	339
ADA_chr20_43257696__BTK_chrX_100645534	11	1525	1400	682	667
ADA_chr20_43257696__CASP8_chr2_202131404	3304	4	651	7	2
ADA_chr20_43257696__CASP8_chr2_202134297	5	561	505	4	585
ADA_chr20_43257696__CDH1_chr16_68771300	4037	8	438	6	752
ADA_chr20_43257696__CDH1_chr16_68772255	0	1	14	0	0
ADA_chr20_43257696__CDK4_chr12_58143253	3543	3	2	8	2
ADA_chr20_43257696__CDK4_chr12_58144705	5	752	729	5	514
ADA_chr20_43257696__CDK6_chr7_92244474	10	2	533	4	784
ADA_chr20_43257696__CDK6_chr7_92252365	6	5	3	8	1183
ADA_chr20_43257696__CDK9_chr9_130548998	5	2	1	2	1
ADA_chr20_43257696__CDK9_chr9_130550235	3669	4	1403	3	7
ADA_chr20_43257696__CDKN1B_chr12_12870931	2	2	704	1583	520
ADA_chr20_43257696__CDKN2A_chr9_21994327	8	2	0	1252	345
ADA_chr20_43257696__CHEK1_chr11_125496644	5	376	714	1	0
ADA_chr20_43257696__CHEK1_chr11_125499147	2430	1284	4	1567	420
ADA_chr20_43257696__CHEK2_chr22_29090029	6	0	1	2	1
ADA_chr20_43257696__CHEK2_chr22_29130694	15	0	311	4	1
ADA_chr20_43257696__DHFR_chr5_79950216	2480	1552	266	2245	641
ADA_chr20_43257696__EGFR_chr7_55209986	10	3	335	9463	702
ADA_chr20_43257696__ERBB2_chr17_37855800	9	1	392	2	872
ADA_chr20_43257696__FGFR2_chr10_123298118	7	0	0	0	3
ADA_chr20_43257696__FGFR2_chr10_123298215	4	1	1	4	1
ADA_chr20_43257696__FGFR3_chr4_1795655	7	3	0	0	286
ADA_chr20_43257696__FGFR3_chr4_1795736	5	696	721	2234	559
ADA_chr20_43257696__FLT3_chr13_28636172	5	1	3	4	1
