construct_id	U2OS-CAS9B-t28_S4_trimmed53_len_filtered_counts	U2OS-CAS9TREX2A-t14_S1_trimmed53_len_filtered_counts	U2OS-CAS9TREX2A-t28_S5_trimmed53_len_filtered_counts	U2OS-CAS9TREX2B-t14_S2_trimmed53_len_filtered_counts	U2OS-CAS9TREX2B-t28_S6_trimmed53_len_filtered_counts	U2OS-Parent-t28_S3_trimmed53_len_filtered_counts
ABL1_chr9_133589790__IGF1R_chr15_99434664	123	14	12	26	38	90
ABL1_chr9_133589790__KDM5C_chrX_53241021	6	2	6	7	1	1
ABL1_chr9_133589790__KDM5C_chrX_53254068	145	66	13	69	73	64
ABL1_chr9_133589790__KDM6A_chrX_44820615	26	4	5	22	25	73
ABL1_chr9_133589790__KDM6A_chrX_44820616	53	87	100	9	4	28
ABL1_chr9_133589790__KIT_chr4_55524164	8	62	15	13	5	1
ABL1_chr9_133589790__KMT2D_chr12_49448161	56	77	28	13	4	17
ABL1_chr9_133589790__KMT2D_chr12_49448168	189	82	40	22	9	107
ABL1_chr9_133589790__KMT2D_chr12_49448468	173	209	388	117	340	30
ABL1_chr9_133589790__MAP2K1_chr15_66679756	15	42	19	105	54	67
ABL1_chr9_133589790__MAP3K1_chr5_56111382	68	3	2	4	3	10
ABL1_chr9_133589790__MAP3K1_chr5_56152466	100	96	36	12	1	38
ABL1_chr9_133589790__MET_chr7_116340207	48	34	33	8	3	5
ABL1_chr9_133589790__MLH1_chr3_37045912	110	61	11	55	4	16
ABL1_chr9_133589790__MSH6_chr2_48018154	89	57	58	5	5	8
ABL1_chr9_133589790__NF1_chr17_29422308	71	70	19	53	7	71
ABL1_chr9_133589790__NF1_chr17_29483039	24	104	29	4	2	59
ABL1_chr9_133589790__NonTargetingControlGuideForHuman0352	25	96	36	184	72	26
ABL1_chr9_133589790__PARP1_chr1_226578249	56	48	16	149	249	41
ABL1_chr9_133589790__PARP1_chr1_226578301	23	12	4	34	1	21
ABL1_chr9_133589790__PARP1_chr1_226595581	4	15	6	8	42	15
ABL1_chr9_133589790__PBRM1_chr3_52713723	74	78	40	18	1	64
ABL1_chr9_133589790__PDGFRA_chr4_55124932	18	3	9	60	27	10
ABL1_chr9_133589790__PDGFRA_chr4_55124963	59	112	172	85	34	54
ABL1_chr9_133589790__PIK3CA_chr3_178919070	17	40	5	37	21	28
ABL1_chr9_133589790__PIK3CA_chr3_178919167	55	24	6	23	6	0
ABL1_chr9_133589790__PIK3R1_chr5_67576410	101	31	8	25	4	34
ABL1_chr9_133589790__PIK3R1_chr5_67576421	27	52	52	52	23	35
ABL1_chr9_133589790__PRKDC_chr8_48686398	31	59	9	53	0	15
ABL1_chr9_133589790__PRKDC_chr8_48686781	55	45	8	12	36	47
ABL1_chr9_133589790__PTEN_chr10_89653786	23	16	4	104	40	7
ABL1_chr9_133589790__RB1_chr13_48878054	51	86	20	36	3	48
ABL1_chr9_133589790__RB1_chr13_48934148	52	103	367	43	27	51
ABL1_chr9_133589790__ROR1_chr1_64240072	80	87	20	36	2	38
ABL1_chr9_133589790__ROR1_chr1_64240143	207	26	29	47	34	49
ABL1_chr9_133589790__RPS6KB1_chr17_57970538	68	29	43	1	2	4
ABL1_chr9_133589790__RPS6KB1_chr17_57987922	22	22	9	4	5	59
ABL1_chr9_133589790__RRM2_chr2_10262728	40	39	2	2	3	52
ABL1_chr9_133589790__RRM2_chr2_10262940	21	3	17	16	3	124
ABL1_chr9_133589790__RUNX1_chr21_36252902	16	22	3	71	1	0
ABL1_chr9_133589790__RUNX1_chr21_36421144	87	5	5	12	8	29
ABL1_chr9_133589790__SETD2_chr3_47142951	21	45	9	12	5	32
ABL1_chr9_133589790__SETD2_chr3_47205411	68	46	3	60	61	74
ABL1_chr9_133589790__SMARCA4_chr19_11094819	83	175	633	15	12	90
ABL1_chr9_133589790__SMARCB1_chr22_24129339	22	2	5	11	2	1
ABL1_chr9_133589790__SMARCB1_chr22_24133949	42	122	170	31	3	13
ABL1_chr9_133589790__SMARCB1_chr22_24133993	10	3	3	6	1	13
ABL1_chr9_133589790__SMO_chr7_128845117	18	112	46	50	1	64
ABL1_chr9_133589790__SRC_chr20_36014563	61	207	29	162	194	55
ABL1_chr9_133589790__SRC_chr20_36022600	15	79	86	12	5	31
ABL1_chr9_133589790__TOP1_chr20_39657693	41	8	4	5	0	42
ABL1_chr9_133589790__TOP1_chr20_39690109	18	60	1	2	2	7
ABL1_chr9_133589790__TP53_chr17_7577537	105	197	23	4	9	35
ABL1_chr9_133589790__TP53_chr17_7579881	134	124	63	21	5	28
ABL1_chr9_133589790__TSC1_chr9_135804256	14	63	33	79	1	40
ABL1_chr9_133589790__TYMS_chr18_659665	160	26	36	117	38	26
ABL1_chr9_133589790__VEGFA_chr6_43742077	26	89	50	379	2887	33
ABL1_chr9_133589790__VHL_chr3_10183773	43	13	9	5	3	20
ABL1_chr9_133589790__WEE1_chr11_9595462	55	73	34	14	9	24
ABL1_chr9_133738283__AKT1_chr14_105258968	21	109	212	59	61	31
ABL1_chr9_133738283__ALK_chr2_29541171	18	9	5	10	3	31
ABL1_chr9_133738283__ALK_chr2_29541172	11	36	29	22	3	1
ABL1_chr9_133738283__ALK_chr2_30143522	58	48	17	38	4	16
ABL1_chr9_133738283__APC_chr5_112102933	6	131	282	6	1	7
ABL1_chr9_133738283__ARID1A_chr1_27022876	124	6	20	42	156	48
ABL1_chr9_133738283__ARID1A_chr1_27056286	64	147	174	6	5	42
ABL1_chr9_133738283__ATM_chr11_108098350	21	47	7	248	18	5
ABL1_chr9_133738283__ATM_chr11_108098390	26	125	24	8	3	98
ABL1_chr9_133738283__BCL2_chr18_60795945	38	45	52	33	257	13
ABL1_chr9_133738283__BCL2_chr18_60795960	60	54	8	69	112	10
ABL1_chr9_133738283__BRAF_chr7_140508787	138	106	28	171	109	52
ABL1_chr9_133738283__BRAF_chr7_140534469	52	40	27	101	193	45
ABL1_chr9_133738283__BRCA1_chr17_41256141	119	99	110	96	212	51
ABL1_chr9_133738283__BRCA1_chr17_41276018	28	3	3	8	0	32
ABL1_chr9_133738283__BRCA2_chr13_32890586	93	43	5	4	3	39
ABL1_chr9_133738283__BRCA2_chr13_32914228	27	41	12	47	4	6
ABL1_chr9_133738283__BRD4_chr19_15383894	8	74	7	8	6	8
ABL1_chr9_133738283__BTK_chrX_100626613	5	68	144	10	5	1
ABL1_chr9_133738283__BTK_chrX_100645534	79	6	8	10	2	16
ABL1_chr9_133738283__CASP8_chr2_202123033	115	8	12	113	5	62
ABL1_chr9_133738283__CASP8_chr2_202131404	22	26	11	39	3	24
ABL1_chr9_133738283__CDH1_chr16_68771300	68	93	165	141	164	60
ABL1_chr9_133738283__CDH1_chr16_68772250	75	38	43	18	3	36
ABL1_chr9_133738283__CDK4_chr12_58143253	40	55	26	9	3	18
ABL1_chr9_133738283__CDK6_chr7_92244474	48	20	12	55	11	58
ABL1_chr9_133738283__CDK6_chr7_92252365	305	25	16	53	9	15
ABL1_chr9_133738283__CDK6_chr7_92462628	2	4	1	1	1	3
ABL1_chr9_133738283__CDK9_chr9_130548409	13	56	12	92	8	33
ABL1_chr9_133738283__CDKN1B_chr12_12870931	2	5	7	71	4	1
ABL1_chr9_133738283__CHEK1_chr11_125496687	25	2	4	2	0	69
ABL1_chr9_133738283__CHEK2_chr22_29085137	30	49	15	304	401	22
ABL1_chr9_133738283__DHFR_chr5_79950216	54	32	34	100	7	80
ABL1_chr9_133738283__DHFR_chr5_79950217	37	9	6	11	2	16
ABL1_chr9_133738283__EGFR_chr7_55086962	12	117	58	158	98	1
ABL1_chr9_133738283__EGFR_chr7_55209992	28	105	91	5	3	25
ABL1_chr9_133738283__ERBB2_chr17_37868292	22	5	5	61	5	158
ABL1_chr9_133738283__FGFR2_chr10_123298118	10	43	26	212	189	38
ABL1_chr9_133738283__FGFR3_chr4_1795736	10	41	10	156	302	27
ABL1_chr9_133738283__FLT3_chr13_28636172	123	60	42	26	5	50
ABL1_chr9_133738283__FLT3_chr13_28674643	24	6	56	29	34	31
ABL1_chr9_133738283__FNTA_chr8_42911471	23	3	10	10	0	6
ABL1_chr9_133738283__FNTA_chr8_42924781	145	264	117	17	4	48
ABL1_chr9_133738283__GATA3_chr10_8097612	4	6	11	42	1	71
ABL1_chr9_133738283__HDAC1_chr1_32792601	17	43	22	23	4	49
ABL1_chr9_133738283__HDAC2_chr6_114266539	105	25	6	15	38	17
ABL1_chr9_133738283__HDAC6_chrX_48661089	96	101	175	8	1	47
ABL1_chr9_133738283__HSP90AA1_chr14_102551760	15	7	12	9	9	9
ABL1_chr9_133738283__HSP90AA1_chr14_102552141	25	2	9	1	7	38
ABL1_chr9_133738283__HSP90AA1_chr14_102605736	51	63	40	34	3	43
ABL1_chr9_133738283__IGF1R_chr15_99192824	61	8	94	46	4	2
ABL1_chr9_133738283__IGF1R_chr15_99434807	180	111	13	8	7	11
ABL1_chr9_133738283__KDM5C_chrX_53241021	2	3	3	13	10	3
ABL1_chr9_133738283__KDM5C_chrX_53254068	57	11	9	48	3	8
ABL1_chr9_133738283__KDM6A_chrX_44732838	18	48	14	103	447	25
ABL1_chr9_133738283__KIT_chr4_55524176	8	15	12	8	1	16
ABL1_chr9_133738283__KMT2D_chr12_49448161	21	5	7	18	2	52
ABL1_chr9_133738283__MAP2K1_chr15_66679721	82	111	39	84	5	49
ABL1_chr9_133738283__MAP2K1_chr15_66679756	46	9	4	116	2	141
ABL1_chr9_133738283__MAP3K1_chr5_56152466	8	7	5	8	5	63
ABL1_chr9_133738283__MET_chr7_116339123	23	24	3	9	7	18
ABL1_chr9_133738283__MET_chr7_116340188	55	58	55	25	5	38
ABL1_chr9_133738283__MLH1_chr3_37035029	75	27	19	164	239	57
ABL1_chr9_133738283__MLH1_chr3_37038179	59	64	26	144	157	58
ABL1_chr9_133738283__MLH1_chr3_37045912	42	5	3	30	3	18
ABL1_chr9_133738283__MTOR_chr1_11317010	65	94	17	42	41	45
ABL1_chr9_133738283__MTOR_chr1_11317149	20	16	13	5	4	37
ABL1_chr9_133738283__NF1_chr17_29483038	11	2	10	11	6	2
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0362	70	84	63	54	8	33
ABL1_chr9_133738283__NonTargetingControlGuideForHuman0412	10	9	5	111	43	15
ABL1_chr9_133738283__PARP1_chr1_226595581	8	50	2	33	3	4
ABL1_chr9_133738283__PDGFRA_chr4_55124963	44	51	88	48	9	16
ABL1_chr9_133738283__PIK3CA_chr3_178916614	103	89	18	103	3	87
ABL1_chr9_133738283__PIK3R1_chr5_67522521	158	156	49	91	67	40
ABL1_chr9_133738283__PIK3R1_chr5_67576421	164	121	9	20	4	50
ABL1_chr9_133738283__PRKDC_chr8_48872683	13	3	13	62	70	13
ABL1_chr9_133738283__PTEN_chr10_89653786	4	59	36	69	3	45
ABL1_chr9_133738283__RB1_chr13_48878054	19	26	6	8	2	6
ABL1_chr9_133738283__RB1_chr13_48934148	5	2	4	6	6	0
ABL1_chr9_133738283__RB1_chr13_48936969	349	468	592	98	12	41
ABL1_chr9_133738283__ROR1_chr1_64240072	135	54	50	102	39	22
ABL1_chr9_133738283__ROR1_chr1_64240089	15	8	8	18	6	9
ABL1_chr9_133738283__RPS6KB1_chr17_57987922	15	58	15	72	0	20
ABL1_chr9_133738283__RRM2_chr2_10262728	27	10	2	3	0	7
ABL1_chr9_133738283__RUNX1_chr21_36252860	37	76	18	15	30	21
ABL1_chr9_133738283__RUNX1_chr21_36252902	126	66	9	13	4	10
ABL1_chr9_133738283__RUNX1_chr21_36421144	113	47	16	113	49	35
ABL1_chr9_133738283__SETD2_chr3_47142972	2	8	1	1	1	15
ABL1_chr9_133738283__SMAD4_chr18_48573460	28	4	5	5	3	11
ABL1_chr9_133738283__SMARCA4_chr19_11095011	16	6	5	11	2	8
ABL1_chr9_133738283__SMO_chr7_128845081	37	49	27	118	1	69
ABL1_chr9_133738283__SMO_chr7_128845117	13	5	7	3	7	42
ABL1_chr9_133738283__SRC_chr20_36012562	99	3	5	63	90	8
ABL1_chr9_133738283__SRC_chr20_36022600	53	31	18	7	2	8
ABL1_chr9_133738283__TOP1_chr20_39657693	81	18	7	27	2	47
ABL1_chr9_133738283__TOP1_chr20_39690055	121	51	40	33	158	25
ABL1_chr9_133738283__TP53_chr17_7578373	11	79	20	23	7	18
ABL1_chr9_133738283__TSC1_chr9_135796748	69	48	13	50	42	63
ABL1_chr9_133738283__TYMS_chr18_657730	367	139	118	40	535	98
ABL1_chr9_133738283__TYMS_chr18_659665	80	106	101	10	4	3
ABL1_chr9_133738283__VEGFA_chr6_43738425	45	118	26	13	1	16
ABL1_chr9_133738283__VEGFA_chr6_43742077	44	91	144	125	87	121
ABL1_chr9_133738283__VHL_chr3_10183791	6	4	0	8	3	137
ABL1_chr9_133738283__WEE1_chr11_9595462	97	65	43	10	3	34
ABL1_chr9_133738283__WEE1_chr11_9595542	49	14	6	2	4	4
ABL1_chr9_133738283__WEE1_chr11_9595845	26	51	19	2	1	12
ABL1_chr9_133738356__ADA_chr20_43280245	132	51	19	12	4	47
ABL1_chr9_133738356__AKT1_chr14_105239609	76	22	29	174	689	22
ABL1_chr9_133738356__AKT1_chr14_105239686	163	75	68	80	47	22
ABL1_chr9_133738356__AKT1_chr14_105258968	118	232	160	59	10	73
ABL1_chr9_133738356__APC_chr5_112043408	194	140	90	39	6	89
ABL1_chr9_133738356__APC_chr5_112102023	159	33	140	60	86	46
ABL1_chr9_133738356__ARID1A_chr1_27056286	300	137	107	52	4	41
ABL1_chr9_133738356__ARID1A_chr1_27056288	117	92	89	54	9	79
ABL1_chr9_133738356__ARID2_chr12_46123614	10	3	11	7	4	1
ABL1_chr9_133738356__ATM_chr11_108098350	21	6	0	2	0	2
ABL1_chr9_133738356__ATM_chr11_108098390	74	94	17	36	3	65
ABL1_chr9_133738356__ATM_chr11_108098402	45	73	10	9	1	55
ABL1_chr9_133738356__BRAF_chr7_140508787	80	152	53	53	8	127
ABL1_chr9_133738356__BRAF_chr7_140624501	16	30	7	42	6	29
ABL1_chr9_133738356__BRCA1_chr17_41256141	162	167	617	38	10	146
ABL1_chr9_133738356__BRCA1_chr17_41267735	56	29	15	33	1	0
ABL1_chr9_133738356__BRD4_chr19_15376361	6	5	7	10	1	16
ABL1_chr9_133738356__BTK_chrX_100629565	19	31	12	27	1	34
ABL1_chr9_133738356__CASP8_chr2_202123033	53	96	40	13	3	95
ABL1_chr9_133738356__CASP8_chr2_202131404	182	6	18	20	5	56
ABL1_chr9_133738356__CDH1_chr16_68772255	45	62	17	61	523	18
ABL1_chr9_133738356__CDK4_chr12_58144705	63	253	47	61	46	114
ABL1_chr9_133738356__CDK4_chr12_58145497	53	1	6	6	2	56
ABL1_chr9_133738356__CDK6_chr7_92244474	141	133	243	24	18	11
ABL1_chr9_133738356__CDK6_chr7_92252365	31	22	12	66	49	71
ABL1_chr9_133738356__CDK9_chr9_130548409	48	160	80	55	3	36
ABL1_chr9_133738356__CDK9_chr9_130548998	29	26	2	28	0	47
ABL1_chr9_133738356__CDKN1B_chr12_12871196	201	83	85	28	5	91
ABL1_chr9_133738356__CDKN2A_chr9_21994327	18	18	13	71	6	29
ABL1_chr9_133738356__CHEK1_chr11_125499147	69	35	283	35	7	39
ABL1_chr9_133738356__DHFR_chr5_79949819	8	39	44	9	2	16
ABL1_chr9_133738356__DHFR_chr5_79950216	73	32	69	105	76	70
ABL1_chr9_133738356__ERBB2_chr17_37868221	59	49	23	137	61	86
ABL1_chr9_133738356__FGFR2_chr10_123298215	23	57	28	10	20	15
ABL1_chr9_133738356__FGFR2_chr10_123353328	69	31	115	139	173	13
ABL1_chr9_133738356__FGFR3_chr4_1795655	41	75	9	72	106	31
ABL1_chr9_133738356__FGFR3_chr4_1795735	192	70	20	130	104	98
ABL1_chr9_133738356__FGFR3_chr4_1795736	27	7	12	46	7	64
ABL1_chr9_133738356__FLT3_chr13_28636131	32	17	6	10	1	14
ABL1_chr9_133738356__FNTA_chr8_42914260	15	26	8	23	49	51
ABL1_chr9_133738356__FNTA_chr8_42924781	91	54	21	12	7	7
ABL1_chr9_133738356__GATA3_chr10_8097722	71	37	50	75	94	26
ABL1_chr9_133738356__GATA3_chr10_8097790	23	44	43	81	2	43
ABL1_chr9_133738356__HDAC1_chr1_32757816	33	43	42	30	120	80
ABL1_chr9_133738356__HDAC1_chr1_32792637	65	36	27	64	7	14
ABL1_chr9_133738356__HDAC2_chr6_114267214	165	31	6	52	0	49
ABL1_chr9_133738356__HDAC2_chr6_114292056	130	11	19	23	4	105
ABL1_chr9_133738356__HDAC6_chrX_48661089	192	78	249	12	6	85
ABL1_chr9_133738356__HDAC6_chrX_48661385	36	26	37	18	14	19
ABL1_chr9_133738356__JAK2_chr9_5021970	146	27	31	162	47	103
ABL1_chr9_133738356__JAK2_chr9_5050816	20	17	33	10	2	20
ABL1_chr9_133738356__KDM5C_chrX_53241022	95	80	59	62	5	29
ABL1_chr9_133738356__KDM5C_chrX_53254068	171	32	35	252	113	132
ABL1_chr9_133738356__KDM6A_chrX_44820616	30	26	6	12	4	0
ABL1_chr9_133738356__KIT_chr4_55524164	43	8	38	6	6	17
ABL1_chr9_133738356__KIT_chr4_55524229	24	41	40	25	5	10
ABL1_chr9_133738356__KMT2D_chr12_49448161	119	28	16	15	4	20
ABL1_chr9_133738356__KMT2D_chr12_49448168	57	48	70	80	6	53
ABL1_chr9_133738356__KMT2D_chr12_49448468	159	507	4297	317	1190	88
ABL1_chr9_133738356__MAP2K1_chr15_66679728	199	81	293	39	10	61
ABL1_chr9_133738356__MAP3K1_chr5_56111382	28	13	7	4	2	19
ABL1_chr9_133738356__MAP3K1_chr5_56152466	78	65	21	45	2	47
ABL1_chr9_133738356__MET_chr7_116340207	52	29	59	28	6	19
ABL1_chr9_133738356__MLH1_chr3_37035029	33	160	232	9	6	36
ABL1_chr9_133738356__MLH1_chr3_37038179	91	154	114	16	8	28
ABL1_chr9_133738356__MSH6_chr2_48018111	393	82	111	65	37	64
ABL1_chr9_133738356__MSH6_chr2_48018154	51	67	58	6	1	1
ABL1_chr9_133738356__MTOR_chr1_11317010	123	9	9	12	52	11
ABL1_chr9_133738356__NF1_chr17_29422308	102	145	53	135	489	37
ABL1_chr9_133738356__NF1_chr17_29483039	61	70	118	49	66	92
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0362	352	169	147	30	14	57
ABL1_chr9_133738356__NonTargetingControlGuideForHuman0412	174	33	19	163	315	37
ABL1_chr9_133738356__PARP1_chr1_226578249	57	97	61	161	686	23
ABL1_chr9_133738356__PARP1_chr1_226595581	5	5	10	12	0	6
ABL1_chr9_133738356__PBRM1_chr3_52702516	26	36	70	84	206	8
ABL1_chr9_133738356__PDGFRA_chr4_55124932	322	111	31	78	28	69
ABL1_chr9_133738356__PDGFRA_chr4_55124963	284	48	25	92	214	65
ABL1_chr9_133738356__PIK3CA_chr3_178919167	204	132	345	59	6	46
ABL1_chr9_133738356__PIK3R1_chr5_67576410	57	60	31	56	31	37
ABL1_chr9_133738356__PRKDC_chr8_48686398	41	40	50	34	2	29
ABL1_chr9_133738356__PRKDC_chr8_48872683	68	107	89	57	117	46
ABL1_chr9_133738356__PTEN_chr10_89711868	24	336	1080	106	417	7
ABL1_chr9_133738356__RB1_chr13_48936969	78	83	31	39	13	57
ABL1_chr9_133738356__ROR1_chr1_64240072	124	335	135	98	55	91
ABL1_chr9_133738356__ROR1_chr1_64240143	77	172	240	166	280	66
ABL1_chr9_133738356__RPS6KB1_chr17_57970538	96	26	16	68	1	69
ABL1_chr9_133738356__RRM2_chr2_10262728	16	10	6	5	0	11
ABL1_chr9_133738356__RRM2_chr2_10262957	41	22	68	3	0	21
ABL1_chr9_133738356__SETD2_chr3_47205411	71	62	74	33	3	120
ABL1_chr9_133738356__SMAD4_chr18_48575673	15	32	11	65	156	75
ABL1_chr9_133738356__SMAD4_chr18_48586241	31	180	219	44	1	39
ABL1_chr9_133738356__SMARCA4_chr19_11094851	21	20	18	88	19	40
ABL1_chr9_133738356__SMARCA4_chr19_11095011	134	76	32	44	7	57
ABL1_chr9_133738356__SMARCB1_chr22_24129339	74	31	24	5	4	30
ABL1_chr9_133738356__SMARCB1_chr22_24133993	17	19	7	33	4	97
ABL1_chr9_133738356__SRC_chr20_36022600	165	55	23	217	447	36
ABL1_chr9_133738356__TOP1_chr20_39690055	80	24	24	2	4	11
ABL1_chr9_133738356__TOP1_chr20_39690109	38	4	5	13	1	4
ABL1_chr9_133738356__TP53_chr17_7577537	63	16	37	146	220	41
ABL1_chr9_133738356__TSC1_chr9_135796748	411	231	162	219	371	119
ABL1_chr9_133738356__TSC1_chr9_135796796	54	15	26	16	6	65
ABL1_chr9_133738356__TYMS_chr18_657730	193	84	44	171	265	136
ABL1_chr9_133738356__TYMS_chr18_659656	391	55	31	147	17	44
ABL1_chr9_133738356__TYMS_chr18_659665	115	70	207	51	6	13
ABL1_chr9_133738356__VEGFA_chr6_43738425	114	281	1444	442	3519	58
ABL1_chr9_133738356__VEGFA_chr6_43742077	61	319	178	59	89	95
ABL1_chr9_133738356__VEGFA_chr6_43742108	6	32	22	7	3	2
ABL1_chr9_133738356__VHL_chr3_10183518	186	78	22	112	105	66
ABL1_chr9_133738356__VHL_chr3_10183773	19	85	27	39	7	54
ABL1_chr9_133738356__WEE1_chr11_9595462	25	71	27	290	96	39
ADA_chr20_43257696__ABL1_chr9_133738283	33	2	15	3	0	12
ADA_chr20_43257696__ABL1_chr9_133738356	38	6	10	2	5	43
ADA_chr20_43257696__AKT1_chr14_105239609	164	4	13	154	206	56
ADA_chr20_43257696__AKT1_chr14_105258968	37	18	24	8	1	36
ADA_chr20_43257696__ALK_chr2_29541171	104	1	7	12	2	0
ADA_chr20_43257696__ALK_chr2_29541172	29	20	54	41	46	38
ADA_chr20_43257696__ALK_chr2_30143522	32	76	24	15	2	24
ADA_chr20_43257696__ARID1A_chr1_27056288	46	83	19	4	3	13
ADA_chr20_43257696__ATM_chr11_108098350	2	5	0	2	0	1
ADA_chr20_43257696__ATM_chr11_108098402	6	0	0	2	1	37
ADA_chr20_43257696__BRAF_chr7_140624501	88	5	4	23	29	0
ADA_chr20_43257696__BRCA1_chr17_41256141	21	80	156	8	2	2
ADA_chr20_43257696__BRCA1_chr17_41276018	58	2	4	4	0	11
ADA_chr20_43257696__BRCA2_chr13_32890586	88	42	22	38	3	19
ADA_chr20_43257696__BRCA2_chr13_32914228	24	1	2	2	2	11
ADA_chr20_43257696__BRD4_chr19_15376361	8	0	6	4	3	1
ADA_chr20_43257696__BRD4_chr19_15376403	98	71	133	53	4	77
ADA_chr20_43257696__BRD4_chr19_15383894	4	4	3	2	2	21
ADA_chr20_43257696__BTK_chrX_100626613	2	2	2	44	4	15
ADA_chr20_43257696__BTK_chrX_100629565	21	59	84	53	2	110
ADA_chr20_43257696__BTK_chrX_100645534	204	53	56	196	137	42
ADA_chr20_43257696__CASP8_chr2_202131404	202	60	73	3	9	20
ADA_chr20_43257696__CASP8_chr2_202134297	39	8	11	3	5	25
ADA_chr20_43257696__CDH1_chr16_68771300	74	7	22	16	3	34
ADA_chr20_43257696__CDH1_chr16_68772255	1	10	6	0	1	1
ADA_chr20_43257696__CDK4_chr12_58143253	9	2	3	61	0	8
ADA_chr20_43257696__CDK4_chr12_58144705	20	46	48	36	2	10
ADA_chr20_43257696__CDK6_chr7_92244474	35	20	15	89	5	33
ADA_chr20_43257696__CDK6_chr7_92252365	10	25	18	6	1	2
ADA_chr20_43257696__CDK9_chr9_130548998	3	0	2	12	1	20
