construct_id	PGP1_MV4_d14_2_S4_trimmed53_len_filtered_counts	PGP1_MV4_d14_1_S3_trimmed53_len_filtered_counts	PGP1_MV4_d3_1_S1_trimmed53_len_filtered_counts	PGP1_MV4_d21_1_S5_trimmed53_len_filtered_counts	PGP1_MV4_d21_2_S6_trimmed53_len_filtered_counts	PGP1_MV4_d3_2_S2_trimmed53_len_filtered_counts	PGP1_MV4_d28_2_S8_trimmed53_len_filtered_counts	PGP1_MV4_d28_1_S7_trimmed53_len_filtered_counts
ALDOA_chr16_30078215__NonTargetingControlGuideForHuman0095	4528	1627	2074	4198	5831	2635	4905	1820
ALDOA_chr16_30078215__PCK1_chr20_56136482	621	24	461	34	921	1570	515	0
ALDOA_chr16_30078215__PCK1_chr20_56137238	123	631	1026	918	569	1592	116	402
ALDOA_chr16_30078215__PC_chr11_66638653	95	32	1673	1	74	1233	141	1
ALDOA_chr16_30078215__PC_chr11_66639617	0	43	12	69	0	117	0	18
ALDOA_chr16_30078215__PDHA1_chrX_19364716	610	0	93	0	1126	282	742	1
ALDOA_chr16_30078215__PDHA2_chr4_96761315	0	0	495	0	0	271	0	0
ALDOA_chr16_30078215__PDHA2_chr4_96761496	851	2540	1106	1893	750	1537	749	1245
ALDOA_chr16_30078215__PDHB_chr3_58416562	0	35	219	81	2	262	0	15
ALDOA_chr16_30078215__PDHX_chr11_34937907	215	167	836	14	331	445	314	7
ALDOA_chr16_30078215__PDHX_chr11_34938260	176	0	221	0	264	555	213	0
ALDOA_chr16_30078215__PDHX_chr11_34938309	3534	4112	1202	15312	4327	1520	3893	12064
ALDOA_chr16_30078215__PFKL_chr21_45730903	184	0	859	0	187	381	212	0
ALDOA_chr16_30078215__PFKM_chr12_48501200	2037	808	2045	1060	2817	630	2564	383
ALDOA_chr16_30078215__PFKP_chr10_3124584	996	2	884	2	1226	1364	1384	2
ALDOA_chr16_30078215__PFKP_chr10_3124604	40	2	238	2	11	225	0	1
ALDOA_chr16_30078215__PGAM1_chr10_99186190	201	1	81	0	77	494	0	0
ALDOA_chr16_30078215__PGAM1_chr10_99186192	2168	157	192	95	2268	881	2771	41
ALDOA_chr16_30078215__PGAM2_chr7_44102518	222	0	233	0	63	275	49	0
ALDOA_chr16_30078215__PGD_chr1_10459156	90	2	599	0	0	763	2	1
ALDOA_chr16_30078215__PGD_chr1_10459752	0	126	193	198	0	935	0	64
ALDOA_chr16_30078215__PGK1_chrX_77369386	0	367	861	1388	624	349	793	449
ALDOA_chr16_30078215__PGK2_chr6_49753896	716	495	701	547	946	1199	522	138
ALDOA_chr16_30078215__PGLS_chr19_17628116	6	1	142	566	0	212	1	221
ALDOA_chr16_30078215__PKLR_chr1_155271174	664	4	414	1	395	306	498	0
ALDOA_chr16_30078215__PKM_chr15_72523284	73	151	239	58	0	989	1	21
ALDOA_chr16_30078215__RPE_chr2_210874447	0	174	208	24	0	190	0	0
ALDOA_chr16_30078215__RPE_chr2_210880741	1497	1173	2155	849	2519	1692	1453	491
ALDOA_chr16_30078215__RPIA_chr2_88991199	0	197	566	940	1	409	0	1121
ALDOA_chr16_30078215__RPIA_chr2_88991329	138	334	1425	599	16	1505	136	346
ALDOA_chr16_30078215__TALDO1_chr11_755880	71	0	374	0	6	706	21	0
ALDOA_chr16_30078215__TKT_chr3_53263293	667	205	154	6	749	422	745	0
ALDOA_chr16_30078215__TKT_chr3_53289952	191	174	1334	280	64	116	45	128
ALDOA_chr16_30078215__TPI1_chr12_6976607	1	1	125	0	0	120	0	0
ALDOA_chr16_30078215__TPI1_chr12_6976775	2	0	301	0	0	0	0	0
ALDOA_chr16_30078583__ALDOB_chr9_104188886	0	0	96	0	0	0	0	0
ALDOA_chr16_30078583__ALDOC_chr17_26902525	0	0	547	0	0	1	0	0
ALDOA_chr16_30078583__DLAT_chr11_111896198	0	1543	1	1552	0	816	1	556
ALDOA_chr16_30078583__DLAT_chr11_111899338	0	1	406	0	0	36	0	0
ALDOA_chr16_30078583__DLD_chr7_107531707	59	0	465	0	0	540	0	0
ALDOA_chr16_30078583__ENO1_chr1_8928068	0	0	189	1	0	0	0	0
ALDOA_chr16_30078583__ENO1_chr1_8934907	0	0	768	0	0	322	0	0
ALDOA_chr16_30078583__ENO2_chr12_7025605	0	0	208	0	0	91	0	0
ALDOA_chr16_30078583__ENO3_chr17_4856126	0	73	95	289	0	0	0	110
ALDOA_chr16_30078583__FBP2_chr9_97333794	0	0	364	2	0	459	0	0
ALDOA_chr16_30078583__G6PC_chr17_41055970	0	0	129	0	0	364	0	0
ALDOA_chr16_30078583__G6PC_chr17_41059636	0	0	0	0	0	0	0	0
ALDOA_chr16_30078583__G6PD_chrX_153760877	1069	0	664	1	113	1010	1	0
ALDOA_chr16_30078583__GAPDHS_chr19_36024416	1	0	300	0	0	771	0	0
ALDOA_chr16_30078583__GAPDHS_chr19_36027833	0	0	276	0	0	525	0	0
ALDOA_chr16_30078583__GAPDH_chr12_6645859	0	0	181	0	0	0	0	0
ALDOA_chr16_30078583__GCK_chr7_44189577	0	0	0	0	0	0	0	0
ALDOA_chr16_30078583__GCK_chr7_44189603	0	0	157	1	0	446	0	0
ALDOA_chr16_30078583__GOT2_chr16_58750621	1402	0	168	0	1332	306	838	0
ALDOA_chr16_30078583__GOT2_chr16_58752127	0	0	228	0	0	0	2	0
ALDOA_chr16_30078583__H6PD_chr1_9300071	2	0	77	0	0	164	0	0
ALDOA_chr16_30078583__H6PD_chr1_9305104	1	123	597	989	2	304	0	359
ALDOA_chr16_30078583__HK1_chr10_71048482	0	0	510	0	0	971	0	0
ALDOA_chr16_30078583__HK2_chr2_75061733	0	0	307	0	0	51	0	0
ALDOA_chr16_30078583__HK2_chr2_75061761	1202	1	657	2	3623	1313	2716	1
ALDOA_chr16_30078583__HK2_chr2_75061762	33	0	0	0	0	916	0	0
ALDOA_chr16_30078583__HK3_chr5_176318178	0	0	0	1	0	39	0	0
ALDOA_chr16_30078583__HK3_chr5_176323146	0	0	302	0	0	601	0	0
ALDOA_chr16_30078583__LDHAL6B_chr15_59499219	0	0	397	1	1	900	0	0
ALDOA_chr16_30078583__LDHA_chr11_18418076	0	0	54	0	0	41	0	0
ALDOA_chr16_30078583__LDHA_chr11_18418383	0	90	431	0	1	1	0	0
ALDOA_chr16_30078583__LDHA_chr11_18418499	0	0	305	0	0	0	0	0
ALDOA_chr16_30078583__LDHB_chr12_21794888	0	0	716	0	0	229	0	0
ALDOA_chr16_30078583__LDHC_chr11_18436748	1	0	706	1	0	980	0	0
ALDOA_chr16_30078583__MDH1_chr2_63816175	1	84	66	1	0	309	0	0
ALDOA_chr16_30078583__MDH1_chr2_63816486	0	0	367	0	0	174	0	0
ALDOA_chr16_30078583__MDH1_chr2_63821628	0	0	707	0	0	92	0	0
ALDOA_chr16_30078583__MDH2_chr7_75686735	0	0	771	0	1	648	0	0
ALDOA_chr16_30078583__ME1_chr6_83947513	730	9	851	850	393	435	341	348
ALDOA_chr16_30078583__ME2_chr18_48422222	0	1	632	0	0	328	0	0
ALDOA_chr16_30078583__ME2_chr18_48434448	1	0	365	0	0	513	0	0
ALDOA_chr16_30078583__NonTargetingControlGuideForHuman0039	0	0	0	0	0	0	1	0
ALDOA_chr16_30078583__NonTargetingControlGuideForHuman0095	0	0	822	0	0	943	0	0
ALDOA_chr16_30078583__PCK1_chr20_56137238	52	0	456	0	566	122	466	0
ALDOA_chr16_30078583__PCK1_chr20_56137848	246	0	670	0	219	98	244	1
ALDOA_chr16_30078583__PC_chr11_66638606	0	0	0	0	0	31	0	0
ALDOA_chr16_30078583__PC_chr11_66639617	0	0	163	0	0	602	0	0
ALDOA_chr16_30078583__PDHA1_chrX_19364716	0	52	710	91	0	385	1	95
ALDOA_chr16_30078583__PDHA1_chrX_19368113	0	0	148	0	0	386	0	0
ALDOA_chr16_30078583__PDHA2_chr4_96761496	0	43	128	66	0	833	0	0
ALDOA_chr16_30078583__PDHX_chr11_34938309	0	0	287	1	0	157	0	0
ALDOA_chr16_30078583__PFKL_chr21_45719969	0	0	499	1	0	510	0	0
ALDOA_chr16_30078583__PFKP_chr10_3124584	76	0	360	0	0	808	0	0
ALDOA_chr16_30078583__PGAM1_chr10_99186190	0	0	146	0	0	224	0	0
ALDOA_chr16_30078583__PGAM1_chr10_99186192	0	1	0	0	0	0	0	0
ALDOA_chr16_30078583__PGAM2_chr7_44102497	2	2	0	1	0	702	1	1
ALDOA_chr16_30078583__PGAM2_chr7_44105108	0	0	0	1	1	544	0	0
ALDOA_chr16_30078583__PGD_chr1_10459156	0	47	1117	69	0	1272	1	0
ALDOA_chr16_30078583__PGD_chr1_10459684	0	0	574	1	0	801	0	0
ALDOA_chr16_30078583__PGD_chr1_10459752	0	0	0	0	0	396	0	0
ALDOA_chr16_30078583__PGK1_chrX_77369291	0	0	0	0	0	237	0	0
ALDOA_chr16_30078583__PGK1_chrX_77369316	249	0	1015	127	384	1074	78	18
ALDOA_chr16_30078583__PGK2_chr6_49753896	0	0	617	0	0	939	0	1
ALDOA_chr16_30078583__PGK2_chr6_49754854	0	0	936	0	0	213	0	0
ALDOA_chr16_30078583__PGLS_chr19_17627020	152	0	310	2	0	1852	0	0
ALDOA_chr16_30078583__PKLR_chr1_155264347	0	917	260	2100	1	740	0	1186
ALDOA_chr16_30078583__PKLR_chr1_155264502	0	0	374	0	0	157	0	0
ALDOA_chr16_30078583__PKM_chr15_72492920	0	0	996	0	0	530	0	0
ALDOA_chr16_30078583__PKM_chr15_72523284	0	0	224	0	1	705	0	0
ALDOA_chr16_30078583__RPIA_chr2_88991246	88	0	740	0	17	1228	1	0
ALDOA_chr16_30078583__RPIA_chr2_88991329	0	0	635	0	0	1145	0	0
ALDOA_chr16_30078583__TALDO1_chr11_747467	0	0	203	0	0	313	0	0
ALDOA_chr16_30078583__TALDO1_chr11_755880	0	0	0	0	0	245	1	0
ALDOA_chr16_30078583__TALDO1_chr11_755937	3358	129	480	72	3100	1	3600	2
ALDOA_chr16_30078583__TKT_chr3_53263054	1	99	601	153	0	181	0	9
ALDOA_chr16_30078583__TPI1_chr12_6976607	0	0	1032	0	0	312	0	0
ALDOA_chr16_30078583__TPI1_chr12_6976775	0	0	69	0	0	109	0	0
ALDOA_chr16_30078583__TPI1_chr12_6976836	0	0	283	0	0	0	0	0
ALDOA_chr16_30078641__ALDOB_chr9_104193156	666	16	650	18	172	402	187	4
ALDOA_chr16_30078641__ALDOC_chr17_26902525	0	0	240	0	0	129	0	1
ALDOA_chr16_30078641__DLAT_chr11_111896198	0	345	339	442	0	677	0	211
ALDOA_chr16_30078641__DLAT_chr11_111899338	0	1	104	0	0	1455	1	0
ALDOA_chr16_30078641__DLD_chr7_107533653	0	0	135	0	1	121	0	0
ALDOA_chr16_30078641__ENO1_chr1_8928068	0	0	271	0	0	205	0	0
ALDOA_chr16_30078641__ENO1_chr1_8930510	1	0	444	1	1	438	0	0
ALDOA_chr16_30078641__ENO1_chr1_8934907	0	0	1	0	0	283	0	0
ALDOA_chr16_30078641__ENO2_chr12_7024987	0	0	317	0	1	569	0	0
ALDOA_chr16_30078641__ENO2_chr12_7025605	230	25	45	2	158	3	79	0
ALDOA_chr16_30078641__ENO2_chr12_7025649	0	0	0	0	0	146	0	0
ALDOA_chr16_30078641__ENO3_chr17_4856118	49	0	770	0	40	861	0	0
ALDOA_chr16_30078641__FBP1_chr9_97369211	0	0	123	0	0	192	0	0
ALDOA_chr16_30078641__FBP1_chr9_97401589	124	0	1050	1	235	530	457	1
ALDOA_chr16_30078641__FBP2_chr9_97333794	0	0	684	0	0	353	0	0
ALDOA_chr16_30078641__FBP2_chr9_97333804	0	0	334	0	0	566	0	0
ALDOA_chr16_30078641__FBP2_chr9_97355949	0	0	774	0	0	691	0	0
ALDOA_chr16_30078641__G6PC_chr17_41059636	0	0	172	0	1	557	0	0
ALDOA_chr16_30078641__G6PD_chrX_153760901	0	0	605	0	1	260	1	0
ALDOA_chr16_30078641__GAPDHS_chr19_36024416	847	55	908	0	1165	954	822	1
ALDOA_chr16_30078641__GAPDHS_chr19_36027769	0	0	288	0	1	147	0	0
ALDOA_chr16_30078641__GCK_chr7_44189577	0	0	0	0	1	185	0	0
ALDOA_chr16_30078641__GOT1_chr10_101163300	0	0	695	1	0	856	3	2
ALDOA_chr16_30078641__GOT1_chr10_101190319	0	0	207	0	0	241	0	0
ALDOA_chr16_30078641__GOT2_chr16_58750621	157	33	401	36	1025	1632	919	17
ALDOA_chr16_30078641__GOT2_chr16_58752127	0	71	453	10	0	89	0	0
ALDOA_chr16_30078641__H6PD_chr1_9305104	2	0	392	0	0	734	2	2
ALDOA_chr16_30078641__HK2_chr2_75061761	0	126	857	393	0	851	0	223
ALDOA_chr16_30078641__HK2_chr2_75061762	0	103	1	1	0	96	0	27
ALDOA_chr16_30078641__HK3_chr5_176318055	0	0	258	0	0	890	0	0
ALDOA_chr16_30078641__LDHAL6B_chr15_59499223	0	1	580	0	0	2251	1	0
ALDOA_chr16_30078641__LDHAL6B_chr15_59499236	0	0	265	0	0	824	0	0
ALDOA_chr16_30078641__LDHA_chr11_18418383	0	0	88	1	0	336	0	1
ALDOA_chr16_30078641__LDHA_chr11_18418499	0	0	67	0	0	506	0	0
ALDOA_chr16_30078641__LDHC_chr11_18434337	1	0	363	0	0	514	0	0
ALDOA_chr16_30078641__LDHC_chr11_18436748	2	42	2108	100	21	1003	33	116
ALDOA_chr16_30078641__MDH1_chr2_63816486	0	0	0	0	0	1	0	1
ALDOA_chr16_30078641__MDH1_chr2_63821628	871	93	881	114	2311	1057	2403	33
ALDOA_chr16_30078641__MDH2_chr7_75677504	62	0	382	0	34	51	0	0
ALDOA_chr16_30078641__ME2_chr18_48422222	0	0	432	0	0	148	0	1
ALDOA_chr16_30078641__ME2_chr18_48434448	0	0	0	0	0	0	0	1
ALDOA_chr16_30078641__ME2_chr18_48439284	0	0	168	0	0	594	0	0
ALDOA_chr16_30078641__NonTargetingControlGuideForHuman0654	0	0	545	0	0	308	1	0
ALDOA_chr16_30078641__PCK1_chr20_56136482	245	1	379	1	76	281	39	1
ALDOA_chr16_30078641__PCK1_chr20_56137238	123	1	440	0	83	894	0	0
ALDOA_chr16_30078641__PCK1_chr20_56137848	0	0	2	0	1	122	0	0
ALDOA_chr16_30078641__PC_chr11_66638606	0	0	646	0	0	197	0	4
ALDOA_chr16_30078641__PDHA1_chrX_19368113	0	0	119	0	0	1	0	0
ALDOA_chr16_30078641__PDHB_chr3_58416382	0	0	69	0	0	636	0	0
ALDOA_chr16_30078641__PDHB_chr3_58419519	481	1	825	3	501	301	638	0
ALDOA_chr16_30078641__PDHX_chr11_34938309	0	31	261	56	1	1103	0	24
ALDOA_chr16_30078641__PFKL_chr21_45719969	0	0	172	0	0	0	0	0
ALDOA_chr16_30078641__PFKL_chr21_45726628	0	0	538	2	0	0	0	0
ALDOA_chr16_30078641__PFKM_chr12_48501200	1	0	890	0	1	1256	2	2
ALDOA_chr16_30078641__PFKM_chr12_48501913	0	0	579	0	1	1058	0	1
ALDOA_chr16_30078641__PFKP_chr10_3109771	0	0	190	0	0	231	0	0
ALDOA_chr16_30078641__PFKP_chr10_3124604	0	0	727	10	0	937	0	2
ALDOA_chr16_30078641__PGAM2_chr7_44102497	0	0	985	0	0	557	0	0
ALDOA_chr16_30078641__PGAM2_chr7_44105108	75	78	200	190	201	524	207	86
ALDOA_chr16_30078641__PGK1_chrX_77369291	0	0	40	0	0	195	0	0
ALDOA_chr16_30078641__PGK2_chr6_49753783	0	186	411	56	0	946	1	20
ALDOA_chr16_30078641__PGLS_chr19_17627020	1	132	371	10	0	265	0	0
ALDOA_chr16_30078641__PGLS_chr19_17628116	0	0	364	0	1	297	0	0
ALDOA_chr16_30078641__PKLR_chr1_155264347	0	271	149	675	0	1183	2	154
ALDOA_chr16_30078641__PKM_chr15_72492804	0	0	571	0	0	0	0	0
ALDOA_chr16_30078641__PKM_chr15_72523284	18	0	272	0	0	212	0	1
ALDOA_chr16_30078641__RPE_chr2_210867486	0	53	133	41	0	263	1	0
ALDOA_chr16_30078641__RPE_chr2_210874447	0	0	46	0	0	0	0	0
ALDOA_chr16_30078641__RPIA_chr2_88991199	10	0	986	0	0	338	0	0
ALDOA_chr16_30078641__RPIA_chr2_88991329	0	14	681	0	1	311	0	0
ALDOA_chr16_30078641__TALDO1_chr11_747467	0	0	349	0	1	167	0	0
ALDOA_chr16_30078641__TALDO1_chr11_755880	0	0	199	0	0	76	0	0
ALDOA_chr16_30078641__TALDO1_chr11_755937	10	0	904	280	1	841	0	167
ALDOA_chr16_30078641__TKT_chr3_53263293	0	67	0	0	0	251	0	0
ALDOA_chr16_30078641__TKT_chr3_53289952	15	0	456	0	0	400	0	0
ALDOA_chr16_30078641__TPI1_chr12_6976775	0	0	68	0	0	69	0	0
ALDOA_chr16_30078641__TPI1_chr12_6976836	1	0	426	0	0	404	0	0
ALDOB_chr9_104188886__ALDOA_chr16_30078215	772	348	913	297	550	535	585	264
ALDOB_chr9_104188886__ALDOA_chr16_30078641	0	0	344	0	0	506	0	0
ALDOB_chr9_104188886__ALDOC_chr17_26901145	0	0	42	0	0	0	0	0
ALDOB_chr9_104188886__DLAT_chr11_111896198	77	22	250	170	329	213	270	0
ALDOB_chr9_104188886__DLAT_chr11_111899333	0	43	0	0	0	264	0	0
ALDOB_chr9_104188886__DLAT_chr11_111899338	14	0	255	0	3	165	1	0
ALDOB_chr9_104188886__DLD_chr7_107531707	0	816	402	665	1	716	0	142
ALDOB_chr9_104188886__DLD_chr7_107533699	79	0	0	0	0	235	1	0
ALDOB_chr9_104188886__ENO2_chr12_7024987	0	0	143	0	0	191	0	0
ALDOB_chr9_104188886__ENO3_chr17_4855147	1444	0	1433	1	328	404	439	0
ALDOB_chr9_104188886__FBP1_chr9_97369115	1	0	951	0	0	306	0	0
ALDOB_chr9_104188886__FBP2_chr9_97333804	13	0	0	0	0	263	0	0
ALDOB_chr9_104188886__FBP2_chr9_97355949	210	0	16	1	440	0	537	0
ALDOB_chr9_104188886__G6PC_chr17_41052917	0	12	84	18	0	17	0	15
ALDOB_chr9_104188886__G6PD_chrX_153760877	0	112	635	20	0	1006	0	0
ALDOB_chr9_104188886__G6PD_chrX_153760901	1	0	107	0	1	44	0	0
ALDOB_chr9_104188886__GAPDHS_chr19_36027769	0	0	123	0	0	0	1	0
ALDOB_chr9_104188886__GAPDHS_chr19_36027833	2	0	1198	0	0	182	0	0
ALDOB_chr9_104188886__GAPDH_chr12_6644017	0	0	707	0	1	240	0	0
ALDOB_chr9_104188886__GAPDH_chr12_6645947	1	268	189	259	0	107	0	38
ALDOB_chr9_104188886__GCK_chr7_44228532	0	118	849	64	2	304	0	11
ALDOB_chr9_104188886__GOT2_chr16_58752127	0	0	0	0	0	586	0	0
ALDOB_chr9_104188886__H6PD_chr1_9300071	156	6	324	0	1	780	0	0
ALDOB_chr9_104188886__HK1_chr10_71048505	1	28	44	36	0	268	0	4
ALDOB_chr9_104188886__HK1_chr10_71048517	0	744	455	1543	0	608	0	818
ALDOB_chr9_104188886__HK2_chr2_75061733	0	0	206	0	0	81	0	0
ALDOB_chr9_104188886__HK2_chr2_75061762	0	46	244	29	0	533	1	0
ALDOB_chr9_104188886__HK3_chr5_176318055	487	0	484	0	266	144	81	0
ALDOB_chr9_104188886__HK3_chr5_176323146	21	0	0	0	9	449	0	0
ALDOB_chr9_104188886__LDHAL6B_chr15_59499223	239	1	118	2	119	964	2	0
ALDOB_chr9_104188886__LDHAL6B_chr15_59499236	86	520	301	137	56	117	18	50
ALDOB_chr9_104188886__LDHA_chr11_18418076	0	0	105	0	0	18	1	0
ALDOB_chr9_104188886__LDHB_chr12_21794888	0	0	0	0	0	0	0	0
ALDOB_chr9_104188886__LDHC_chr11_18436754	252	672	162	645	607	534	1120	204
ALDOB_chr9_104188886__MDH1_chr2_63816175	28	0	564	4	0	530	0	0
ALDOB_chr9_104188886__MDH2_chr7_75677504	0	11	254	0	0	97	0	0
ALDOB_chr9_104188886__ME1_chr6_83947541	0	0	337	0	1	222	0	0
ALDOB_chr9_104188886__ME1_chr6_84140670	0	0	226	0	0	411	0	1
ALDOB_chr9_104188886__ME2_chr18_48434448	0	0	210	39	0	234	0	9
ALDOB_chr9_104188886__NonTargetingControlGuideForHuman0654	1	245	195	131	0	192	0	66
ALDOB_chr9_104188886__PC_chr11_66638653	0	0	231	0	0	500	0	0
ALDOB_chr9_104188886__PC_chr11_66639617	0	0	0	1	0	0	0	0
ALDOB_chr9_104188886__PDHA1_chrX_19362137	0	0	324	0	0	38	0	0
ALDOB_chr9_104188886__PDHA1_chrX_19364716	0	0	277	0	0	385	0	0
ALDOB_chr9_104188886__PDHA2_chr4_96761496	552	175	1	312	2412	671	2150	132
ALDOB_chr9_104188886__PDHX_chr11_34938309	411	91	1614	0	677	644	358	1
ALDOB_chr9_104188886__PFKL_chr21_45726628	335	0	16	0	150	207	81	0
ALDOB_chr9_104188886__PFKM_chr12_48528051	0	0	0	0	0	0	0	0
ALDOB_chr9_104188886__PFKP_chr10_3124584	178	26	938	189	50	966	344	95
ALDOB_chr9_104188886__PGAM2_chr7_44102497	1	866	804	1262	0	407	0	643
ALDOB_chr9_104188886__PGAM2_chr7_44105108	122	0	180	0	162	0	148	0
ALDOB_chr9_104188886__PGD_chr1_10459156	80	24	0	194	101	54	158	2
ALDOB_chr9_104188886__PGD_chr1_10459684	86	32	63	1	153	330	159	0
ALDOB_chr9_104188886__PGK1_chrX_77369291	0	0	1310	1	1	994	0	0
ALDOB_chr9_104188886__PGK1_chrX_77369386	76	1047	560	901	87	411	89	252
ALDOB_chr9_104188886__PGK2_chr6_49754854	1	0	500	0	0	0	0	0
ALDOB_chr9_104188886__PGLS_chr19_17627020	0	0	453	0	0	524	0	0
ALDOB_chr9_104188886__PGLS_chr19_17628116	293	0	682	0	47	246	55	0
ALDOB_chr9_104188886__PKLR_chr1_155264347	1523	69	151	0	378	1434	347	2
ALDOB_chr9_104188886__PKLR_chr1_155271174	89	0	0	0	0	740	0	0
ALDOB_chr9_104188886__RPE_chr2_210867486	12	0	291	0	243	0	130	0
ALDOB_chr9_104188886__RPE_chr2_210874447	0	0	0	1	0	0	0	0
ALDOB_chr9_104188886__RPE_chr2_210880741	0	203	1158	165	1	1019	1	28
ALDOB_chr9_104188886__RPIA_chr2_88991246	1	0	111	0	0	352	0	0
ALDOB_chr9_104188886__RPIA_chr2_88991329	0	0	846	0	0	92	0	0
ALDOB_chr9_104188886__TALDO1_chr11_755880	0	99	553	8	0	167	0	0
ALDOB_chr9_104188886__TALDO1_chr11_755937	1	416	228	433	2	715	1	64
ALDOB_chr9_104188886__TKT_chr3_53263054	0	18	0	56	0	33	0	0
ALDOB_chr9_104188886__TKT_chr3_53263293	0	0	114	0	0	0	0	0
ALDOB_chr9_104188886__TKT_chr3_53289952	0	98	102	235	1	0	0	163
ALDOB_chr9_104188893__ALDOA_chr16_30078583	0	0	198	0	0	0	0	0
ALDOB_chr9_104188893__ALDOA_chr16_30078641	0	0	347	0	0	0	0	0
ALDOB_chr9_104188893__ALDOC_chr17_26901140	686	0	0	0	530	75	441	2
ALDOB_chr9_104188893__ALDOC_chr17_26902525	0	0	31	0	0	0	0	0
ALDOB_chr9_104188893__DLAT_chr11_111899333	0	0	0	0	0	0	0	0
ALDOB_chr9_104188893__DLD_chr7_107533653	0	0	0	0	0	186	0	0
ALDOB_chr9_104188893__ENO3_chr17_4855147	406	0	964	1	125	711	154	0
ALDOB_chr9_104188893__ENO3_chr17_4856118	227	0	0	1	105	61	179	0
ALDOB_chr9_104188893__FBP1_chr9_97369211	0	0	442	311	0	271	1	329
ALDOB_chr9_104188893__FBP2_chr9_97333804	0	0	287	0	0	66	0	0
ALDOB_chr9_104188893__FBP2_chr9_97355949	0	0	699	0	0	121	0	0
ALDOB_chr9_104188893__G6PD_chrX_153760901	0	0	238	0	1	647	0	0
ALDOB_chr9_104188893__GAPDHS_chr19_36024416	153	0	1	0	85	192	89	0
